Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.8e-05,18.343838,[21 41] ; [64 29],[34. 28.] ; [51. 42.],1
s7,1,0.000966,10.890675,[15 44] ; [46 41],[24.65068493 34.34931507] ; [36.34931507 50.65068493],1
d5,1,0.002147,9.419727,[29 32] ; [67 26],[38.02597403 22.97402597] ; [57.97402597 35.02597403],0
p3,1,0.002512,9.131863,[20 42] ; [53 40],[29.2 32.8] ; [43.8 49.2],0
p11,1,0.003368,8.596459,[41 21] ; [80 13],[48.4 13.6] ; [72.6 20.4],0
p6,1,0.003915,8.32265,[20 41] ; [51 39],[28.68211921 32.31788079] ; [42.31788079 47.68211921],0
s5,1,0.017241,5.671682,[ 9 53] ; [28 61],[15.19205298 46.80794702] ; [21.80794702 67.19205298],0
p9,1,0.017317,5.663987,[40 22] ; [75 17],[46.2987013 15.7012987] ; [68.7012987 23.2987013],0
p10,1,0.024628,5.049863,[39 23] ; [73 19],[45.09090909 16.90909091] ; [66.90909091 25.09090909],0
p1,1,0.037672,4.319776,[ 2 60] ; [12 80],[ 5.63636364 56.36363636] ; [ 8.36363636 83.63636364],0
s8,1,0.044005,4.056354,[15 47] ; [37 56],[20.8 41.2] ; [31.2 61.8],0
a7,1,0.051825,3.781407,[33 28] ; [64 28],[38.67320261 22.32679739] ; [58.32679739 33.67320261],0
n1,1,0.053126,3.739964,[ 3 15] ; [10 12],[ 5.85 12.15] ; [ 7.15 14.85],0
d1,1,0.070912,3.261785,[13 49] ; [32 61],[18. 44.] ; [27. 66.],0
s4,1,0.073322,3.207037,[ 8 53] ; [23 69],[12.35947712 48.64052288] ; [18.64052288 73.35947712],0
p2,1,0.074568,3.179487,[48 14] ; [82 11],[52. 10.] ; [78. 15.],0
s6,1,0.094705,2.792524,[33 29] ; [60 30],[37.93421053 24.06578947] ; [55.06578947 34.93421053],0
r2,1,0.105684,2.617599,[53  9] ; [85  6],[55.92156863  6.07843137] ; [82.07843137  8.92156863],0
p5,1,0.152091,2.051154,[ 5 56] ; [15 78],[ 7.92207792 53.07792208] ; [12.07792208 80.92207792],0
n4,1,0.177817,1.815778,[39 23] ; [68 25],[42.8 19.2] ; [64.2 28.8],0
n5,1,0.196349,1.669326,[40 22] ; [69 24],[43.6 18.4] ; [65.4 27.6],0
v3,1,0.200237,1.640642,[17 45] ; [34 57],[20.66666667 41.33333333] ; [30.33333333 60.66666667],0
r1,1,0.235839,1.405293,[37 24] ; [65 28],[40.4025974 20.5974026] ; [61.5974026 31.4025974],0
s2,1,0.237328,1.396396,[26 36] ; [48 45],[29.6 32.4] ; [44.4 48.6],0
d4,1,0.260957,1.263673,[38 23] ; [66 27],[41.19480519 19.80519481] ; [62.80519481 30.19480519],0
d2,1,0.312732,1.019102,[17 45] ; [19 74],[14.4 47.6] ; [21.6 71.4],0
r3,1,0.334908,0.929828,[57  5] ; [88  4],[58.37662338  3.62337662] ; [86.62337662  5.37662338],0
v4,1,0.339322,0.912991,[57  4] ; [89  3],[58.20915033  2.79084967] ; [87.79084967  4.20915033],0
r4,1,0.341587,0.904466,[49 13] ; [79 14],[51.2 10.8] ; [76.8 16.2],0
u2,1,0.3424,0.901426,[21 12] ; [26 23],[18.91463415 14.08536585] ; [28.08536585 20.91463415],0
u1,1,0.353428,0.861111,[ 1 61] ; [ 4 89],[ 2. 60.] ; [ 3. 90.],0
b1,1,0.417699,0.65678,[26 36] ; [33 60],[23.6 38.4] ; [35.4 57.6],0
n2,1,0.469654,0.522791,[13  5] ; [18  4],[13.95  4.05] ; [17.05  4.95],0
v2,1,0.591969,0.287279,[31 29] ; [42 47],[29.39597315 30.60402685] ; [43.60402685 45.39597315],0
a6,1,0.599447,0.275831,[28 34] ; [46 47],[29.6 32.4] ; [44.4 48.6],0
n6,1,0.603323,0.270012,[47 15] ; [73 19],[48.31168831 13.68831169] ; [71.68831169 20.31168831],0
b2,1,0.628161,0.234563,[ 8 35] ; [12 41],[ 8.95833333 34.04166667] ; [11.04166667 41.95833333],0
b3,1,0.628161,0.234563,[ 8 35] ; [12 41],[ 8.95833333 34.04166667] ; [11.04166667 41.95833333],0
b4,1,0.645013,0.212246,[35 27] ; [49 44],[33.6 28.4] ; [50.4 42.6],0
a3,1,0.665165,0.18731,[27 34] ; [44 48],[28.30718954 32.69281046] ; [42.69281046 49.30718954],0
n3,1,0.677318,0.17316,[12  6] ; [16  6],[12.6  5.4] ; [15.4  6.6],0
s3,1,0.680815,0.16921,[35 27] ; [55 37],[36.23376623 25.76623377] ; [53.76623377 38.23376623],0
d3,1,0.754126,0.098097,[32 28] ; [52 41],[32.94117647 27.05882353] ; [51.05882353 41.94117647],0
b5,1,0.791185,0.070104,[36 26] ; [52 41],[35.2 26.8] ; [52.8 40.2],0
v1,1,0.869549,0.026972,[29 30] ; [43 47],[28.51006711 30.48993289] ; [43.48993289 46.51006711],0
u3,1,0.927143,0.008361,[17 17] ; [24 25],[16.79518072 17.20481928] ; [24.20481928 24.79518072],0
a4,1,0.932076,0.007265,[11 51] ; [17 76],[11.2 50.8] ; [16.8 76.2],0
a8,1,0.946089,0.004572,[ 8 51] ; [12 74],[ 8.13793103 50.86206897] ; [11.86206897 74.13793103],0
a1,1,1.0,0.0,[ 2 60] ; [ 3 90],[ 2. 60.] ; [ 3. 90.],0
