Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,9.7e-05,15.192249,[30  9] ; [ 9 21],[22.04347826 16.95652174] ; [16.95652174 13.04347826],1
r3,1,0.000792,11.259144,[ 8 31] ; [18 12],[14.69565217 24.30434783] ; [11.30434783 18.69565217],1
d4,1,0.001034,10.764786,[19 20] ; [26  4],[25.43478261 13.56521739] ; [19.56521739 10.43478261],0
a1,1,0.012095,6.296853,[10 29] ; [ 1 29],[ 6.2173913 32.7826087] ; [ 4.7826087 25.2173913],0
p3,1,0.016861,5.710803,[ 4 34] ; [10 19],[ 7.94029851 30.05970149] ; [ 6.05970149 22.94029851],0
n1,1,0.023598,5.123938,[10 14] ; [ 1 13],[ 6.94736842 17.05263158] ; [4.05263158 9.94736842],0
d3,1,0.043925,4.059454,[16 22] ; [20 10],[20.11764706 17.88235294] ; [15.88235294 14.11764706],0
v1,1,0.061808,3.488182,[ 8 31] ; [12 17],[11.47058824 27.52941176] ; [ 8.52941176 20.47058824],0
b5,1,0.10362,2.648932,[17 22] ; [19 11],[20.34782609 18.65217391] ; [15.65217391 14.34782609],0
a7,1,0.118093,2.442431,[16 23] ; [18 12],[19.2173913 19.7826087] ; [14.7826087 15.2173913],0
n2,1,0.125847,2.343004,[13 11] ; [ 4 10],[10.73684211 13.26315789] ; [6.26315789 7.73684211],0
p4,1,0.160544,1.969096,[ 6 32] ; [ 9 21],[ 8.38235294 29.61764706] ; [ 6.61764706 23.38235294],0
s7,1,0.164742,1.930147,[ 9 27] ; [ 3 24],[ 6.85714286 29.14285714] ; [ 5.14285714 21.85714286],0
n6,1,0.16764,1.90392,[19 19] ; [10 20],[16.20588235 21.79411765] ; [12.79411765 17.20588235],0
d1,1,0.176727,1.824935,[12 27] ; [14 16],[14.69565217 24.30434783] ; [11.30434783 18.69565217],0
d5,1,0.199338,1.647215,[20 19] ; [20 10],[22.60869565 16.39130435] ; [17.39130435 12.60869565],0
s6,1,0.239654,1.382629,[ 7 32] ; [ 9 21],[ 9.04347826 29.95652174] ; [ 6.95652174 23.04347826],0
s2,1,0.239654,1.382629,[ 7 32] ; [ 9 21],[ 9.04347826 29.95652174] ; [ 6.95652174 23.04347826],0
s5,1,0.242405,1.36655,[ 3 35] ; [ 5 24],[ 4.53731343 33.46268657] ; [ 3.46268657 25.53731343],0
b2,1,0.253568,1.303536,[12 11] ; [ 5 10],[10.28947368 12.71052632] ; [6.71052632 8.28947368],0
b3,1,0.253568,1.303536,[12 11] ; [ 5 10],[10.28947368 12.71052632] ; [6.71052632 8.28947368],0
u3,1,0.272254,1.205357,[ 2 14] ; [ 4 10],[ 3.2 12.8] ; [ 2.8 11.2],0
r2,1,0.281191,1.161326,[24 13] ; [15 14],[21.86363636 15.13636364] ; [17.13636364 11.86363636],0
b4,1,0.281443,1.16011,[17 22] ; [17 13],[19.2173913 19.7826087] ; [14.7826087 15.2173913],0
p7,1,0.282179,1.156565,[ 8 29] ; [10 20],[ 9.94029851 27.05970149] ; [ 8.05970149 21.94029851],0
n3,1,0.310624,1.028019,[ 8 16] ; [7 7],[ 9.47368421 14.52631579] ; [5.52631579 8.47368421],0
u2,1,0.344085,0.895153,[ 3 12] ; [5 9],[ 4.13793103 10.86206897] ; [ 3.86206897 10.13793103],0
v2,1,0.352208,0.865485,[ 8 30] ; [ 9 20],[ 9.64179104 28.35820896] ; [ 7.35820896 21.64179104],0
p2,1,0.442106,0.59081,[13 25] ; [13 17],[14.52941176 23.47058824] ; [11.47058824 18.52941176],0
a6,1,0.512307,0.429351,[20 19] ; [13 17],[18.65217391 20.34782609] ; [14.34782609 15.65217391],0
b1,1,0.567916,0.326182,[26 13] ; [18 12],[24.86956522 14.13043478] ; [19.13043478 10.86956522],0
p9,1,0.575062,0.314286,[12 24] ; [12 18],[13.09090909 22.90909091] ; [10.90909091 19.09090909],0
s8,1,0.599856,0.275214,[ 4 35] ; [ 2 28],[ 3.39130435 35.60869565] ; [ 2.60869565 27.39130435],0
p1,1,0.599856,0.275214,[ 4 35] ; [ 2 28],[ 3.39130435 35.60869565] ; [ 2.60869565 27.39130435],0
r1,1,0.606445,0.265385,[12 27] ; [11 19],[13. 26.] ; [10. 20.],0
v4,1,0.609227,0.261302,[21 18] ; [18 12],[22.04347826 16.95652174] ; [16.95652174 13.04347826],0
