Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,5e-06,20.80969,[23 19] ; [ 4 40],[13.18604651 28.81395349] ; [13.81395349 30.18604651],1
a3,1,0.000139,14.512466,[31 11] ; [14 29],[22.23529412 19.76470588] ; [22.76470588 20.23529412],1
d2,1,0.000578,11.845066,[19 23] ; [ 5 38],[11.85882353 30.14117647] ; [12.14117647 30.85882353],1
d5,1,0.000663,11.589386,[34  8] ; [20 24],[26.37209302 15.62790698] ; [27.62790698 16.37209302],1
p9,1,0.00105,10.737219,[37  4] ; [26 18],[30.38823529 10.61176471] ; [32.61176471 11.38823529],0
n6,1,0.001219,10.460895,[34  5] ; [24 20],[27.25301205 11.74698795] ; [30.74698795 13.25301205],0
p4,1,0.002527,9.121212,[28 14] ; [15 29],[21. 21.] ; [22. 22.],0
n4,1,0.004003,8.282412,[31 11] ; [19 25],[24.41860465 17.58139535] ; [25.58139535 18.41860465],0
d1,1,0.007731,7.094651,[20 22] ; [ 9 35],[14.1627907 27.8372093] ; [14.8372093 29.1627907],0
n5,1,0.013349,6.122225,[29 10] ; [21 23],[23.4939759 15.5060241] ; [26.5060241 17.4939759],0
d4,1,0.025621,4.981406,[33  9] ; [24 19],[28.16470588 13.83529412] ; [28.83529412 14.16470588],0
p11,1,0.027344,4.868942,[34  8] ; [26 18],[29.30232558 12.69767442] ; [30.69767442 13.30232558],0
s7,1,0.037753,4.316117,[20 17] ; [13 29],[15.4556962 21.5443038] ; [17.5443038 24.4556962],0
u1,1,0.041698,4.147413,[ 6 36] ; [ 1 43],[ 3.41860465 38.58139535] ; [ 3.58139535 40.41860465],0
v4,1,0.048445,3.894487,[25 12] ; [37  6],[28.675  8.325] ; [33.325  9.675],0
p6,1,0.050548,3.823184,[17 25] ; [ 9 34],[12.84705882 29.15294118] ; [13.15294118 29.84705882],0
p3,1,0.051027,3.807399,[20 22] ; [12 32],[15.62790698 26.37209302] ; [16.37209302 27.62790698],0
p10,1,0.05994,3.539047,[31  9] ; [25 18],[26.98795181 13.01204819] ; [29.01204819 13.98795181],0
s6,1,0.060635,3.519931,[24 15] ; [18 26],[19.73493976 19.26506024] ; [22.26506024 21.73493976],0
s2,1,0.071915,3.23876,[20 19] ; [14 30],[15.97590361 23.02409639] ; [18.02409639 25.97590361],0
n1,1,0.076729,3.132867,[6 7] ; [ 4 18],[3.71428571 9.28571429] ; [ 6.28571429 15.71428571],0
a6,1,0.085867,2.950206,[24 18] ; [17 27],[20.02325581 21.97674419] ; [20.97674419 23.02325581],0
u2,1,0.118425,2.438031,[3 7] ; [17 12],[5.12820513 4.87179487] ; [14.87179487 14.12820513],0
v3,1,0.128647,2.308758,[11 30] ; [ 6 38],[ 8.2 32.8] ; [ 8.8 35.2],0
b4,1,0.134882,2.235399,[20 22] ; [28 16],[23.44186047 18.55813953] ; [24.55813953 19.44186047],0
r1,1,0.139147,2.187365,[15 25] ; [10 34],[11.9047619 28.0952381] ; [13.0952381 30.9047619],0
s8,1,0.161168,1.96323,[15 26] ; [10 34],[12.05882353 28.94117647] ; [12.94117647 31.05882353],0
v2,1,0.163482,1.941722,[20 20] ; [15 28],[16.86746988 23.13253012] ; [18.13253012 24.86746988],0
v1,1,0.253779,1.302381,[18 20] ; [15 28],[15.48148148 22.51851852] ; [17.51851852 25.48148148],0
a8,1,0.25702,1.284737,[ 3 34] ; [ 1 40],[ 1.8974359 35.1025641] ; [ 2.1025641 38.8974359],0
p5,1,0.258112,1.278855,[ 6 36] ; [ 3 41],[ 4.39534884 37.60465116] ; [ 4.60465116 39.39534884],0
