Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,32.536672,[ 9 19] ; [88 15],[20.73282443  7.26717557] ; [76.26717557 26.73282443],1
d4,1,3.7e-05,16.995198,[15 13] ; [90 12],[22.61538462  5.38461538] ; [82.38461538 19.61538462],1
d5,1,7.1e-05,15.790171,[14 14] ; [87 15],[21.75384615  6.24615385] ; [79.24615385 22.75384615],1
b3,1,0.000797,11.247153,[ 2 17] ; [41 36],[ 8.51041667 10.48958333] ; [34.48958333 42.51041667],1
b2,1,0.000797,11.247153,[ 2 17] ; [41 36],[ 8.51041667 10.48958333] ; [34.48958333 42.51041667],1
d1,1,0.000942,10.938741,[ 7 21] ; [62 41],[14.7480916 13.2519084] ; [54.2519084 48.7480916],1
s8,1,0.005171,7.818659,[10 18] ; [67 36],[16.45801527 11.54198473] ; [60.54198473 42.45801527],0
a4,1,0.006055,7.533785,[ 6 22] ; [52 51],[12.39694656 15.60305344] ; [45.60305344 57.39694656],0
r2,1,0.006099,7.520707,[21  7] ; [95  7],[24.98461538  3.01538462] ; [91.01538462 10.98461538],0
v2,1,0.008838,6.855257,[ 8 19] ; [58 42],[14.03149606 12.96850394] ; [51.96850394 48.03149606],0
n6,1,0.015316,5.879742,[19  9] ; [89 13],[23.26153846  4.73846154] ; [84.73846154 17.26153846],0
p9,1,0.015316,5.879742,[19  9] ; [89 13],[23.26153846  4.73846154] ; [84.73846154 17.26153846],0
p10,1,0.027746,4.843753,[18 10] ; [85 17],[22.18461538  5.81538462] ; [80.81538462 21.18461538],0
p11,1,0.036843,4.357649,[18 10] ; [85 18],[22.01526718  5.98473282] ; [80.98473282 22.01526718],0
d2,1,0.047186,3.93875,[10 18] ; [58 44],[14.64615385 13.35384615] ; [53.35384615 48.64615385],0
s7,1,0.050218,3.834165,[12 14] ; [67 33],[16.3015873  9.6984127] ; [62.6984127 37.3015873],0
v3,1,0.059352,3.555398,[ 8 19] ; [50 50],[12.33070866 14.66929134] ; [45.66929134 54.33070866],0
