Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2.3e-05,17.883351,[24 41] ; [69 29],[37.08588957 27.91411043] ; [55.91411043 42.08588957],1
d3,1,5.1e-05,16.418428,[15 50] ; [54 44],[27.51533742 37.48466258] ; [41.48466258 56.51533742],1
n4,1,0.001185,10.513238,[58  7] ; [65 32],[49.35185185 15.64814815] ; [73.64814815 23.35185185],0
r4,1,0.003702,8.424511,[49 16] ; [90  8],[55.42944785  9.57055215] ; [83.57055215 14.42944785],0
p2,1,0.006352,7.447568,[50 14] ; [91  7],[55.7037037  8.2962963] ; [85.2962963 12.7037037],0
v4,1,0.015213,5.891671,[56  7] ; [95  2],[59.45625  3.54375] ; [91.54375  5.45625],0
n5,1,0.023385,5.139651,[56  9] ; [68 28],[50.0621118 14.9378882] ; [73.9378882 22.0621118],0
r2,1,0.026791,4.904215,[54 10] ; [91  5],[58.  6.] ; [87.  9.],0
s8,1,0.036544,4.37155,[47 18] ; [55 43],[40.67484663 24.32515337] ; [61.32515337 36.67484663],0
b3,1,0.056553,3.635705,[26 24] ; [20 39],[21.10091743 28.89908257] ; [24.89908257 34.10091743],0
b2,1,0.056553,3.635705,[26 24] ; [20 39],[21.10091743 28.89908257] ; [24.89908257 34.10091743],0
a3,1,0.086685,2.934888,[50 15] ; [63 35],[45.06134969 19.93865031] ; [67.93865031 30.06134969],0
p12,1,0.089492,2.883482,[ 6 58] ; [ 3 94],[ 3.57763975 60.42236025] ; [ 5.42236025 91.57763975],0
u3,1,0.092261,2.834467,[8 7] ; [27  8],[10.5  4.5] ; [24.5 10.5],0
s3,1,0.094899,2.789243,[49 16] ; [61 36],[44.13580247 20.86419753] ; [65.86419753 31.13580247],0
d2,1,0.10392,2.644335,[15 50] ; [13 85],[11.16564417 53.83435583] ; [16.83435583 81.16564417],0
v1,1,0.134459,2.240255,[40 24] ; [49 48],[35.37888199 28.62111801] ; [53.62111801 43.37888199],0
p8,1,0.138549,2.193996,[30 34] ; [57 40],[34.58385093 29.41614907] ; [52.41614907 44.58385093],0
a1,1,0.146349,2.109901,[ 3 62] ; [ 1 97],[ 1.59509202 63.40490798] ; [ 2.40490798 95.59509202],0
s2,1,0.167732,1.903097,[46 19] ; [59 39],[41.87116564 23.12883436] ; [63.12883436 34.87116564],0
p6,1,0.170821,1.875721,[22 42] ; [43 52],[26.16352201 37.83647799] ; [38.83647799 56.16352201],0
a8,1,0.220782,1.499279,[ 8 56] ; [18 72],[10.80519481 53.19480519] ; [15.19480519 74.80519481],0
b4,1,0.236585,1.400825,[29 36] ; [53 45],[32.6993865 32.3006135] ; [49.3006135 48.6993865],0
n1,1,0.237741,1.393939,[13  9] ; [10 14],[11. 11.] ; [12. 12.],0
p5,1,0.261596,1.260291,[ 7 57] ; [17 81],[ 9.48148148 54.51851852] ; [14.51851852 83.48148148],0
r1,1,0.272723,1.203001,[46 19] ; [76 21],[48.95061728 16.04938272] ; [73.04938272 23.95061728],0
v3,1,0.29942,1.076775,[29 36] ; [35 61],[25.83850932 39.16149068] ; [38.16149068 57.83850932],0
v2,1,0.300172,1.073431,[29 33] ; [53 43],[32.17721519 29.82278481] ; [49.82278481 46.17721519],0
r3,1,0.320929,0.985155,[59  6] ; [91  5],[60.55900621  4.44099379] ; [89.44099379  6.55900621],0
p11,1,0.338609,0.91569,[52 13] ; [72 26],[49.44785276 15.55214724] ; [74.55214724 23.44785276],0
b1,1,0.349573,0.875007,[30 35] ; [38 60],[27.11656442 37.88343558] ; [40.88343558 57.11656442],0
a4,1,0.358717,0.842379,[18 47] ; [21 77],[15.55214724 49.44785276] ; [23.44785276 74.55214724],0
p3,1,0.387792,0.745855,[35 30] ; [46 52],[32.3006135 32.6993865] ; [48.6993865 49.3006135],0
p9,1,0.397717,0.715219,[53 12] ; [83 13],[54.9068323 10.0931677] ; [81.0931677 14.9068323],0
n3,1,0.463509,0.537408,[15  8] ; [18  6],[16.14893617  6.85106383] ; [16.85106383  7.14893617],0
b5,1,0.501941,0.45083,[33 32] ; [55 43],[35.09202454 29.90797546] ; [52.90797546 45.09202454],0
s1,1,0.533003,0.388664,[ 5 60] ; [ 5 90],[ 4.0625 60.9375] ; [ 5.9375 89.0625],0
d5,1,0.5362,0.382628,[39 26] ; [54 44],[37.08588957 27.91411043] ; [55.91411043 42.08588957],0
n6,1,0.584945,0.298309,[52 12] ; [82 15],[53.26708075 10.73291925] ; [80.73291925 16.26708075],0
a2,1,0.630509,0.231372,[ 4 61] ; [ 8 90],[ 4.78527607 60.21472393] ; [ 7.21472393 90.78527607],0
s4,1,0.634366,0.226187,[16 49] ; [21 77],[14.75460123 50.24539877] ; [22.24539877 75.75460123],0
s5,1,0.66159,0.191598,[25 39] ; [40 54],[26.32911392 37.67088608] ; [38.67088608 55.32911392],0
d4,1,0.674145,0.176792,[39 26] ; [62 36],[40.27607362 24.72392638] ; [60.72392638 37.27607362],0
p10,1,0.677149,0.173353,[55 10] ; [78 17],[54.03125 10.96875] ; [78.96875 16.03125],0
u1,1,0.67998,0.170148,[ 3 62] ; [ 6 92],[ 3.58895706 61.41104294] ; [ 5.41104294 92.58895706],0
u2,1,0.687673,0.161616,[10  5] ; [20 13],[9.375 5.625] ; [20.625 12.375],0
p7,1,0.701446,0.146972,[44 20] ; [68 27],[45.08176101 18.91823899] ; [66.91823899 28.08176101],0
s6,1,0.783134,0.075755,[49 14] ; [78 20],[49.69565217 13.30434783] ; [77.30434783 20.69565217],0
p1,1,0.862722,0.029898,[ 6 58] ; [10 88],[ 6.32098765 57.67901235] ; [ 9.67901235 88.32098765],0
n2,1,0.939539,0.005753,[18  5] ; [19  5],[18.10638298  4.89361702] ; [18.89361702  5.10638298],0
p4,1,0.969835,0.00143,[38 27] ; [57 41],[37.88343558 27.11656442] ; [57.11656442 40.88343558],0
a5,1,0.980519,0.000596,[41 24] ; [62 36],[41.07361963 23.92638037] ; [61.92638037 36.07361963],0
