Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,96.735187,[106  37] ; [ 17 106],[66.12406015 76.87593985] ; [56.87593985 66.12406015],1
d5,1,0.0,91.972485,[141   2] ; [59 65],[107.11610487  35.88389513] ; [92.88389513 31.11610487],1
d4,1,0.0,76.361982,[142   1] ; [69 55],[113.00749064  29.99250936] ; [97.99250936 26.00749064],1
d3,1,0.0,54.5622,[120  23] ; [50 74],[91.04868914 51.95131086] ; [78.95131086 45.04868914],1
a4,1,0.0,28.796043,[84 59] ; [32 91],[62.36090226 80.63909774] ; [53.63909774 69.36090226],1
u1,1,0.0,27.570279,[ 36 107] ; [  3 121],[ 20.88764045 122.11235955] ; [ 18.11235955 105.88764045],1
a2,1,0.0,27.104831,[ 42 101] ; [  6 118],[ 25.70786517 117.29213483] ; [ 22.29213483 101.70786517],1
a3,1,1.2e-05,19.212348,[110  33] ; [63 60],[93.0037594 49.9962406] ; [79.9962406 43.0037594],1
a5,1,0.000124,14.737303,[114  29] ; [72 52],[99.61797753 43.38202247] ; [86.38202247 37.61797753],1
s2,1,0.00017,14.136091,[84 59] ; [43 78],[68.79166667 74.20833333] ; [58.20833333 62.79166667],1
s8,1,0.000208,13.756756,[68 74] ; [32 92],[53.38345865 88.61654135] ; [46.61654135 77.38345865],1
s3,1,0.000983,10.859729,[87 56] ; [49 72],[73.66666667 69.33333333] ; [62.33333333 58.66666667],1
s7,1,0.001385,10.225993,[68 70] ; [36 85],[55.41312741 82.58687259] ; [48.58687259 72.41312741],0
p4,1,0.00505,7.861425,[74 69] ; [43 81],[62.66292135 80.33707865] ; [54.33707865 69.66292135],0
r1,1,0.006169,7.500282,[111  31] ; [78 46],[100.89473684  41.10526316] ; [88.10526316 35.89473684],0
v2,1,0.006652,7.364524,[78 57] ; [48 70],[67.23320158 67.76679842] ; [58.76679842 59.23320158],0
a7,1,0.008345,6.957899,[111  32] ; [78 46],[101.2247191  41.7752809] ; [87.7752809 36.2247191],0
r2,1,0.014112,6.024115,[137   5] ; [110  14],[131.85714286  10.14285714] ; [115.14285714   8.85714286],0
p3,1,0.015119,5.902549,[57 86] ; [32 92],[47.66666667 95.33333333] ; [41.33333333 82.66666667],0
s6,1,0.018341,5.563242,[98 44] ; [67 55],[88.75 53.25] ; [76.25 45.75],0
p6,1,0.027814,4.839565,[ 32 111] ; [ 15 109],[ 25.17228464 117.82771536] ; [ 21.82771536 102.17228464],0
p12,1,0.028663,4.78777,[ 18 125] ; [  6 117],[ 12.90225564 130.09774436] ; [ 11.09774436 111.90225564],0
n4,1,0.036385,4.378979,[111  32] ; [82 42],[103.3670412  39.6329588] ; [89.6329588 34.3670412],0
a8,1,0.044009,4.056229,[  9 122] ; [17 98],[ 13.84552846 117.15447154] ; [ 12.15447154 102.84552846],0
v3,1,0.045266,4.008692,[50 83] ; [31 89],[42.58102767 90.41897233] ; [38.41897233 81.58102767],0
r3,1,0.080167,3.061516,[136   7] ; [110  13],[132.2481203  10.7518797] ; [113.7518797   9.2481203],0
a6,1,0.105261,2.62396,[100  43] ; [75 49],[93.72659176 49.27340824] ; [81.27340824 42.72659176],0
s5,1,0.127238,2.325878,[39 94] ; [24 91],[33.78629032 99.21370968] ; [29.21370968 85.78629032],0
v4,1,0.129545,2.297947,[136   7] ; [112  12],[132.82397004  10.17602996] ; [115.17602996   8.82397004],0
n1,1,0.137469,2.206061,[24 21] ; [12 21],[20.76923077 24.23076923] ; [15.23076923 17.76923077],0
n6,1,0.168375,1.897355,[121  22] ; [96 27],[116.65789474  26.34210526] ; [100.34210526  22.65789474],0
u3,1,0.183589,1.768326,[22 11] ; [32 29],[18.95744681 14.04255319] ; [35.04255319 25.95744681],0
u2,1,0.206109,1.598549,[21 12] ; [30 30],[18.09677419 14.90322581] ; [32.90322581 27.09677419],0
r4,1,0.239192,1.385352,[125  18] ; [102  22],[121.57677903  21.42322097] ; [105.42322097  18.57677903],0
p5,1,0.264565,1.244711,[ 13 127] ; [  7 117],[ 10.60606061 129.39393939] ; [  9.39393939 114.60606061],0
n5,1,0.270063,1.216426,[106  36] ; [85 39],[101.96240602  40.03759398] ; [89.03759398 34.96240602],0
b1,1,0.312509,1.020043,[51 92] ; [37 87],[47.13108614 95.86891386] ; [40.86891386 83.13108614],0
p10,1,0.404744,0.694187,[124  19] ; [103  21],[121.57677903  21.42322097] ; [105.42322097  18.57677903],0
n2,1,0.443014,0.588464,[32 13] ; [26  7],[33.46153846 11.53846154] ; [24.53846154  8.46153846],0
b4,1,0.549346,0.35849,[86 57] ; [79 45],[88.37078652 54.62921348] ; [76.62921348 47.37078652],0
s1,1,0.553592,0.350922,[  5 138] ; [  6 115],[  5.95833333 137.04166667] ; [  5.04166667 115.95833333],0
a1,1,0.577059,0.311014,[  4 139] ; [  5 119],[  4.82022472 138.17977528] ; [  4.17977528 119.82022472],0
n3,1,0.674361,0.176543,[32 13] ; [22 11],[31.15384615 13.84615385] ; [22.84615385 10.15384615],0
v1,1,0.682678,0.167127,[65 72] ; [60 60],[66.63424125 70.36575875] ; [58.36575875 61.63424125],0
p2,1,0.689309,0.159834,[108  35] ; [91 33],[106.58052434  36.41947566] ; [92.41947566 31.58052434],0
p8,1,0.745155,0.105647,[ 39 103] ; [36 87],[ 40.18867925 101.81132075] ; [34.81132075 88.18867925],0
