Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,96.20362,[196  41] ; [121 176],[140.69101124  96.30898876] ; [176.30898876 120.69101124],1
v1,1,0.0,29.708237,[172  66] ; [146 152],[141.20149254  96.79850746] ; [176.79850746 121.20149254],1
s7,1,2.9e-05,17.473407,[143  82] ; [134 163],[119.39655172 105.60344828] ; [157.60344828 139.39655172],1
s8,1,0.000114,14.895696,[134 103] ; [122 184],[111.73480663 125.26519337] ; [144.26519337 161.73480663],1
p3,1,0.000342,12.827288,[151  87] ; [147 159],[130.375 107.625] ; [167.625 138.375],1
p12,1,0.000683,11.534471,[ 36 202] ; [ 19 285],[ 24.15129151 213.84870849] ; [ 30.84870849 273.15129151],1
d1,1,0.000872,11.080739,[164  78] ; [165 142],[145.02367942  96.97632058] ; [183.97632058 123.02367942],1
n4,1,0.00209,9.468446,[226  16] ; [261  46],[214.67030965  27.32969035] ; [272.32969035  34.67030965],0
s4,1,0.002256,9.329044,[ 26 213] ; [ 62 238],[ 39.02040816 199.97959184] ; [ 48.97959184 251.02040816],0
p5,1,0.002764,8.957123,[ 47 193] ; [ 32 273],[ 34.78899083 205.21100917] ; [ 44.21100917 260.78899083],0
a1,1,0.004001,8.283203,[ 18 224] ; [  7 300],[ 11.02003643 230.97996357] ; [ 13.97996357 293.02003643],0
p7,1,0.004646,8.012471,[176  58] ; [190 108],[160.98496241  73.01503759] ; [205.01503759  92.98496241],0
p1,1,0.007258,7.208014,[ 31 209] ; [ 19 286],[ 22.01834862 217.98165138] ; [ 27.98165138 277.01834862],0
r1,1,0.007841,7.069425,[207  35] ; [234  72],[194.74817518  47.25182482] ; [246.25182482  59.74817518],0
a3,1,0.009914,6.650292,[190  50] ; [213  94],[176.8190128  63.1809872] ; [226.1809872  80.8190128],0
u4,1,0.010877,6.485333,[  9 233] ; [  2 305],[  4.84881603 237.15118397] ; [  6.15118397 300.84881603],0
n6,1,0.011006,6.464416,[230  11] ; [274  32],[222.05484461  18.94515539] ; [281.94515539  24.05484461],0
s3,1,0.015735,5.832245,[148  84] ; [164 143],[134.29313544  97.70686456] ; [177.70686456 129.29313544],0
r4,1,0.026739,4.907592,[227  15] ; [271  36],[219.51912568  22.48087432] ; [278.48087432  28.51912568],0
r3,1,0.027865,4.836372,[236   4] ; [290  16],[231.20879121   8.79120879] ; [294.79120879  11.20879121],0
