Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,6e-06,20.537949,[28  9] ; [22 51],[16.81818182 20.18181818] ; [33.18181818 39.81818182],1
b4,1,0.004805,7.951438,[30  7] ; [42 36],[23.16521739 13.83478261] ; [48.83478261 29.16521739],0
a2,1,0.010834,6.492351,[10 27] ; [ 7 71],[ 5.46956522 31.53043478] ; [11.53043478 66.46956522],0
r4,1,0.02705,4.887637,[35  2] ; [61 17],[30.88695652  6.11304348] ; [65.11304348 12.88695652],0
p4,1,0.028415,4.802694,[22 15] ; [29 48],[16.55263158 20.44736842] ; [34.44736842 42.55263158],0
v1,1,0.05647,3.638127,[20 17] ; [26 48],[15.33333333 21.66666667] ; [30.66666667 43.33333333],0
d3,1,0.06134,3.500774,[28  9] ; [45 33],[23.48695652 13.51304348] ; [49.51304348 28.48695652],0
a7,1,0.080674,3.051266,[28  9] ; [46 32],[23.80869565 13.19130435] ; [50.19130435 27.80869565],0
d1,1,0.086819,2.932382,[21 16] ; [31 47],[16.73043478 20.26956522] ; [35.26956522 42.73043478],0
n6,1,0.12579,2.343703,[31  6] ; [55 23],[27.66956522  9.33043478] ; [58.33043478 19.66956522],0
p3,1,0.128374,2.312061,[20 17] ; [30 47],[16.22807018 20.77192982] ; [33.77192982 43.22807018],0
b5,1,0.134605,2.238578,[24 13] ; [39 39],[20.26956522 16.73043478] ; [42.73043478 35.26956522],0
p2,1,0.154374,2.02849,[33  4] ; [61 17],[30.24347826  6.75652174] ; [63.75652174 14.24347826],0
v4,1,0.156263,2.010019,[35  2] ; [65 11],[32.74336283  4.25663717] ; [67.25663717  8.74336283],0
p11,1,0.180946,1.789834,[30  7] ; [54 24],[27.02608696  9.97391304] ; [56.97391304 21.02608696],0
n3,1,0.22211,1.490683,[6 1] ; [14  9],[4.66666667 2.33333333] ; [15.33333333  7.66666667],0
p8,1,0.258393,1.277345,[21 16] ; [35 42],[18.1754386 18.8245614] ; [37.8245614 39.1754386],0
s6,1,0.262811,1.253888,[25 12] ; [43 33],[22.26548673 14.73451327] ; [45.73451327 30.26548673],0
s7,1,0.266779,1.233233,[14 22] ; [21 53],[11.45454545 24.54545455] ; [23.54545455 50.45454545],0
b1,1,0.310747,1.027497,[12 25] ; [33 45],[14.47826087 22.52173913] ; [30.52173913 47.47826087],0
s5,1,0.334821,0.93016,[ 3 33] ; [11 63],[ 4.58181818 31.41818182] ; [ 9.41818182 64.58181818],0
p6,1,0.343221,0.898363,[12 25] ; [18 57],[ 9.91071429 27.08928571] ; [20.08928571 54.91071429],0
d5,1,0.396299,0.719527,[28  9] ; [53 25],[26.06086957 10.93913043] ; [54.93913043 23.06086957],0
a3,1,0.41948,0.651771,[25 12] ; [46 31],[23.04385965 13.95614035] ; [47.95614035 29.04385965],0
a8,1,0.420383,0.649245,[ 5 29] ; [ 7 67],[ 3.77777778 30.22222222] ; [ 8.22222222 65.77777778],0
n5,1,0.450568,0.569223,[28  9] ; [53 24],[26.28947368 10.71052632] ; [54.71052632 22.28947368],0
s4,1,0.455948,0.555822,[ 3 34] ; [10 68],[ 4.1826087 32.8173913] ; [ 8.8173913 69.1826087],0
p9,1,0.475378,0.509448,[28  9] ; [54 24],[26.3826087 10.6173913] ; [55.6173913 22.3826087],0
r2,1,0.483243,0.491535,[35  2] ; [69  7],[34.05309735  2.94690265] ; [69.94690265  6.05309735],0
a1,1,0.551293,0.355005,[ 1 36] ; [ 4 74],[ 1.60869565 35.39130435] ; [ 3.39130435 74.60869565],0
a6,1,0.584377,0.299212,[27 10] ; [53 25],[25.73913043 11.26086957] ; [54.26086957 23.73913043],0
p1,1,0.65249,0.202776,[ 2 35] ; [ 6 72],[ 2.57391304 34.42608696] ; [ 5.42608696 72.57391304],0
d2,1,0.661609,0.191575,[15 22] ; [35 43],[16.08695652 20.91304348] ; [33.91304348 44.08695652],0
d4,1,0.673055,0.178049,[26 11] ; [57 20],[26.93859649 10.06140351] ; [56.06140351 20.93859649],0
b3,1,0.678291,0.172057,[ 7 15] ; [17 29],[ 7.76470588 14.23529412] ; [16.23529412 29.76470588],0
