Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,33.621278,[15 49] ; [169  97],[35.68484848 28.31515152] ; [148.31515152 117.68484848],1
d1,1,0.0,30.394737,[24 40] ; [196  70],[42.66666667 21.33333333] ; [177.33333333  88.66666667],1
a3,1,3e-06,21.576426,[37 27] ; [223  42],[50.5775076 13.4224924] ; [209.4224924  55.5775076],1
d5,1,0.000161,14.242558,[44 20] ; [233  32],[53.88449848 10.11550152] ; [223.11550152  41.88449848],1
a4,1,0.000269,13.275079,[17 47] ; [138 128],[30.06060606 33.93939394] ; [124.93939394 141.06060606],1
d4,1,0.000278,13.215243,[46 18] ; [237  28],[55.05167173  8.94832827] ; [227.94832827  37.05167173],1
u1,1,0.000379,12.6339,[ 3 61] ; [ 66 200],[13.38181818 50.61818182] ; [ 55.61818182 210.38181818],1
s5,1,0.000799,11.24412,[13 45] ; [119 137],[24.38216561 33.61783439] ; [107.61783439 148.38216561],1
r1,1,0.005272,7.783693,[45 18] ; [228  37],[52.43597561 10.56402439] ; [220.56402439  44.43597561],0
a6,1,0.008168,6.996373,[33 31] ; [183  82],[42.01823708 21.98176292] ; [173.98176292  91.01823708],0
b3,1,0.011014,6.463114,[12 31] ; [96 99],[19.51260504 23.48739496] ; [ 88.48739496 106.51260504],0
b2,1,0.011014,6.463114,[12 31] ; [96 99],[19.51260504 23.48739496] ; [ 88.48739496 106.51260504],0
p9,1,0.020902,5.334966,[55  9] ; [249  15],[59.31707317  4.68292683] ; [244.68292683  19.31707317],0
p3,1,0.03546,4.422874,[31 33] ; [167  99],[38.4 25.6] ; [159.6 106.4],0
v1,1,0.03677,4.361037,[32 30] ; [168  87],[39.11671924 22.88328076] ; [160.88328076  94.11671924],0
d3,1,0.06101,3.509716,[38 26] ; [190  76],[44.21818182 19.78181818] ; [183.78181818  82.21818182],0
r4,1,0.072875,3.21705,[56  8] ; [250  16],[59.34545455  4.65454545] ; [246.65454545  19.34545455],0
p4,1,0.073283,3.207912,[38 26] ; [188  77],[43.96352584 20.03647416] ; [182.03647416  82.96352584],0
s1,1,0.082418,3.016555,[ 5 59] ; [  8 253],[ 2.56 61.44] ; [ 10.44 250.56],0
s4,1,0.103528,2.650338,[16 48] ; [ 43 221],[11.51219512 52.48780488] ; [ 47.48780488 216.51219512],0
p2,1,0.103693,2.647806,[51 13] ; [232  33],[55.05167173  8.94832827] ; [227.94832827  37.05167173],0
s7,1,0.12365,2.370469,[42 20] ; [199  59],[46.69375 15.30625] ; [194.30625  63.69375],0
b4,1,0.124654,2.357847,[31 33] ; [157 109],[36.46060606 27.53939394] ; [151.53939394 114.46060606],0
n4,1,0.134624,2.238356,[50 14] ; [228  38],[53.91515152 10.08484848] ; [224.08484848  41.91515152],0
p10,1,0.147299,2.100005,[54  9] ; [242  22],[57.02752294  5.97247706] ; [238.97247706  25.02752294],0
n3,1,0.178675,1.808612,[8 1] ; [36 18],[6.28571429 2.71428571] ; [37.71428571 16.28571429],0
r2,1,0.203742,1.615343,[57  5] ; [252  11],[58.94769231  3.05230769] ; [250.05230769  12.94769231],0
v4,1,0.205669,1.601654,[59  4] ; [257   8],[60.69512195  2.30487805] ; [255.30487805   9.69512195],0
s2,1,0.214082,1.543606,[40 23] ; [188  75],[44.06134969 18.93865031] ; [183.93865031  79.06134969],0
n2,1,0.246556,1.342711,[8 1] ; [38 16],[6.57142857 2.42857143] ; [39.42857143 14.57142857],0
u3,1,0.265806,1.238262,[16 11] ; [31 12],[18.12857143  8.87142857] ; [28.87142857 14.12857143],0
u4,1,0.276264,1.185379,[ 1 63] ; [ 12 254],[ 2.52121212 61.47878788] ; [ 10.47878788 255.52121212],0
a1,1,0.313919,1.014117,[ 2 62] ; [ 17 249],[ 3.68484848 60.31515152] ; [ 15.31515152 250.68484848],0
v2,1,0.383775,0.758574,[34 26] ; [160  95],[36.95238095 23.04761905] ; [157.04761905  97.95238095],0
n1,1,0.395477,0.722037,[5 4] ; [21 31],[3.83606557 5.16393443] ; [22.16393443 29.83606557],0
n5,1,0.408653,0.682715,[50 14] ; [218  46],[52.29268293 11.70731707] ; [215.70731707  48.29268293],0
p12,1,0.436615,0.605163,[ 6 58] ; [ 34 229],[ 7.82874618 56.17125382] ; [ 32.17125382 230.82874618],0
p1,1,0.43819,0.601018,[ 7 57] ; [ 21 244],[ 5.44680851 58.55319149] ; [ 22.55319149 242.44680851],0
s6,1,0.591097,0.288634,[52 12] ; [221  42],[53.43119266 10.56880734] ; [219.56880734  43.43119266],0
p6,1,0.625089,0.23878,[27 34] ; [126 138],[28.71692308 32.28307692] ; [124.28307692 139.71692308],0
a8,1,0.675771,0.174926,[11 47] ; [ 41 205],[ 9.92105263 48.07894737] ; [ 42.07894737 203.92105263],0
