Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,23.751989,[11 21] ; [47  8],[21.33333333 10.66666667] ; [36.66666667 18.33333333],1
a5,1,0.002525,9.12216,[13 19] ; [41 15],[19.63636364 12.36363636] ; [34.36363636 21.63636364],0
p9,1,0.002973,8.823662,[16 16] ; [45 11],[22.18181818  9.81818182] ; [38.81818182 17.18181818],0
r1,1,0.007072,7.254697,[17 15] ; [45 11],[22.54545455  9.45454545] ; [39.45454545 16.54545455],0
d3,1,0.018743,5.525342,[15 17] ; [39 15],[20.09302326 11.90697674] ; [33.90697674 20.09302326],0
r4,1,0.027262,4.874158,[18 14] ; [44 12],[22.54545455  9.45454545] ; [39.45454545 16.54545455],0
a2,1,0.028254,4.8125,[ 2 30] ; [14 42],[ 5.81818182 26.18181818] ; [10.18181818 45.81818182],0
s5,1,0.030871,4.660097,[11 21] ; [ 8 47],[ 6.98850575 25.01149425] ; [12.01149425 42.98850575],0
d5,1,0.037935,4.307924,[19 13] ; [44 11],[23.17241379  8.82758621] ; [39.82758621 15.17241379],0
p10,1,0.042346,4.121316,[16 15] ; [41 15],[20.31034483 10.68965517] ; [36.68965517 19.31034483],0
r2,1,0.052542,3.758431,[21 10] ; [47  8],[24.51162791  6.48837209] ; [43.48837209 11.51162791],0
d1,1,0.082465,3.015642,[11 21] ; [30 26],[14.90909091 17.09090909] ; [26.09090909 29.90909091],0
a8,1,0.082597,3.013041,[ 1 29] ; [ 8 42],[ 3.375 26.625] ; [ 5.625 44.375],0
a3,1,0.083786,2.989894,[17 15] ; [40 16],[20.72727273 11.27272727] ; [36.27272727 19.72727273],0
b1,1,0.094626,2.793855,[25  7] ; [34 22],[21.45454545 10.54545455] ; [37.54545455 18.45454545],0
u1,1,0.096485,2.762708,[ 1 31] ; [ 8 48],[ 3.27272727 28.72727273] ; [ 5.72727273 50.27272727],0
p1,1,0.100145,2.703231,[ 3 29] ; [ 1 55],[ 1.45454545 30.54545455] ; [ 2.54545455 53.45454545],0
b4,1,0.114591,2.489732,[21 11] ; [27 29],[17.45454545 14.54545455] ; [30.54545455 25.45454545],0
s8,1,0.128949,2.305118,[ 8 24] ; [23 33],[11.27272727 20.72727273] ; [19.72727273 36.27272727],0
v4,1,0.169087,1.891019,[25  5] ; [52  4],[26.86046512  3.13953488] ; [50.13953488  5.86046512],0
s6,1,0.1898,1.71917,[16 16] ; [36 20],[18.90909091 13.09090909] ; [33.09090909 22.90909091],0
v3,1,0.190039,1.717316,[ 5 26] ; [15 37],[ 7.46987952 23.53012048] ; [12.53012048 39.46987952],0
n2,1,0.191785,1.703855,[11  1] ; [10  4],[9.69230769 2.30769231] ; [11.30769231  2.69230769],0
b5,1,0.205793,1.600776,[18 14] ; [39 17],[20.72727273 11.27272727] ; [36.27272727 19.72727273],0
r3,1,0.206508,1.59574,[27  5] ; [52  4],[28.72727273  3.27272727] ; [50.27272727  5.72727273],0
s4,1,0.21,1.571429,[ 8 24] ; [ 8 48],[ 5.81818182 26.18181818] ; [10.18181818 45.81818182],0
n4,1,0.226285,1.464064,[14 18] ; [32 24],[16.72727273 15.27272727] ; [29.27272727 26.72727273],0
d4,1,0.239563,1.383165,[20 11] ; [42 13],[22.34883721  8.65116279] ; [39.65116279 15.34883721],0
v2,1,0.254826,1.296648,[13 18] ; [28 23],[15.5 15.5] ; [25.5 25.5],0
u3,1,0.255704,1.291866,[8 7] ; [11  4],[9.5 5.5] ; [9.5 5.5],0
p6,1,0.255996,1.290282,[12 16] ; [17 39],[ 9.66666667 18.33333333] ; [19.33333333 36.66666667],0
n5,1,0.331462,0.943176,[14 18] ; [30 25],[16.18390805 15.81609195] ; [27.81609195 27.18390805],0
s3,1,0.336486,0.923774,[20 12] ; [28 26],[17.86046512 14.13953488] ; [30.13953488 23.86046512],0
v1,1,0.369372,0.805776,[15 17] ; [20 34],[13.02325581 18.97674419] ; [21.97674419 32.02325581],0
n1,1,0.40905,0.681561,[4 7] ; [ 3 11],[3.08 7.92] ; [ 3.92 10.08],0
b2,1,0.443799,0.586441,[ 3 19] ; [ 7 25],[ 4.07407407 17.92592593] ; [ 5.92592593 26.07407407],0
b3,1,0.443799,0.586441,[ 3 19] ; [ 7 25],[ 4.07407407 17.92592593] ; [ 5.92592593 26.07407407],0
p3,1,0.470494,0.520816,[13 18] ; [28 28],[14.6091954 16.3908046] ; [26.3908046 29.6091954],0
p5,1,0.486504,0.484249,[ 3 29] ; [ 3 52],[ 2.20689655 29.79310345] ; [ 3.79310345 51.20689655],0
n3,1,0.495088,0.465449,[8 4] ; [11  3],[8.76923077 3.23076923] ; [10.23076923  3.76923077],0
p4,1,0.501791,0.451147,[20 11] ; [32 24],[18.52873563 12.47126437] ; [33.47126437 22.52873563],0
a1,1,0.56172,0.336735,[ 2 30] ; [ 2 54],[ 1.45454545 30.54545455] ; [ 2.54545455 53.45454545],0
p11,1,0.570114,0.322491,[21 11] ; [40 16],[22.18181818  9.81818182] ; [38.81818182 17.18181818],0
d2,1,0.609538,0.260848,[14 18] ; [21 34],[12.87356322 19.12643678] ; [22.12643678 32.87356322],0
p8,1,0.670907,0.180543,[16 15] ; [31 24],[16.94186047 14.05813953] ; [30.05813953 24.94186047],0
s7,1,0.73071,0.118461,[10 18] ; [21 32],[10.71604938 17.28395062] ; [20.28395062 32.71604938],0
s2,1,0.817741,0.053108,[12 20] ; [22 33],[12.50574713 19.49425287] ; [21.49425287 33.50574713],0
s1,1,0.855949,0.032955,[ 2 30] ; [ 4 51],[ 2.20689655 29.79310345] ; [ 3.79310345 51.20689655],0
u2,1,0.92985,0.00775,[12  3] ; [13  3],[12.09677419  2.90322581] ; [12.90322581  3.09677419],0
a4,1,0.9661,0.001806,[11 21] ; [19 37],[10.90909091 21.09090909] ; [19.09090909 36.90909091],0
p2,1,0.968383,0.001571,[24  6] ; [45 11],[24.06976744  5.93023256] ; [44.93023256 11.06976744],0
