Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.002872,8.886857,[6 1] ; [ 6 19],[2.625 4.375] ; [ 9.375 15.625],0
p6,1,0.007215,7.21864,[3 4] ; [ 1 23],[0.90322581 6.09677419] ; [ 3.09677419 20.90322581],0
b5,1,0.032509,4.571429,[6 1] ; [10 15],[3.5 3.5] ; [12.5 12.5],0
n5,1,0.108425,2.577027,[6 1] ; [13 12],[4.15625 2.84375] ; [14.84375 10.15625],0
a3,1,0.17346,1.852787,[4 3] ; [ 7 17],[2.48387097 4.51612903] ; [ 8.51612903 15.48387097],0
b4,1,0.205483,1.602968,[6 1] ; [15 10],[4.59375 2.40625] ; [16.40625  8.59375],0
d2,1,0.217044,1.52381,[3 4] ; [ 5 20],[1.75 5.25] ; [ 6.25 18.75],0
n2,1,0.256839,1.285714,[3 1] ; [6 8],[2. 2.] ; [7. 7.],0
u3,1,0.271028,1.211538,[2 1] ; [ 6 12],[1.14285714 1.85714286] ; [ 6.85714286 11.14285714],0
v3,1,0.285836,1.139132,[2 5] ; [ 3 22],[1.09375 5.90625] ; [ 3.90625 21.09375],0
n6,1,0.314069,1.013488,[4 3] ; [ 9 16],[2.84375 4.15625] ; [10.15625 14.84375],0
a4,1,0.337623,0.919438,[1 6] ; [ 1 23],[0.4516129 6.5483871] ; [ 1.5483871 22.4516129],0
b1,1,0.359734,0.838821,[5 2] ; [13 12],[3.9375 3.0625] ; [14.0625 10.9375],0
n3,1,0.374857,0.7875,[3 1] ; [7 7],[2.22222222 1.77777778] ; [7.77777778 6.22222222],0
n1,1,0.422678,0.642857,[2 2] ; [ 4 10],[1.33333333 2.66666667] ; [4.66666667 9.33333333],0
d1,1,0.451323,0.567326,[2 5] ; [ 4 21],[1.3125 5.6875] ; [ 4.6875 20.3125],0
v1,1,0.458902,0.548571,[1 6] ; [ 7 18],[1.75 5.25] ; [ 6.25 18.75],0
a6,1,0.458902,0.548571,[1 6] ; [ 7 18],[1.75 5.25] ; [ 6.25 18.75],0
b3,1,0.530801,0.392857,[2 2] ; [ 6 12],[1.45454545 2.54545455] ; [ 6.54545455 11.45454545],0
b2,1,0.530801,0.392857,[2 2] ; [ 6 12],[1.45454545 2.54545455] ; [ 6.54545455 11.45454545],0
d4,1,0.537957,0.379339,[4 3] ; [11 14],[3.28125 3.71875] ; [11.71875 13.28125],0
p2,1,0.537957,0.379339,[4 3] ; [11 14],[3.28125 3.71875] ; [11.71875 13.28125],0
r1,1,0.592948,0.285764,[3 4] ; [ 8 17],[2.40625 4.59375] ; [ 8.59375 16.40625],0
a1,1,0.614051,0.254319,[1 6] ; [ 2 23],[0.65625 6.34375] ; [ 2.34375 22.65625],0
s1,1,0.614051,0.254319,[1 6] ; [ 2 23],[0.65625 6.34375] ; [ 2.34375 22.65625],0
p11,1,0.627766,0.235102,[2 5] ; [ 5 20],[1.53125 5.46875] ; [ 5.46875 19.53125],0
s3,1,0.631069,0.230614,[1 6] ; [ 5 17],[1.44827586 5.55172414] ; [ 4.55172414 17.44827586],0
r2,1,0.634433,0.226097,[4 2] ; [14 11],[3.48387097 2.51612903] ; [14.51612903 10.48387097],0
n4,1,0.668929,0.182857,[4 3] ; [12 13],[3.5 3.5] ; [12.5 12.5],0
p1,1,0.732074,0.117216,[1 6] ; [ 5 20],[1.3125 5.6875] ; [ 4.6875 20.3125],0
p3,1,0.732074,0.117216,[1 6] ; [ 5 20],[1.3125 5.6875] ; [ 4.6875 20.3125],0
s4,1,0.732074,0.117216,[1 6] ; [ 5 20],[1.3125 5.6875] ; [ 4.6875 20.3125],0
s6,1,0.804997,0.060952,[2 5] ; [ 6 19],[1.75 5.25] ; [ 6.25 18.75],0
s7,1,0.819477,0.052083,[1 5] ; [ 5 19],[1.2 4.8] ; [ 4.8 19.2],0
p7,1,0.842103,0.039683,[2 4] ; [ 7 17],[1.8 4.2] ; [ 7.2 16.8],0
a7,1,0.862667,0.029922,[2 5] ; [ 8 17],[2.1875 4.8125] ; [ 7.8125 17.1875],0
s8,1,0.871602,0.026122,[1 6] ; [ 3 22],[0.875 6.125] ; [ 3.125 21.875],0
s5,1,0.871602,0.026122,[1 6] ; [ 3 22],[0.875 6.125] ; [ 3.125 21.875],0
r4,1,0.871602,0.026122,[1 6] ; [ 3 22],[0.875 6.125] ; [ 3.125 21.875],0
p9,1,0.891787,0.018508,[3 4] ; [10 15],[2.84375 4.15625] ; [10.15625 14.84375],0
p10,1,0.891787,0.018508,[3 4] ; [10 15],[2.84375 4.15625] ; [10.15625 14.84375],0
s2,1,0.912084,0.01219,[1 6] ; [ 4 21],[1.09375 5.90625] ; [ 3.90625 21.09375],0
p4,1,0.968196,0.00159,[1 5] ; [ 4 21],[0.96774194 5.03225806] ; [ 4.03225806 20.96774194],0
p8,1,0.976289,0.000883,[2 5] ; [ 7 18],[1.96875 5.03125] ; [ 7.03125 17.96875],0
