Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,117.52323,[244   3] ; [84 65],[204.58585859  42.41414141] ; [123.41414141  25.58585859],1
d2,1,0.0,114.680697,[183  66] ; [ 27 122],[131.38190955 117.61809045] ; [78.61809045 70.38190955],1
d3,1,0.0,113.214408,[219  30] ; [55 94],[171.42211055  77.57788945] ; [102.57788945  46.42211055],1
d5,1,0.0,103.522071,[240   8] ; [83 66],[201.77329975  46.22670025] ; [121.22670025  27.77329975],1
a4,1,0.0,48.011648,[151 100] ; [ 36 112],[117.63659148 133.36340852] ; [69.36340852 78.63659148],1
a2,1,0.0,45.016159,[ 93 158] ; [ 10 139],[ 64.6325 186.3675] ; [ 38.3675 110.6325],1
a5,1,0.0,39.940134,[212  39] ; [83 66],[185.1125  65.8875] ; [109.8875  39.1125],1
u1,1,0.0,38.697902,[ 75 176] ; [  6 143],[ 50.8275 200.1725] ; [ 30.1725 118.8275],1
a3,1,0.0,32.909838,[213  37] ; [89 60],[189.22305764  60.77694236] ; [112.77694236  36.22305764],1
s8,1,8e-05,15.568818,[170  79] ; [72 77],[151.40201005  97.59798995] ; [90.59798995 58.40201005],1
p4,1,0.000378,12.639764,[179  70] ; [81 68],[162.66331658  86.33668342] ; [97.33668342 51.66331658],1
r1,1,0.000528,12.013452,[219  32] ; [108  39],[206.22361809  44.77638191] ; [120.77638191  26.22361809],1
r2,1,0.001178,10.524042,[245   3] ; [137  11],[239.23232323   8.76767677] ; [142.76767677   5.23232323],0
n4,1,0.001465,10.12196,[234  17] ; [123  25],[224.57894737  26.42105263] ; [132.42105263  15.57894737],0
a6,1,0.001713,9.834268,[178  70] ; [84 65],[163.6675063  84.3324937] ; [98.3324937 50.6675063],0
s2,1,0.002336,9.264675,[212  39] ; [107  42],[200.1725  50.8275] ; [118.8275  30.1725],0
s7,1,0.002899,8.870187,[180  64] ; [84 58],[166.88082902  77.11917098] ; [97.11917098 44.88082902],0
a7,1,0.00307,8.765598,[191  60] ; [92 56],[178.02756892  72.97243108] ; [104.97243108  43.02756892],0
p12,1,0.004231,8.181891,[ 37 213] ; [  8 140],[ 28.26633166 221.73366834] ; [ 16.73366834 131.26633166],0
u2,1,0.009792,6.672412,[26 12] ; [25 35],[19.7755102 18.2244898] ; [31.2244898 28.7755102],0
s5,1,0.009936,6.646424,[113 125] ; [49 95],[100.93193717 137.06806283] ; [61.06806283 82.93193717],0
p3,1,0.013637,6.084491,[147 102] ; [69 80],[135.13567839 113.86432161] ; [80.86432161 68.13567839],0
r4,1,0.020463,5.371918,[237  14] ; [131  18],[230.92  20.08] ; [137.08  11.92],0
a1,1,0.025341,5.000414,[ 18 233] ; [  3 146],[ 13.1775 237.8225] ; [  7.8225 141.1775],0
v3,1,0.025389,4.997165,[114 123] ; [54 94],[103.41818182 133.58181818] ; [64.58181818 83.41818182],0
u4,1,0.026342,4.933435,[ 15 236] ; [  2 147],[ 10.6675 240.3325] ; [  6.3325 142.6675],0
n6,1,0.031209,4.641405,[230  20] ; [126  22],[223.61809045  26.38190955] ; [132.38190955  15.61809045],0
p6,1,0.037391,4.332535,[116 132] ; [53 94],[106.10632911 141.89367089] ; [62.89367089 84.10632911],0
v1,1,0.05608,3.649666,[149  94] ; [74 70],[140.02325581 102.97674419] ; [82.97674419 61.02325581],0
p9,1,0.062098,3.480459,[226  25] ; [123  24],[220.09798995  30.90201005] ; [128.90201005  18.09798995],0
b5,1,0.072884,3.216841,[156  95] ; [79 70],[147.4625 103.5375] ; [87.5375 61.4625],0
p8,1,0.095591,2.777607,[146 103] ; [73 73],[138.05316456 110.94683544] ; [80.94683544 65.05316456],0
b3,1,0.097478,2.746335,[73 97] ; [27 57],[ 66.92913386 103.07086614] ; [33.07086614 50.92913386],0
b2,1,0.097478,2.746335,[73 97] ; [27 57],[ 66.92913386 103.07086614] ; [33.07086614 50.92913386],0
v2,1,0.103789,2.646338,[142  99] ; [71 70],[134.37958115 106.62041885] ; [78.62041885 62.37958115],0
p11,1,0.108198,2.580351,[210  41] ; [115  34],[203.9375  47.0625] ; [121.0625  27.9375],0
r3,1,0.153425,2.037859,[241   9] ; [138  10],[238.06532663  11.93467337] ; [140.93467337   7.06532663],0
n3,1,0.168934,1.892382,[31 17] ; [26  7],[33.77777778 14.22222222] ; [23.22222222  9.77777778],0
u3,1,0.185988,1.749111,[26 12] ; [33 27],[22.87755102 15.12244898] ; [36.12244898 23.87755102],0
n2,1,0.203074,1.620129,[36 11] ; [29  4],[38.1875  8.8125] ; [26.8125  6.1875],0
p10,1,0.208072,1.584787,[218  33] ; [120  26],[213.697733  37.302267] ; [124.302267  21.697733],0
p5,1,0.209302,1.576247,[ 42 206] ; [ 18 129],[ 37.67088608 210.32911392] ; [ 22.32911392 124.67088608],0
s6,1,0.276095,1.186212,[212  34] ; [119  26],[208.25063939  37.74936061] ; [122.74936061  22.25063939],0
