Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,38.336572,[ 2 71] ; [44 53],[19.75294118 53.24705882] ; [26.24705882 70.75294118],1
d3,1,1e-06,24.247194,[20 53] ; [63 33],[35.85207101 37.14792899] ; [47.14792899 48.85207101],1
d4,1,3e-06,22.062686,[29 43] ; [73 23],[43.71428571 28.28571429] ; [58.28571429 37.71428571],1
a7,1,1.6e-05,18.623024,[30 43] ; [71 25],[43.62721893 29.37278107] ; [57.37278107 38.62721893],1
v2,1,0.002131,9.433305,[19 48] ; [49 44],[28.475 38.525] ; [39.525 53.475],0
r4,1,0.002179,9.392316,[43 30] ; [78 19],[51.95882353 21.04117647] ; [69.04117647 27.95882353],0
a3,1,0.003633,8.458786,[21 50] ; [50 46],[30.18562874 40.81437126] ; [40.81437126 55.18562874],0
p4,1,0.008214,6.986258,[19 52] ; [45 51],[27.20958084 43.79041916] ; [36.79041916 59.20958084],0
v4,1,0.019092,5.493092,[56 16] ; [88  9],[61.34911243 10.65088757] ; [82.65088757 14.34911243],0
a8,1,0.019172,5.485729,[ 3 67] ; [14 74],[ 7.53164557 62.46835443] ; [ 9.46835443 78.53164557],0
r3,1,0.024173,5.08218,[55 18] ; [85 11],[60.47337278 12.52662722] ; [79.52662722 16.47337278],0
v3,1,0.025286,5.004178,[15 57] ; [35 60],[21.55688623 50.44311377] ; [28.44311377 66.55688623],0
r1,1,0.027653,4.849545,[34 39] ; [61 35],[41.03550296 31.96449704] ; [53.96449704 42.03550296],0
p10,1,0.038901,4.265174,[35 36] ; [62 33],[41.48795181 29.51204819] ; [55.51204819 39.48795181],0
a6,1,0.048715,3.885155,[31 42] ; [56 41],[37.35882353 35.64117647] ; [49.64117647 47.35882353],0
a1,1,0.08927,2.887497,[ 4 69] ; [ 1 96],[ 2.14705882 70.85294118] ; [ 2.85294118 94.14705882],0
a4,1,0.090839,2.859439,[ 9 63] ; [22 75],[13.20710059 58.79289941] ; [17.79289941 79.20710059],0
p8,1,0.091244,2.852287,[22 50] ; [42 55],[27.26627219 44.73372781] ; [36.73372781 60.26627219],0
s7,1,0.112808,2.514439,[ 9 61] ; [21 72],[12.88343558 57.11656442] ; [17.11656442 75.88343558],0
p2,1,0.123499,2.372381,[47 26] ; [73 24],[51.52941176 21.47058824] ; [68.47058824 28.52941176],0
u3,1,0.141608,2.160393,[20 32] ; [25 22],[23.63636364 28.36363636] ; [21.36363636 25.63636364],0
p3,1,0.141775,2.158591,[20 53] ; [37 60],[24.47647059 48.52352941] ; [32.52352941 64.47647059],0
u2,1,0.156953,2.003338,[22 29] ; [27 20],[25.5 25.5] ; [23.5 23.5],0
s4,1,0.239751,1.382055,[10 62] ; [ 8 89],[ 7.66863905 64.33136095] ; [10.33136095 86.66863905],0
n6,1,0.243505,1.360186,[49 24] ; [73 24],[52.38823529 20.61176471] ; [69.61176471 27.38823529],0
p6,1,0.244622,1.35376,[15 55] ; [28 67],[18.24242424 51.75757576] ; [24.75757576 70.24242424],0
v1,1,0.253894,1.301748,[23 48] ; [39 56],[26.51807229 44.48192771] ; [35.48192771 59.51807229],0
b5,1,0.287545,1.131079,[40 33] ; [61 36],[43.37058824 29.62941176] ; [57.62941176 39.37058824],0
r2,1,0.323183,0.976023,[58 15] ; [81 14],[60.39880952 12.60119048] ; [78.60119048 16.39880952],0
p11,1,0.330307,0.947696,[46 27] ; [68 29],[48.95294118 24.04705882] ; [65.04705882 31.95294118],0
d2,1,0.369183,0.806414,[14 59] ; [24 72],[16.41420118 56.58579882] ; [21.58579882 74.41420118],0
p5,1,0.394105,0.726239,[ 3 70] ; [ 7 90],[ 4.29411765 68.70588235] ; [ 5.70588235 91.29411765],0
u1,1,0.402248,0.701596,[ 2 71] ; [ 1 96],[ 1.28823529 71.71176471] ; [ 1.71176471 95.28823529],0
n3,1,0.446583,0.57931,[18  9] ; [22  7],[19.28571429  7.71428571] ; [20.71428571  8.28571429],0
p9,1,0.467447,0.528005,[45 26] ; [66 30],[47.19161677 23.80838323] ; [63.80838323 32.19161677],0
b1,1,0.468605,0.525264,[28 45] ; [32 65],[25.76470588 47.23529412] ; [34.23529412 62.76470588],0
n4,1,0.491668,0.472873,[40 32] ; [59 38],[42.17751479 29.82248521] ; [56.82248521 40.17751479],0
s3,1,0.606663,0.265063,[20 50] ; [24 72],[18.55421687 51.44578313] ; [25.44578313 70.55421687],0
n1,1,0.635457,0.224733,[10 17] ; [ 9 20],[ 9.16071429 17.83928571] ; [ 9.83928571 19.16071429],0
n2,1,0.659605,0.194004,[17 10] ; [16 12],[16.2 10.8] ; [16.8 11.2],0
s6,1,0.659661,0.193936,[25 46] ; [37 59],[26.35928144 44.64071856] ; [35.64071856 60.35928144],0
b4,1,0.665406,0.187023,[42 31] ; [59 38],[43.37058824 29.62941176] ; [57.62941176 39.37058824],0
s8,1,0.683341,0.166389,[13 60] ; [15 82],[12.02352941 60.97647059] ; [15.97647059 81.02352941],0
p7,1,0.716097,0.132263,[33 37] ; [48 48],[34.15662651 35.84337349] ; [46.84337349 49.15662651],0
b2,1,0.729768,0.119325,[12 29] ; [16 33],[12.75555556 28.24444444] ; [15.24444444 33.75555556],0
b3,1,0.729768,0.119325,[12 29] ; [16 33],[12.75555556 28.24444444] ; [15.24444444 33.75555556],0
n5,1,0.853385,0.034151,[42 29] ; [56 41],[41.41666667 29.58333333] ; [56.58333333 40.41666667],0
s5,1,0.856546,0.032679,[ 9 61] ; [13 81],[ 9.3902439 60.6097561] ; [12.6097561 81.3902439],0
p1,1,0.861761,0.030322,[ 5 68] ; [ 6 91],[ 4.72352941 68.27647059] ; [ 6.27647059 90.72352941],0
p12,1,0.904871,0.014283,[ 2 70] ; [ 3 94],[ 2.13017751 69.86982249] ; [ 2.86982249 94.13017751],0
s1,1,0.988943,0.000192,[ 3 69] ; [ 4 93],[ 2.98224852 69.01775148] ; [ 4.01775148 92.98224852],0
