Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.000563,11.895721,[52 17] ; [3 9],[46.85185185 22.14814815] ; [8.14814815 3.85185185],1
s2,1,0.008908,6.841233,[19 49] ; [8 4],[22.95 45.05] ; [4.05 7.95],0
n5,1,0.016012,5.801573,[43 26] ; [3 9],[39.18518519 29.81481481] ; [6.81481481 5.18518519],0
s6,1,0.034657,4.461983,[29 40] ; [9 3],[32.37037037 36.62962963] ; [5.62962963 6.37037037],0
s1,1,0.044292,4.045408,[ 2 66] ; [ 2 10],[ 3.4 64.6] ; [ 0.6 11.4],0
a7,1,0.058313,3.584732,[52 16] ; [6 6],[49.3 18.7] ; [8.7 3.3],0
s3,1,0.060408,3.526147,[26 43] ; [8 4],[28.96296296 40.03703704] ; [5.03703704 6.96296296],0
p11,1,0.067185,3.350484,[37 32] ; [3 9],[34.07407407 34.92592593] ; [5.92592593 6.07407407],0
p3,1,0.083739,2.990788,[17 50] ; [6 6],[19.50632911 47.49367089] ; [3.49367089 8.50632911],0
n1,1,0.186122,1.748049,[ 6 20] ; [3 3],[ 7.3125 18.6875] ; [1.6875 4.3125],0
v2,1,0.22769,1.455237,[35 32] ; [4 8],[33.07594937 33.92405063] ; [5.92405063 6.07594937],0
p4,1,0.228805,1.448272,[27 41] ; [7 5],[28.9 39.1] ; [5.1 6.9],0
p6,1,0.238358,1.39028,[ 8 58] ; [3 9],[ 9.30769231 56.69230769] ; [ 1.69230769 10.30769231],0
a2,1,0.286648,1.135297,[22 47] ; [ 2 10],[20.44444444 48.55555556] ; [3.55555556 8.44444444],0
r3,1,0.292677,1.107266,[59  9] ; [9 3],[57.8 10.2] ; [10.2  1.8],0
b5,1,0.340354,0.909098,[39 30] ; [5 7],[37.48148148 31.51851852] ; [6.51851852 5.48148148],0
s7,1,0.393575,0.727867,[20 46] ; [4 5],[21.12 44.88] ; [2.88 6.12],0
v1,1,0.397721,0.715207,[26 43] ; [3 9],[24.7037037 44.2962963] ; [4.2962963 7.7037037],0
u2,1,0.412086,0.672773,[10  9] ; [3 1],[10.73913043  8.26086957] ; [2.26086957 1.73913043],0
s8,1,0.451938,0.565788,[16 53] ; [4 8],[17.03703704 51.96296296] ; [2.96296296 9.03703704],0
r1,1,0.451938,0.565788,[53 16] ; [8 4],[51.96296296 17.03703704] ; [9.03703704 2.96296296],0
b1,1,0.454269,0.559978,[38 31] ; [8 4],[39.18518519 29.81481481] ; [6.81481481 5.18518519],0
n6,1,0.462121,0.540752,[47 21] ; [7 5],[45.9 22.1] ; [8.1 3.9],0
d3,1,0.493481,0.468927,[58 11] ; [11  1],[58.77777778 10.22222222] ; [10.22222222  1.77777778],0
b2,1,0.519249,0.415385,[14 34] ; [1 5],[13.33333333 34.66666667] ; [1.66666667 4.33333333],0
b3,1,0.519249,0.415385,[14 34] ; [1 5],[13.33333333 34.66666667] ; [1.66666667 4.33333333],0
a5,1,0.525809,0.402484,[52 17] ; [8 4],[51.11111111 17.88888889] ; [8.88888889 3.11111111],0
d2,1,0.564165,0.332544,[55 12] ; [9 3],[54.27848101 12.72151899] ; [9.72151899 2.27848101],0
p2,1,0.606925,0.264677,[40 29] ; [6 6],[39.18518519 29.81481481] ; [6.81481481 5.18518519],0
v3,1,0.645302,0.211875,[18 49] ; [4 8],[18.65822785 48.34177215] ; [3.34177215 8.65822785],0
n4,1,0.646167,0.210767,[45 24] ; [7 5],[44.2962963 24.7037037] ; [7.7037037 4.2962963],0
p10,1,0.681039,0.168959,[19 50] ; [4 8],[19.59259259 49.40740741] ; [3.40740741 8.59259259],0
p8,1,0.718976,0.129476,[25 44] ; [5 7],[25.55555556 43.44444444] ; [4.44444444 7.55555556],0
p7,1,0.719047,0.129407,[26 41] ; [4 8],[25.44303797 41.55696203] ; [4.55696203 7.44303797],0
s5,1,0.730519,0.118636,[14 54] ; [3 9],[14.45 53.55] ; [2.55 9.45],0
n3,1,0.732074,0.117216,[11 15] ; [3 3],[11.375 14.625] ; [2.625 3.375],0
a3,1,0.760801,0.092677,[49 20] ; [8 4],[48.55555556 20.44444444] ; [8.44444444 3.55555556],0
r4,1,0.760801,0.092677,[49 20] ; [8 4],[48.55555556 20.44444444] ; [8.44444444 3.55555556],0
a4,1,0.801233,0.063379,[37 31] ; [7 5],[37.4 30.6] ; [6.6 5.4],0
v4,1,0.841049,0.040221,[55 13] ; [10  2],[55.25 12.75] ; [9.75 2.25],0
u1,1,0.891274,0.018685,[16 53] ; [3 9],[16.18518519 52.81481481] ; [2.81481481 9.18518519],0
a1,1,0.894432,0.017609,[ 5 64] ; [ 1 11],[ 5.11111111 63.88888889] ; [ 0.88888889 11.11111111],0
r2,1,0.902325,0.015061,[61  7] ; [10  1],[61.11392405  6.88607595] ; [9.88607595 1.11392405],0
b4,1,0.920938,0.009851,[47 22] ; [8 4],[46.85185185 22.14814815] ; [8.14814815 3.85185185],0
n2,1,1.0,0.0,[13 13] ; [3 3],[13. 13.] ; [3. 3.],0
