Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-06,22.293199,[27  9] ; [ 5 25],[17.45454545 18.54545455] ; [14.54545455 15.45454545],1
s2,1,0.000102,15.094967,[29  7] ; [10 20],[21.27272727 14.72727273] ; [17.72727273 12.27272727],1
s6,1,0.001742,9.803435,[28  8] ; [11 17],[21.9375 14.0625] ; [17.0625 10.9375],0
s3,1,0.003484,8.53508,[27  8] ; [13 18],[21.21212121 13.78787879] ; [18.78787879 12.21212121],0
n4,1,0.004631,8.018011,[31  5] ; [17 14],[25.79104478 10.20895522] ; [22.20895522  8.79104478],0
s5,1,0.004888,7.920357,[17 16] ; [ 5 24],[11.70967742 21.29032258] ; [10.29032258 18.70967742],0
p10,1,0.011828,6.336406,[30  5] ; [18 13],[25.45454545  9.54545455] ; [22.54545455  8.45454545],0
a3,1,0.014623,5.96129,[28  7] ; [16 15],[23.33333333 11.66666667] ; [20.66666667 10.33333333],0
p9,1,0.015744,5.831244,[32  3] ; [21 10],[28.10606061  6.89393939] ; [24.89393939  6.10606061],0
n1,1,0.019547,5.451923,[6 2] ; [ 3 10],[3.42857143 4.57142857] ; [5.57142857 7.42857143],0
s4,1,0.020373,5.379675,[ 8 27] ; [ 1 30],[ 4.77272727 30.22727273] ; [ 4.22727273 26.77272727],0
v3,1,0.02083,5.34095,[17 19] ; [ 6 24],[12.54545455 23.45454545] ; [10.45454545 19.54545455],0
u1,1,0.070878,3.262579,[ 8 28] ; [ 2 29],[ 5.37313433 30.62686567] ; [ 4.62686567 26.37313433],0
a5,1,0.079755,3.069888,[25 11] ; [15 16],[21.49253731 14.50746269] ; [18.50746269 12.49253731],0
p3,1,0.151347,2.05862,[14 22] ; [ 7 24],[11.28358209 24.71641791] ; [ 9.71641791 21.28358209],0
u2,1,0.191719,1.704359,[6 2] ; [7 8],[4.52173913 3.47826087] ; [8.47826087 6.52173913],0
d2,1,0.213089,1.550314,[17 19] ; [10 21],[14.50746269 21.49253731] ; [12.49253731 18.50746269],0
