Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,7e-06,20.176308,[41  6] ; [11 18],[32.15789474 14.84210526] ; [19.84210526  9.15789474],1
p9,1,0.009136,6.79607,[42  6] ; [18 11],[37.4025974 10.5974026] ; [22.5974026  6.4025974],0
a5,1,0.02075,5.347637,[34 16] ; [12 17],[29.11392405 20.88607595] ; [16.88607595 12.11392405],0
a4,1,0.024472,5.060847,[23 27] ; [ 6 23],[18.35443038 31.64556962] ; [10.64556962 18.35443038],0
v3,1,0.047191,3.938559,[15 34] ; [ 3 25],[11.45454545 37.54545455] ; [ 6.54545455 21.45454545],0
d2,1,0.063398,3.446195,[24 25] ; [ 8 21],[20.1025641 28.8974359] ; [11.8974359 17.1025641],0
n2,1,0.09169,2.844444,[17  3] ; [7 5],[15.  5.] ; [9. 3.],0
s6,1,0.098343,2.732208,[27 20] ; [11 18],[23.5 23.5] ; [14.5 14.5],0
n6,1,0.114744,2.48764,[37 10] ; [18 11],[34.01315789 12.98684211] ; [20.98684211  8.01315789],0
a3,1,0.121908,2.392641,[33 17] ; [14 15],[29.74683544 20.25316456] ; [17.25316456 11.74683544],0
s8,1,0.137855,2.201736,[18 31] ; [ 6 23],[15.07692308 33.92307692] ; [ 8.92307692 20.07692308],0
p1,1,0.145318,2.120724,[ 7 43] ; [ 1 27],[ 5.12820513 44.87179487] ; [ 2.87179487 25.12820513],0
r3,1,0.16385,1.938334,[36  9] ; [19 10],[33.44594595 11.55405405] ; [21.55405405  7.44594595],0
a7,1,0.195911,1.672599,[23 26] ; [18 11],[25.75641026 23.24358974] ; [15.24358974 13.75641026],0
s4,1,0.233974,1.41654,[ 8 41] ; [ 8 21],[10.05128205 38.94871795] ; [ 5.94871795 23.05128205],0
v2,1,0.237733,1.393984,[26 21] ; [12 17],[23.5 23.5] ; [14.5 14.5],0
n3,1,0.243751,1.358766,[15  5] ; [6 5],[13.5483871  6.4516129] ; [7.4516129 3.5483871],0
a6,1,0.258083,1.279013,[29 21] ; [13 16],[26.58227848 23.41772152] ; [15.41772152 13.58227848],0
s7,1,0.264525,1.244918,[23 24] ; [10 18],[20.68 26.32] ; [12.32 15.68],0
d5,1,0.266376,1.235314,[37 13] ; [18 11],[34.81012658 15.18987342] ; [20.18987342  8.81012658],0
d1,1,0.317076,1.000968,[23 27] ; [10 19],[20.88607595 29.11392405] ; [12.11392405 16.88607595],0
s5,1,0.345821,0.888734,[ 9 38] ; [ 8 20],[10.65333333 36.34666667] ; [ 6.34666667 21.65333333],0
u3,1,0.376017,0.783683,[ 6 10] ; [8 7],[7.22580645 8.77419355] ; [6.77419355 8.22580645],0
p5,1,0.392273,0.731883,[ 9 41] ; [ 3 25],[ 7.69230769 42.30769231] ; [ 4.30769231 23.69230769],0
a8,1,0.423667,0.640122,[ 4 41] ; [ 1 25],[ 3.16901408 41.83098592] ; [ 1.83098592 24.16901408],0
p10,1,0.439446,0.597728,[35 11] ; [19  9],[33.56756757 12.43243243] ; [20.43243243  7.56756757],0
d4,1,0.456658,0.554073,[36 13] ; [19 10],[34.55128205 14.44871795] ; [20.44871795  8.55128205],0
b1,1,0.473938,0.512779,[20 30] ; [14 15],[21.51898734 28.48101266] ; [12.48101266 16.51898734],0
p4,1,0.48214,0.494018,[26 23] ; [13 16],[24.5 24.5] ; [14.5 14.5],0
v1,1,0.505556,0.443255,[19 26] ; [10 19],[17.63513514 27.36486486] ; [11.36486486 17.63513514],0
r1,1,0.52833,0.397603,[13 35] ; [ 6 23],[11.84415584 36.15584416] ; [ 7.15584416 21.84415584],0
p8,1,0.544827,0.366667,[21 28] ; [14 14],[22.27272727 26.72727273] ; [12.72727273 15.27272727],0
b5,1,0.588324,0.292969,[29 21] ; [15 14],[27.84810127 22.15189873] ; [16.15189873 12.84810127],0
v4,1,0.605577,0.266667,[31 14] ; [17 10],[30. 15.] ; [18.  9.],0
p3,1,0.609065,0.261539,[18 31] ; [ 9 20],[16.96153846 32.03846154] ; [10.03846154 18.96153846],0
p7,1,0.616532,0.250772,[26 22] ; [13 14],[24.96 23.04] ; [14.04 12.96],0
a2,1,0.637672,0.2218,[ 7 43] ; [ 3 26],[ 6.32911392 43.67088608] ; [ 3.67088608 25.32911392],0
r2,1,0.682891,0.16689,[24 19] ; [17 11],[24.83098592 18.16901408] ; [16.16901408 11.83098592],0
s3,1,0.750483,0.101126,[21 24] ; [12 16],[20.34246575 24.65753425] ; [12.65753425 15.34246575],0
b2,1,0.820171,0.051677,[ 9 29] ; [ 4 11],[ 9.32075472 28.67924528] ; [ 3.67924528 11.32075472],0
b3,1,0.820171,0.051677,[ 9 29] ; [ 4 11],[ 9.32075472 28.67924528] ; [ 3.67924528 11.32075472],0
s2,1,0.828893,0.046709,[19 28] ; [11 18],[18.55263158 28.44736842] ; [11.44736842 17.55263158],0
p6,1,0.837159,0.042242,[14 33] ; [ 8 21],[13.60526316 33.39473684] ; [ 8.39473684 20.60526316],0
u2,1,0.87046,0.026593,[9 7] ; [8 7],[8.77419355 7.22580645] ; [8.22580645 6.77419355],0
p12,1,0.874574,0.024917,[ 2 46] ; [ 1 28],[ 1.87012987 46.12987013] ; [ 1.12987013 27.87012987],0
d3,1,0.882546,0.021828,[25 25] ; [15 14],[25.3164557 24.6835443] ; [14.6835443 14.3164557],0
n1,1,0.925955,0.008637,[ 8 12] ; [5 7],[ 8.125 11.875] ; [4.875 7.125],0
p2,1,0.951041,0.00377,[38 10] ; [22  6],[37.89473684 10.10526316] ; [22.10526316  5.89473684],0
u1,1,0.960944,0.002398,[ 5 45] ; [ 3 26],[ 5.06329114 44.93670886] ; [ 2.93670886 26.06329114],0
b4,1,0.995143,3.7e-05,[31 19] ; [18 11],[31.01265823 18.98734177] ; [17.98734177 11.01265823],0
