Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,31.917431,[150  17] ; [26 22],[136.70697674  30.29302326] ; [39.29302326  8.70697674],1
n6,1,2.3e-05,17.916817,[152  15] ; [32 16],[142.92093023  24.07906977] ; [41.07906977  6.92093023],1
s7,1,0.004106,8.236342,[121  38] ; [25 21],[113.23902439  45.76097561] ; [32.76097561 13.23902439],0
v1,1,0.019163,5.486562,[92 68] ; [17 28],[85.07317073 74.92682927] ; [23.92682927 21.07317073],0
v3,1,0.036014,4.396456,[77 83] ; [13 30],[70.93596059 89.06403941] ; [19.06403941 23.93596059],0
b3,1,0.060471,3.524424,[52 68] ; [ 9 26],[47.22580645 72.77419355] ; [13.77419355 21.22580645],0
b2,1,0.060471,3.524424,[52 68] ; [ 9 26],[47.22580645 72.77419355] ; [13.77419355 21.22580645],0
u3,1,0.068304,3.323311,[25 16] ; [13  2],[27.82142857 13.17857143] ; [10.17857143  4.82142857],0
p12,1,0.071546,3.247202,[ 17 148] ; [ 1 47],[ 13.94366197 151.05633803] ; [ 4.05633803 43.94366197],0
u2,1,0.088523,2.901037,[25 16] ; [12  2],[27.58181818 13.41818182] ; [9.41818182 4.58181818],0
p10,1,0.092931,2.822859,[143  22] ; [36 11],[139.31603774  25.68396226] ; [39.68396226  7.31603774],0
p8,1,0.104014,2.642886,[93 70] ; [21 27],[88.06635071 74.93364929] ; [25.93364929 22.06635071],0
p6,1,0.1252,2.351034,[70 96] ; [14 33],[ 65.46478873 100.53521127] ; [18.53521127 28.46478873],0
s4,1,0.141871,2.15755,[ 18 149] ; [ 9 39],[ 20.97209302 146.02790698] ; [ 6.02790698 41.97209302],0
p4,1,0.143631,2.13862,[113  54] ; [27 21],[108.74418605  58.25581395] ; [31.25581395 16.74418605],0
p3,1,0.152789,2.044188,[96 71] ; [22 26],[91.65581395 75.34418605] ; [26.34418605 21.65581395],0
a7,1,0.154605,2.026221,[110  56] ; [37 11],[114.02803738  51.97196262] ; [32.97196262 15.02803738],0
a2,1,0.192349,1.699533,[ 43 124] ; [ 8 40],[ 39.61395349 127.38604651] ; [11.38604651 36.61395349],0
d4,1,0.196385,1.669055,[139  28] ; [36 12],[135.93023256  31.06976744] ; [39.06976744  8.93023256],0
n3,1,0.198672,1.652107,[20 13] ; [9 2],[21.75 11.25] ; [7.25 3.75],0
v2,1,0.215101,1.536761,[95 65] ; [21 22],[91.42857143 68.57142857] ; [24.57142857 18.42857143],0
r1,1,0.241799,1.370078,[140  26] ; [37 11],[137.29906542  28.70093458] ; [39.70093458  8.29906542],0
p9,1,0.259755,1.270061,[147  18] ; [39  8],[144.76415094  20.23584906] ; [41.23584906  5.76415094],0
d2,1,0.271057,1.211392,[95 72] ; [23 25],[91.65581395 75.34418605] ; [26.34418605 21.65581395],0
n2,1,0.286592,1.135563,[22 12] ; [9 2],[23.42222222 10.57777778] ; [7.57777778 3.42222222],0
