Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,70.403008,[36 72] ; [174  42],[70. 38.] ; [140.  76.],1
a5,1,3e-06,21.782733,[48 61] ; [154  64],[67.33333333 41.66666667] ; [134.66666667  83.33333333],1
s7,1,0.000114,14.890844,[21 82] ; [ 89 120],[36.31410256 66.68589744] ; [ 73.68589744 135.31410256],1
s8,1,0.000948,10.925547,[19 89] ; [ 77 141],[31.80368098 76.19631902] ; [ 64.19631902 153.80368098],1
p11,1,0.005455,7.722095,[59 50] ; [152  66],[70.33333333 38.66666667] ; [140.66666667  77.33333333],0
p6,1,0.005679,7.649561,[10 99] ; [ 46 168],[18.89783282 90.10216718] ; [ 37.10216718 176.89783282],0
n6,1,0.009154,6.792547,[70 39] ; [168  48],[79.82153846 29.17846154] ; [158.17846154  57.82153846],0
a8,1,0.01238,6.255675,[ 6 99] ; [ 31 168],[12.77960526 92.22039474] ; [ 24.22039474 174.77960526],0
n1,1,0.014938,5.923759,[13 43] ; [30 38],[19.41935484 36.58064516] ; [23.58064516 44.41935484],0
u1,1,0.017141,5.681915,[  8 101] ; [ 37 181],[15. 94.] ; [ 30. 188.],0
s4,1,0.017935,5.602471,[26 83] ; [ 29 187],[18.44615385 90.55384615] ; [ 36.55384615 179.44615385],0
a4,1,0.018191,5.577658,[37 72] ; [103 113],[46.95384615 62.04615385] ; [ 93.04615385 122.95384615],0
s6,1,0.020324,5.383819,[47 60] ; [125  92],[56.80246914 50.19753086] ; [115.19753086 101.80246914],0
a2,1,0.026687,4.910941,[15 94] ; [ 53 165],[22.66666667 86.33333333] ; [ 45.33333333 172.66666667],0
d2,1,0.028405,4.8033,[40 69] ; [106 108],[49.26934985 59.73065015] ; [ 96.73065015 117.26934985],0
b2,1,0.033515,4.519301,[12 40] ; [55 84],[18.2408377 33.7591623] ; [48.7591623 90.2408377],0
b3,1,0.033515,4.519301,[12 40] ; [55 84],[18.2408377 33.7591623] ; [48.7591623 90.2408377],0
p12,1,0.034142,4.487587,[  1 107] ; [ 13 204],[  4.65230769 103.34769231] ; [  9.34769231 207.65230769],0
d1,1,0.050512,3.824382,[45 64] ; [115 103],[53.33333333 55.66666667] ; [106.66666667 111.33333333],0
a3,1,0.065476,3.392932,[63 45] ; [149  68],[70.44923077 37.55076923] ; [141.55076923  75.44923077],0
r1,1,0.118711,2.434243,[72 37] ; [162  56],[78. 31.] ; [156.  62.],0
r2,1,0.12707,2.327934,[91 17] ; [191  21],[95.175 12.825] ; [186.825  25.175],0
a6,1,0.127525,2.322378,[64 45] ; [146  71],[70.21472393 38.78527607] ; [139.78527607  77.21472393],0
p2,1,0.129844,2.294373,[63 46] ; [144  73],[69.21165644 39.78834356] ; [137.78834356  79.21165644],0
s3,1,0.135112,2.23276,[47 61] ; [112 102],[53.32919255 54.67080745] ; [105.67080745 108.32919255],0
v3,1,0.152217,2.04989,[24 82] ; [ 63 145],[29.36942675 76.63057325] ; [ 57.63057325 150.36942675],0
p5,1,0.153092,2.041168,[  1 107] ; [  8 209],[  2.99076923 105.00923077] ; [  6.00923077 210.99076923],0
u3,1,0.154784,2.02446,[27 18] ; [32 37],[23.28947368 21.71052632] ; [35.71052632 33.28947368],0
p1,1,0.15915,1.982287,[  2 107] ; [ 11 206],[  4.34662577 104.65337423] ; [  8.65337423 208.34662577],0
p4,1,0.164685,1.93067,[24 84] ; [ 64 153],[29.24307692 78.75692308] ; [ 58.75692308 158.24307692],0
d5,1,0.180207,1.795914,[73 35] ; [162  55],[78.09230769 29.90769231] ; [156.90769231  60.09230769],0
p9,1,0.188933,1.725917,[68 37] ; [154  60],[73.07210031 31.92789969] ; [148.92789969  65.07210031],0
v2,1,0.195039,1.679135,[42 61] ; [101 107],[47.36012862 55.63987138] ; [ 95.63987138 112.36012862],0
s2,1,0.201349,1.632563,[39 69] ; [ 94 122],[44.33333333 63.66666667] ; [ 88.66666667 127.33333333],0
p10,1,0.205454,1.603171,[64 43] ; [144  71],[69.11801242 37.88198758] ; [138.88198758  76.11801242],0
v4,1,0.217816,1.5187,[96 11] ; [183  33],[92.42414861 14.57585139] ; [186.57585139  29.42414861],0
r4,1,0.27089,1.212234,[79 30] ; [170  48],[83. 26.] ; [166.  52.],0
d3,1,0.283476,1.150349,[64 43] ; [143  74],[68.36111111 38.63888889] ; [138.63888889  78.36111111],0
a1,1,0.303614,1.058252,[  4 105] ; [ 14 204],[  6. 103.] ; [ 12. 206.],0
b1,1,0.370441,0.802186,[43 66] ; [ 75 143],[39.33333333 69.66666667] ; [ 78.66666667 139.33333333],0
a7,1,0.396117,0.720081,[66 42] ; [143  74],[69.45230769 38.54769231] ; [139.54769231  77.45230769],0
v1,1,0.439631,0.597245,[38 70] ; [ 84 128],[41.175 66.825] ; [ 80.825 131.175],0
n2,1,0.475077,0.510143,[35 21] ; [48 22],[36.88888889 19.11111111] ; [46.11111111 23.88888889],0
p7,1,0.695466,0.153232,[34 72] ; [ 73 140],[35.55485893 70.44514107] ; [ 71.44514107 141.55485893],0
d4,1,0.708174,0.140108,[82 26] ; [168  48],[83.33333333 24.66666667] ; [166.66666667  49.33333333],0
u4,1,0.722038,0.126548,[  1 108] ; [  3 215],[  1.33333333 107.66666667] ; [  2.66666667 215.33333333],0
s1,1,0.810565,0.057455,[  4 105] ; [  9 204],[  4.40062112 104.59937888] ; [  8.59937888 204.40062112],0
u2,1,0.843855,0.038795,[24 21] ; [37 30],[24.50892857 20.49107143] ; [36.49107143 30.50892857],0
r3,1,0.846049,0.037699,[95 14] ; [189  26],[95.54320988 13.45679012] ; [188.45679012  26.54320988],0
n3,1,0.903643,0.014656,[36 20] ; [43 25],[35.67741935 20.32258065] ; [43.32258065 24.67741935],0
s5,1,0.907638,0.01346,[25 80] ; [ 49 162],[24.58860759 80.41139241] ; [ 49.41139241 161.58860759],0
b5,1,0.935864,0.006475,[67 42] ; [135  83],[67.33333333 41.66666667] ; [134.66666667  83.33333333],0
b4,1,1.0,0.0,[66 43] ; [132  86],[66. 43.] ; [132.  86.],0
