Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,73.839941,[111  14] ; [ 9 35],[88.75739645 36.24260355] ; [31.24260355 12.75739645],1
p2,1,1e-06,24.61082,[102  22] ; [19 25],[89.30952381 34.69047619] ; [31.69047619 12.30952381],1
p11,1,1e-06,23.26424,[94 32] ; [15 29],[80.78823529 45.21176471] ; [28.21176471 15.78823529],1
r4,1,0.000959,10.905101,[109  17] ; [28 16],[101.54117647  24.45882353] ; [35.45882353  8.54117647],1
v1,1,0.00172,9.82643,[61 61] ; [10 34],[52.18072289 69.81927711] ; [18.81927711 25.18072289],0
b1,1,0.003173,8.705209,[35 91] ; [23 21],[42.98823529 83.01176471] ; [15.01176471 28.98823529],0
r3,1,0.016602,5.737988,[120   6] ; [37  7],[116.36470588   9.63529412] ; [40.63529412  3.36470588],0
s8,1,0.017112,5.684801,[45 81] ; [ 7 36],[38.76923077 87.23076923] ; [13.23076923 29.76923077],0
n5,1,0.018065,5.589835,[47 78] ; [ 8 36],[40.68047337 84.31952663] ; [14.31952663 29.68047337],0
s2,1,0.019083,5.493912,[61 65] ; [12 31],[54.4260355 71.5739645] ; [18.5739645 24.4260355],0
d3,1,0.01948,5.457868,[99 26] ; [27 17],[93.19526627 31.80473373] ; [32.80473373 11.19526627],0
a7,1,0.019742,5.434565,[102  24] ; [28 16],[96.35294118 29.64705882] ; [33.64705882 10.35294118],0
s1,1,0.02022,5.392837,[  2 124] ; [ 4 40],[  4.44705882 121.55294118] ; [ 1.55294118 42.44705882],0
p7,1,0.024212,5.079365,[68 53] ; [16 28],[61.6 59.4] ; [22.4 21.6],0
r2,1,0.032875,4.552295,[118   7] ; [37  7],[114.64497041  10.35502959] ; [40.35502959  3.64497041],0
p8,1,0.041433,4.158198,[62 63] ; [14 30],[56.21301775 68.78698225] ; [19.78698225 24.21301775],0
s3,1,0.045432,4.002521,[64 60] ; [15 29],[58.30952381 65.69047619] ; [20.69047619 23.30952381],0
r1,1,0.062392,3.472627,[95 30] ; [27 17],[90.23668639 34.76331361] ; [31.76331361 12.23668639],0
