Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,47.111184,[30 21] ; [ 10 102],[12.51533742 38.48466258] ; [27.48466258 84.51533742],1
s2,1,0.0,28.44556,[34 17] ; [26 86],[18.77300613 32.22699387] ; [41.22699387 70.77300613],1
s6,1,0.0,27.751317,[42  8] ; [44 68],[26.54320988 23.45679012] ; [59.45679012 52.54320988],1
s3,1,2e-05,18.225286,[36 15] ; [38 72],[23.44099379 27.55900621] ; [50.55900621 59.44099379],1
p9,1,0.001245,10.422171,[36 14] ; [48 60],[26.58227848 23.41772152] ; [57.41772152 50.58227848],0
s5,1,0.001263,10.395649,[20 30] ; [18 91],[11.94968553 38.05031447] ; [26.05031447 82.94968553],0
r1,1,0.001697,9.851071,[41  9] ; [62 48],[32.1875 17.8125] ; [70.8125 39.1875],0
r4,1,0.001751,9.793629,[42  9] ; [64 48],[33.16564417 17.83435583] ; [72.83435583 39.16564417],0
u1,1,0.004578,8.039164,[10 41] ; [  6 106],[ 5.00613497 45.99386503] ; [ 10.99386503 101.00613497],0
n6,1,0.006678,7.357659,[38 11] ; [61 50],[30.31875 18.68125] ; [68.68125 42.31875],0
r3,1,0.007198,7.22292,[45  6] ; [76 35],[38.09259259 12.90740741] ; [82.90740741 28.09259259],0
p2,1,0.008246,6.979181,[37 14] ; [56 55],[29.27777778 21.72222222] ; [63.72222222 47.27777778],0
v4,1,0.01774,5.621651,[47  4] ; [85 26],[41.55555556  9.44444444] ; [90.44444444 20.55555556],0
v1,1,0.024082,5.088722,[26 25] ; [36 75],[19.51851852 31.48148148] ; [42.48148148 68.51851852],0
p10,1,0.02912,4.760485,[29 21] ; [43 66],[22.64150943 27.35849057] ; [49.35849057 59.64150943],0
n4,1,0.030429,4.684917,[35 14] ; [59 52],[28.7875 20.2125] ; [65.2125 45.7875],0
p4,1,0.035233,4.433827,[24 27] ; [33 77],[18.05590062 32.94409938] ; [38.94409938 71.05590062],0
n2,1,0.061173,3.505306,[20  6] ; [24 20],[16.34285714  9.65714286] ; [27.65714286 16.34285714],0
a8,1,0.072545,3.224483,[ 8 38] ; [ 8 97],[ 4.87417219 41.12582781] ; [11.12582781 93.87417219],0
n5,1,0.077596,3.114551,[34 16] ; [59 52],[28.88198758 21.11801242] ; [64.11801242 46.88198758],0
a3,1,0.077665,3.113093,[36 15] ; [61 48],[30.91875 20.08125] ; [66.08125 42.91875],0
b1,1,0.110784,2.542996,[31 20] ; [53 59],[26.28220859 24.71779141] ; [57.71779141 54.28220859],0
p5,1,0.11302,2.511476,[ 5 46] ; [  4 106],[ 2.85093168 48.14906832] ; [  6.14906832 103.85093168],0
a2,1,0.115216,2.481173,[13 38] ; [17 95],[ 9.38650307 41.61349693] ; [20.61349693 91.38650307],0
s1,1,0.169805,1.88466,[ 5 44] ; [  5 106],[ 3.0625 45.9375] ; [  6.9375 104.0625],0
a4,1,0.200543,1.638413,[22 29] ; [36 74],[18.37267081 32.62732919] ; [39.62732919 70.37267081],0
d3,1,0.215808,1.532028,[32 18] ; [60 52],[28.39506173 21.60493827] ; [63.60493827 48.39506173],0
d5,1,0.227777,1.454691,[39 11] ; [77 35],[35.80246914 14.19753086] ; [80.19753086 31.80246914],0
r2,1,0.25084,1.318621,[46  5] ; [90 18],[43.62264151  7.37735849] ; [92.37735849 15.62264151],0
v2,1,0.267394,1.230068,[21 28] ; [36 71],[17.90384615 31.09615385] ; [39.09615385 67.90384615],0
p3,1,0.283594,1.149784,[16 35] ; [26 85],[13.22222222 37.77777778] ; [28.77777778 82.22222222],0
b4,1,0.284655,1.144732,[31 20] ; [58 54],[27.84662577 23.15337423] ; [61.15337423 50.84662577],0
p1,1,0.294023,1.10111,[ 5 46] ; [  6 106],[ 3.44171779 47.55828221] ; [  7.55828221 104.44171779],0
u2,1,0.391366,0.734694,[6 8] ; [15 34],[4.66666667 9.33333333] ; [16.33333333 32.66666667],0
n1,1,0.392542,0.731052,[12 14] ; [15 27],[10.32352941 15.67647059] ; [16.67647059 25.32352941],0
s4,1,0.394826,0.724029,[11 40] ; [18 94],[ 9.07361963 41.92638037] ; [19.92638037 92.07361963],0
p8,1,0.415536,0.662906,[15 36] ; [26 85],[12.90740741 38.09259259] ; [28.09259259 82.90740741],0
n3,1,0.442106,0.59081,[13 13] ; [25 17],[14.52941176 11.47058824] ; [23.47058824 18.52941176],0
a1,1,0.505649,0.443061,[ 3 48] ; [ 10 102],[ 4.06748466 46.93251534] ; [  8.93251534 103.06748466],0
d1,1,0.554792,0.348802,[23 28] ; [45 67],[21.27607362 29.72392638] ; [46.72392638 65.27607362],0
a5,1,0.570083,0.322544,[32 19] ; [65 47],[30.34969325 20.65030675] ; [66.65030675 45.34969325],0
p7,1,0.678841,0.171433,[17 34] ; [40 69],[18.16875 32.83125] ; [38.83125 70.16875],0
d2,1,0.680471,0.169596,[19 31] ; [46 65],[20.1863354 29.8136646] ; [44.8136646 66.1863354],0
u3,1,0.688088,0.161163,[7 8] ; [20 29],[6.328125 8.671875] ; [20.671875 28.328125],0
b5,1,0.72303,0.125608,[32 19] ; [67 45],[30.97546012 20.02453988] ; [68.02453988 43.97546012],0
