Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.007631,7.11811,[10 34] ; [9 6],[14.16949153 29.83050847] ; [ 4.83050847 10.16949153],0
v1,1,0.008201,6.989085,[15 29] ; [11  4],[19.38983051 24.61016949] ; [6.61016949 8.38983051],0
p5,1,0.018351,5.562335,[ 1 43] ; [ 3 12],[ 2.98305085 41.01694915] ; [ 1.01694915 13.98305085],0
a2,1,0.024126,5.085522,[ 4 40] ; [ 5 10],[ 6.71186441 37.28813559] ; [ 2.28813559 12.71186441],0
a7,1,0.041205,4.16755,[28 16] ; [ 5 10],[24.61016949 19.38983051] ; [8.38983051 6.61016949],0
u1,1,0.050171,3.83573,[ 5 39] ; [ 5 10],[ 7.45762712 36.54237288] ; [ 2.54237288 12.45762712],0
s7,1,0.062437,3.471429,[17 23] ; [10  4],[20. 20.] ; [7. 7.],0
s3,1,0.072065,3.235351,[31 13] ; [14  1],[33.55932203 10.44067797] ; [11.44067797  3.55932203],0
p8,1,0.15402,2.031977,[21 23] ; [ 4 11],[18.6440678 25.3559322] ; [6.3559322 8.6440678],0
a5,1,0.200829,1.636335,[24 20] ; [11  4],[26.10169492 17.89830508] ; [8.89830508 6.10169492],0
v3,1,0.208494,1.581854,[15 28] ; [8 7],[17.05172414 25.94827586] ; [5.94827586 9.05172414],0
s6,1,0.21303,1.550714,[31 13] ; [13  2],[32.81355932 11.18644068] ; [11.18644068  3.81355932],0
r1,1,0.221461,1.494882,[36  8] ; [10  5],[34.30508475  9.69491525] ; [11.69491525  3.30508475],0
s8,1,0.247927,1.334949,[16 28] ; [8 7],[17.89830508 26.10169492] ; [6.10169492 8.89830508],0
d2,1,0.259969,1.26892,[19 25] ; [9 6],[20.88135593 23.11864407] ; [7.11864407 7.88135593],0
p3,1,0.274944,1.191914,[16 27] ; [8 7],[17.79310345 25.20689655] ; [6.20689655 8.79310345],0
n6,1,0.306048,1.047653,[29 15] ; [12  3],[30.57627119 13.42372881] ; [10.42372881  4.57627119],0
v2,1,0.318693,0.994304,[18 25] ; [8 6],[19.61403509 23.38596491] ; [6.38596491 7.61403509],0
r2,1,0.366563,0.815281,[37  7] ; [14  1],[38.03389831  5.96610169] ; [12.96610169  2.03389831],0
s1,1,0.398825,0.711865,[ 5 39] ; [ 3 12],[ 5.96610169 38.03389831] ; [ 2.03389831 12.96610169],0
a3,1,0.403075,0.699132,[27 17] ; [11  4],[28.33898305 15.66101695] ; [9.66101695 5.33898305],0
b4,1,0.411979,0.673084,[24 20] ; [10  5],[25.3559322 18.6440678] ; [8.6440678 6.3559322],0
s4,1,0.426905,0.631229,[ 8 35] ; [ 4 10],[ 9.05263158 33.94736842] ; [ 2.94736842 11.05263158],0
b2,1,0.430684,0.620979,[ 8 18] ; [2 9],[ 7.02702703 18.97297297] ; [2.97297297 8.02702703],0
b3,1,0.430684,0.620979,[ 8 18] ; [2 9],[ 7.02702703 18.97297297] ; [2.97297297 8.02702703],0
d5,1,0.47268,0.515704,[31 13] ; [12  3],[32.06779661 11.93220339] ; [10.93220339  4.06779661],0
p7,1,0.490925,0.474498,[26 17] ; [7 7],[24.89473684 18.10526316] ; [8.10526316 5.89473684],0
u2,1,0.548893,0.359304,[10  7] ; [3 1],[10.52380952  6.47619048] ; [2.47619048 1.52380952],0
