Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,32.329646,[ 2 34] ; [52 32],[16.2 19.8] ; [37.8 46.2],1
d2,1,4e-06,21.314789,[ 7 30] ; [53 29],[18.65546218 18.34453782] ; [41.34453782 40.65546218],1
a6,1,3.6e-05,17.085168,[17 20] ; [68 14],[26.42857143 10.57142857] ; [58.57142857 23.42857143],1
a3,1,4.7e-05,16.550951,[15 21] ; [66 17],[24.50420168 11.49579832] ; [56.49579832 26.50420168],1
d1,1,0.0001,15.140902,[12 25] ; [59 25],[21.7107438 15.2892562] ; [49.2892562 34.7107438],1
n5,1,0.00112,10.617324,[17 20] ; [64 20],[24.76859504 12.23140496] ; [56.23140496 27.76859504],0
d5,1,0.009679,6.693105,[22 15] ; [67 15],[27.67226891  9.32773109] ; [61.32773109 20.67226891],0
s5,1,0.027847,4.837518,[ 4 32] ; [24 56],[ 8.68965517 27.31034483] ; [19.31034483 60.68965517],0
p4,1,0.045061,4.016348,[ 6 31] ; [28 54],[10.57142857 26.42857143] ; [23.42857143 58.57142857],0
s7,1,0.052131,3.771573,[ 8 25] ; [35 45],[12.55752212 20.44247788] ; [30.44247788 49.55752212],0
d3,1,0.054406,3.700184,[21 16] ; [61 21],[25.49579832 11.50420168] ; [56.50420168 25.49579832],0
n4,1,0.062592,3.467324,[21 16] ; [62 22],[25.38016529 11.61983471] ; [57.61983471 26.38016529],0
p9,1,0.075398,3.161416,[18 17] ; [57 26],[22.24576271 12.75423729] ; [52.75423729 30.24576271],0
a1,1,0.078039,3.105286,[ 1 36] ; [11 73],[ 3.66942149 33.33057851] ; [ 8.33057851 75.66942149],0
p1,1,0.104744,2.631789,[ 1 36] ; [10 74],[ 3.36363636 33.63636364] ; [ 7.63636364 76.36363636],0
u2,1,0.130826,2.282673,[15  7] ; [ 8 10],[12.65  9.35] ; [10.35  7.65],0
p5,1,0.140949,2.167567,[ 1 35] ; [ 9 73],[ 3.05084746 32.94915254] ; [ 6.94915254 75.05084746],0
s8,1,0.181151,1.788156,[ 8 29] ; [28 55],[11.1 25.9] ; [24.9 58.1],0
d4,1,0.210359,1.568955,[27 10] ; [68 14],[29.53781513  7.46218487] ; [65.46218487 16.53781513],0
b4,1,0.212661,1.55322,[26 11] ; [49 35],[22.9338843 14.0661157] ; [52.0661157 31.9338843],0
p3,1,0.283965,1.148017,[ 9 28] ; [28 54],[11.50420168 25.49579832] ; [25.49579832 56.50420168],0
p7,1,0.371706,0.797953,[14 22] ; [25 57],[11.89830508 24.10169492] ; [27.10169492 54.89830508],0
r4,1,0.387966,0.745307,[30  7] ; [62 22],[28.1322314  8.8677686] ; [63.8677686 20.1322314],0
v2,1,0.394043,0.726429,[17 20] ; [43 36],[19.13793103 17.86206897] ; [40.86206897 38.13793103],0
a8,1,0.409265,0.680936,[ 3 32] ; [11 67],[ 4.33628319 30.66371681] ; [ 9.66371681 68.33628319],0
n1,1,0.481456,0.495564,[3 7] ; [14 19],[3.95348837 6.04651163] ; [13.04651163 19.95348837],0
u3,1,0.482225,0.493827,[11 11] ; [11  7],[12.1  9.9] ; [9.9 8.1],0
n6,1,0.490884,0.474588,[28  9] ; [57 25],[26.42857143 10.57142857] ; [58.57142857 23.42857143],0
s1,1,0.499585,0.455818,[ 4 33] ; [ 6 78],[ 3.05785124 33.94214876] ; [ 6.94214876 77.05785124],0
b2,1,0.509369,0.435362,[ 5 14] ; [20 38],[ 6.16883117 12.83116883] ; [18.83116883 39.16883117],0
b3,1,0.509369,0.435362,[ 5 14] ; [20 38],[ 6.16883117 12.83116883] ; [18.83116883 39.16883117],0
p10,1,0.568259,0.325604,[21 15] ; [53 30],[22.38655462 13.61344538] ; [51.61344538 31.38655462],0
r1,1,0.572321,0.318814,[25 12] ; [61 23],[26.29752066 10.70247934] ; [59.70247934 24.29752066],0
s3,1,0.592247,0.286849,[15 21] ; [39 44],[16.33613445 19.66386555] ; [37.66386555 45.33613445],0
b5,1,0.605509,0.266767,[26 11] ; [55 29],[24.76859504 12.23140496] ; [56.23140496 27.76859504],0
v4,1,0.660488,0.192931,[32  5] ; [70 14],[31.19008264  5.80991736] ; [70.80991736 13.19008264],0
r2,1,0.690823,0.158196,[32  5] ; [73  9],[32.64705882  4.35294118] ; [72.35294118  9.64705882],0
p8,1,0.732063,0.117226,[10 27] ; [20 63],[ 9.25 27.75] ; [20.75 62.25],0
v1,1,0.743762,0.106848,[13 24] ; [31 50],[13.79661017 23.20338983] ; [30.20338983 50.79661017],0
