Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,3e-06,21.6821,[ 10 120] ; [8 9],[ 15.91836735 114.08163265] ; [ 2.08163265 14.91836735],1
s5,1,1.2e-05,19.104665,[ 24 103] ; [11  5],[31.08391608 95.91608392] ; [ 3.91608392 12.08391608],1
p6,1,0.001403,10.201236,[34 94] ; [11  6],[39.72413793 88.27586207] ; [ 5.27586207 11.72413793],0
p3,1,0.00586,7.592831,[53 76] ; [13  4],[58.31506849 70.68493151] ; [7.68493151 9.31506849],0
p12,1,0.007498,7.149608,[  7 123] ; [ 4 13],[  9.72789116 120.27210884] ; [ 1.27210884 15.72789116],0
s6,1,0.019037,5.498095,[70 57] ; [13  2],[74.23239437 52.76760563] ; [8.76760563 6.23239437],0
s1,1,0.021243,5.306743,[  5 121] ; [ 3 14],[  7.04895105 118.95104895] ; [ 0.95104895 16.04895105],0
p4,1,0.029759,4.723179,[63 67] ; [13  4],[67.21088435 62.78911565] ; [8.78911565 8.21088435],0
s7,1,0.034592,4.465205,[47 76] ; [10  5],[50.80434783 72.19565217] ; [6.19565217 8.80434783],0
p8,1,0.037964,4.306641,[53 75] ; [11  5],[56.88888889 71.11111111] ; [7.11111111 8.88888889],0
v3,1,0.045436,4.002391,[37 91] ; [9 8],[40.60689655 87.39310345] ; [ 5.39310345 11.60689655],0
r1,1,0.046601,3.959749,[82 46] ; [15  2],[85.62758621 42.37241379] ; [11.37241379  5.62758621],0
a1,1,0.087014,2.928761,[  1 129] ; [ 1 16],[  1.76870748 128.23129252] ; [ 0.23129252 16.76870748],0
n5,1,0.102192,2.670992,[100  30] ; [16  1],[102.58503401  27.41496599] ; [13.41496599  3.58503401],0
b5,1,0.123115,2.377237,[79 51] ; [ 7 10],[76.05442177 53.94557823] ; [9.94557823 7.05442177],0
d5,1,0.163935,1.937548,[61 68] ; [ 5 12],[58.31506849 70.68493151] ; [7.68493151 9.31506849],0
n4,1,0.189494,1.721547,[95 34] ; [15  2],[97.19178082 31.80821918] ; [12.80821918  4.19178082],0
p7,1,0.260532,1.265929,[72 56] ; [12  5],[74.15172414 53.84827586] ; [9.84827586 7.15172414],0
a5,1,0.279262,1.170679,[66 64] ; [11  6],[68.0952381 61.9047619] ; [8.9047619 8.0952381],0
a8,1,0.300401,1.072413,[ 12 107] ; [ 3 13],[ 13.22222222 105.77777778] ; [ 1.77777778 14.22222222],0
b2,1,0.326193,0.963951,[18 61] ; [4 7],[19.31111111 59.68888889] ; [2.68888889 8.31111111],0
b3,1,0.326193,0.963951,[18 61] ; [4 7],[19.31111111 59.68888889] ; [2.68888889 8.31111111],0
s4,1,0.340333,0.909176,[ 28 101] ; [ 2 15],[ 26.50684932 102.49315068] ; [ 3.49315068 13.50684932],0
n1,1,0.34734,0.883152,[14 22] ; [2 1],[14.76923077 21.23076923] ; [1.23076923 1.76923077],0
p11,1,0.411357,0.674874,[95 35] ; [14  3],[96.39455782 33.60544218] ; [12.60544218  4.39455782],0
s8,1,0.471525,0.518401,[45 85] ; [7 9],[46.30136986 83.69863014] ; [ 5.69863014 10.30136986],0
p2,1,0.513591,0.426744,[101  29] ; [12  5],[99.93197279 30.06802721] ; [13.06802721  3.93197279],0
u3,1,0.546184,0.364198,[29 37] ; [3 6],[28.16 37.84] ; [3.84 5.16],0
n2,1,0.567063,0.327621,[29  7] ; [2 1],[28.61538462  7.38461538] ; [2.38461538 0.61538462],0
d3,1,0.568725,0.32482,[39 90] ; [ 4 13],[37.99315068 91.00684932] ; [ 5.00684932 11.99315068],0
b4,1,0.571679,0.319881,[67 63] ; [10  7],[68.0952381 61.9047619] ; [8.9047619 8.0952381],0
s3,1,0.68082,0.169204,[64 62] ; [9 7],[64.77464789 61.22535211] ; [8.22535211 7.77464789],0
a4,1,0.68953,0.159595,[ 28 100] ; [ 3 14],[ 27.36551724 100.63448276] ; [ 3.63448276 13.36551724],0
u2,1,0.704373,0.143962,[25 41] ; [4 5],[25.52 40.48] ; [3.48 5.52],0
p9,1,0.723083,0.125558,[99 29] ; [13  3],[99.55555556 28.44444444] ; [12.44444444  3.55555556],0
b1,1,0.733245,0.116153,[48 82] ; [ 7 10],[48.63945578 81.36054422] ; [ 6.36054422 10.63945578],0
a6,1,0.78833,0.072082,[72 58] ; [10  7],[72.5170068 57.4829932] ; [9.4829932 7.5170068],0
a2,1,0.789684,0.07114,[ 10 120] ; [ 1 16],[  9.72789116 120.27210884] ; [ 1.27210884 15.72789116],0
v1,1,0.81732,0.053358,[56 71] ; [8 9],[56.44444444 70.55555556] ; [7.55555556 9.44444444],0
d1,1,0.817564,0.053213,[  6 124] ; [ 1 16],[  6.19047619 123.80952381] ; [ 0.80952381 16.19047619],0
r2,1,0.821167,0.051096,[117  13] ; [15  2],[116.73469388  13.26530612] ; [15.26530612  1.73469388],0
s2,1,0.836776,0.042444,[49 78] ; [ 7 10],[49.38888889 77.61111111] ; [ 6.61111111 10.38888889],0
a3,1,0.843082,0.039186,[64 65] ; [8 9],[63.61643836 65.38356164] ; [8.38356164 8.61643836],0
a7,1,0.847742,0.036864,[79 50] ; [10  7],[78.6369863 50.3630137] ; [10.3630137  6.6369863],0
p10,1,0.88147,0.022233,[95 32] ; [13  4],[95.25 31.75] ; [12.75  4.25],0
r3,1,0.909911,0.012803,[115  14] ; [15  2],[114.8630137  14.1369863] ; [15.1369863  1.8630137],0
v2,1,0.95256,0.003539,[52 72] ; [ 7 10],[51.88652482 72.11347518] ; [7.11347518 9.88652482],0
d2,1,0.966811,0.001731,[ 30 100] ; [ 4 13],[30.06802721 99.93197279] ; [ 3.93197279 13.06802721],0
