Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,5.6e-05,16.246782,[38 16] ; [ 7 22],[29.27710843 24.72289157] ; [15.72289157 13.27710843],1
s2,1,0.000409,12.489126,[35 19] ; [ 7 22],[27.3253012 26.6746988] ; [14.6746988 14.3253012],1
r1,1,0.000441,12.348644,[43 11] ; [12 17],[35.78313253 18.21686747] ; [19.21686747  9.78313253],1
s8,1,0.002127,9.436283,[28 26] ; [ 5 24],[21.46987952 32.53012048] ; [11.53012048 17.46987952],0
d4,1,0.002157,9.410607,[45  9] ; [15 14],[39.03614458 14.96385542] ; [20.96385542  8.03614458],0
r4,1,0.004768,7.965249,[51  3] ; [21  8],[46.84337349  7.15662651] ; [25.15662651  3.84337349],0
b3,1,0.009546,6.717742,[10 26] ; [10  5],[14.11764706 21.88235294] ; [5.88235294 9.11764706],0
b2,1,0.009546,6.717742,[10 26] ; [10  5],[14.11764706 21.88235294] ; [5.88235294 9.11764706],0
n5,1,0.016852,5.711759,[46  8] ; [18 11],[41.63855422 12.36144578] ; [22.36144578  6.63855422],0
s5,1,0.017064,5.689816,[20 31] ; [ 4 25],[15.3 35.7] ; [ 8.7 20.3],0
p4,1,0.024838,5.035156,[41 13] ; [15 14],[36.43373494 17.56626506] ; [19.56626506  9.43373494],0
s7,1,0.025526,4.987854,[30 20] ; [ 9 18],[25.32467532 24.67532468] ; [13.67532468 13.32467532],0
p10,1,0.051946,3.777503,[41 13] ; [16 13],[37.08433735 16.91566265] ; [19.91566265  9.08433735],0
p8,1,0.061837,3.487423,[39 15] ; [15 14],[35.13253012 18.86746988] ; [18.86746988 10.13253012],0
p3,1,0.066972,3.35572,[30 24] ; [10 19],[26.02409639 27.97590361] ; [13.97590361 15.02409639],0
n3,1,0.080824,3.048259,[8 6] ; [9 1],[9.91666667 4.08333333] ; [7.08333333 2.91666667],0
r3,1,0.08914,2.889829,[52  1] ; [26  3],[50.41463415  2.58536585] ; [27.58536585  1.41463415],0
n4,1,0.101332,2.68446,[41 13] ; [17 12],[37.73493976 16.26506024] ; [20.26506024  8.73493976],0
