Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,102.774389,[131   9] ; [24 59],[97.30941704 42.69058296] ; [57.69058296 25.30941704],1
p11,1,0.0,32.760306,[117  25] ; [38 45],[97.82222222 44.17777778] ; [57.17777778 25.82222222],1
p2,1,3e-06,22.006973,[106  36] ; [36 47],[89.61777778 52.38222222] ; [52.38222222 30.61777778],1
n6,1,1e-05,19.425129,[116  26] ; [45 38],[101.60888889  40.39111111] ; [59.39111111 23.60888889],1
v4,1,2.4e-05,17.870452,[131  11] ; [59 24],[119.91111111  22.08888889] ; [70.08888889 12.91111111],1
r4,1,3.8e-05,16.986353,[119  23] ; [49 34],[106.02666667  35.97333333] ; [61.97333333 21.02666667],1
r3,1,5e-05,16.448792,[130  11] ; [59 23],[119.50224215  21.49775785] ; [69.49775785 12.50224215],1
s3,1,0.000589,11.80951,[58 82] ; [15 65],[46.45454545 93.54545455] ; [26.54545455 53.45454545],1
s2,1,0.002026,9.526257,[45 94] ; [11 70],[ 35.38181818 103.61818182] ; [20.61818182 60.38181818],0
p8,1,0.006341,7.450643,[ 39 102] ; [10 73],[ 30.84375 110.15625] ; [18.15625 64.84375],0
r2,1,0.009176,6.788237,[131  11] ; [66 16],[124.88392857  17.11607143] ; [72.11607143  9.88392857],0
b1,1,0.011993,6.311864,[43 99] ; [39 44],[51.75111111 90.24888889] ; [30.24888889 52.75111111],0
v1,1,0.012232,6.276886,[62 77] ; [23 60],[53.22072072 85.77927928] ; [31.77927928 51.22072072],0
a1,1,0.012783,6.198964,[  4 138] ; [ 9 74],[  8.20444444 133.79555556] ; [ 4.79555556 78.20444444],0
a5,1,0.020983,5.328171,[94 48] ; [42 41],[85.83111111 56.16888889] ; [50.16888889 32.83111111],0
n5,1,0.02442,5.064548,[96 45] ; [44 39],[88.125 52.875] ; [51.875 31.125],0
p12,1,0.024599,5.051875,[ 12 130] ; [ 1 82],[  8.20444444 133.79555556] ; [ 4.79555556 78.20444444],0
a7,1,0.027324,4.870204,[105  37] ; [49 33],[97.625 44.375] ; [56.375 25.625],0
s6,1,0.03241,4.576651,[66 74] ; [27 56],[58.38565022 81.61434978] ; [34.61434978 48.38565022],0
u2,1,0.038271,4.292929,[38 28] ; [13 23],[33. 33.] ; [18. 18.],0
n2,1,0.041609,4.151027,[29  8] ; [22 17],[24.82894737 12.17105263] ; [26.17105263 12.82894737],0
d3,1,0.060376,3.52703,[90 52] ; [42 41],[83.30666667 58.69333333] ; [48.69333333 34.30666667],0
p3,1,0.06144,3.498067,[ 40 102] ; [14 68],[ 34.23214286 107.76785714] ; [19.76785714 62.23214286],0
d4,1,0.067808,3.335299,[111  31] ; [55 27],[105.23214286  36.76785714] ; [60.76785714 21.23214286],0
n4,1,0.12326,2.375406,[95 47] ; [47 36],[89.61777778 52.38222222] ; [52.38222222 30.61777778],0
v2,1,0.155408,2.01835,[62 70] ; [30 51],[57.01408451 74.98591549] ; [34.98591549 46.01408451],0
s5,1,0.183729,1.767196,[ 26 107] ; [10 70],[ 22.47887324 110.52112676] ; [13.52112676 66.47887324],0
p4,1,0.206248,1.597572,[51 91] ; [23 60],[46.70222222 95.29777778] ; [27.29777778 55.70222222],0
a2,1,0.233156,1.421504,[ 16 126] ; [14 69],[ 18.93333333 123.06666667] ; [11.06666667 71.93333333],0
a4,1,0.236896,1.398972,[50 92] ; [35 46],[54.12556054 87.87443946] ; [30.87443946 50.12556054],0
