Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000972,10.880085,[38  8] ; [ 9 12],[32.26865672 13.73134328] ; [14.73134328  6.26865672],1
v4,1,0.001249,10.417014,[44  2] ; [14  7],[39.82089552  6.17910448] ; [18.17910448  2.82089552],0
p9,1,0.001798,9.745571,[39  7] ; [ 9 10],[33.96923077 12.03076923] ; [14.03076923  4.96923077],0
n5,1,0.002099,9.460929,[37  9] ; [ 9 12],[31.58208955 14.41791045] ; [14.41791045  6.58208955],0
r4,1,0.003599,8.47599,[42  4] ; [13  8],[37.76119403  8.23880597] ; [17.23880597  3.76119403],0
p11,1,0.007874,7.061992,[35 11] ; [ 9 12],[30.20895522 15.79104478] ; [13.79104478  7.20895522],0
n6,1,0.019299,5.474248,[40  6] ; [13  8],[36.3880597  9.6119403] ; [16.6119403  4.3880597],0
p4,1,0.028918,4.772473,[19 27] ; [ 3 18],[15.10447761 30.89552239] ; [ 6.89552239 14.10447761],0
r1,1,0.037162,4.342978,[39  7] ; [13  8],[35.70149254 10.29850746] ; [16.29850746  4.70149254],0
r3,1,0.05061,3.821143,[44  2] ; [17  4],[41.88059701  4.11940299] ; [19.11940299  1.88059701],0
s1,1,0.05061,3.821143,[ 2 44] ; [ 4 17],[ 4.11940299 41.88059701] ; [ 1.88059701 19.11940299],0
p3,1,0.075091,3.168065,[19 27] ; [ 4 17],[15.79104478 30.20895522] ; [ 7.20895522 13.79104478],0
s6,1,0.090657,2.862661,[39  7] ; [14  7],[36.3880597  9.6119403] ; [16.6119403  4.3880597],0
b5,1,0.123402,2.373598,[31 15] ; [10 11],[28.14925373 17.85074627] ; [12.85074627  8.14925373],0
u2,1,0.124283,2.3625,[7 3] ; [1 3],[5.71428571 4.28571429] ; [2.28571429 1.71428571],0
a5,1,0.14645,2.108844,[38  8] ; [14  7],[35.70149254 10.29850746] ; [16.29850746  4.70149254],0
r2,1,0.160692,1.967702,[45  1] ; [18  2],[43.90909091  2.09090909] ; [19.09090909  0.90909091],0
s2,1,0.173554,1.851971,[32 14] ; [11 10],[29.52238806 16.47761194] ; [13.47761194  7.52238806],0
n1,1,0.188206,1.731602,[10  4] ; [5 6],[8.4 5.6] ; [6.6 4.4],0
s5,1,0.229786,1.442183,[19 26] ; [ 5 14],[16.875 28.125] ; [ 7.125 11.875],0
d5,1,0.230985,1.434783,[40  6] ; [15  5],[38.33333333  7.66666667] ; [16.66666667  3.33333333],0
a6,1,0.258349,1.27758,[34 12] ; [12  8],[32.06060606 13.93939394] ; [13.93939394  6.06060606],0
n4,1,0.311675,1.023564,[36 10] ; [14  7],[34.32835821 11.67164179] ; [15.67164179  5.32835821],0
a7,1,0.317467,0.999352,[27 19] ; [15  6],[28.8358209 17.1641791] ; [13.1641791  7.8358209],0
p5,1,0.362577,0.828947,[ 5 37] ; [ 1 20],[ 4. 38.] ; [ 2. 19.],0
s3,1,0.462361,0.540172,[34 12] ; [13  7],[32.75757576 13.24242424] ; [14.24242424  5.75757576],0
p8,1,0.474195,0.512183,[10 36] ; [ 3 18],[ 8.92537313 37.07462687] ; [ 4.07462687 16.92537313],0
p1,1,0.487724,0.481544,[ 4 42] ; [ 3 18],[ 4.80597015 41.19402985] ; [ 2.19402985 18.80597015],0
b2,1,0.497349,0.460589,[16 25] ; [6 6],[17.01886792 23.98113208] ; [4.98113208 7.01886792],0
b3,1,0.497349,0.460589,[16 25] ; [6 6],[17.01886792 23.98113208] ; [4.98113208 7.01886792],0
a4,1,0.497786,0.459653,[26 20] ; [10 11],[24.71641791 21.28358209] ; [11.28358209  9.71641791],0
b4,1,0.526119,0.401881,[30 16] ; [12  9],[28.8358209 17.1641791] ; [13.1641791  7.8358209],0
d3,1,0.585699,0.297112,[29 17] ; [14  6],[29.96969697 16.03030303] ; [13.03030303  6.96969697],0
n2,1,0.663674,0.189091,[12  3] ; [8 3],[11.53846154  3.46153846] ; [8.46153846 2.53846154],0
p7,1,0.678651,0.171648,[17 27] ; [ 7 14],[16.24615385 27.75384615] ; [ 7.75384615 13.24615385],0
a8,1,0.683481,0.166234,[ 5 39] ; [ 3 17],[ 5.5 38.5] ; [ 2.5 17.5],0
d2,1,0.685523,0.163975,[30 16] ; [12  8],[29.27272727 16.72727273] ; [12.72727273  7.27272727],0
n3,1,0.733701,0.115741,[10  5] ; [6 4],[9.6 5.4] ; [6.4 3.6],0
p6,1,0.741049,0.109207,[15 31] ; [ 6 15],[14.41791045 31.58208955] ; [ 6.58208955 14.41791045],0
d1,1,0.741049,0.109207,[31 15] ; [15  6],[31.58208955 14.41791045] ; [14.41791045  6.58208955],0
b1,1,0.751859,0.099976,[26 20] ; [11 10],[25.40298507 20.59701493] ; [11.59701493  9.40298507],0
a1,1,0.777919,0.079542,[ 3 43] ; [ 1 20],[ 2.74626866 43.25373134] ; [ 1.25373134 19.74626866],0
a3,1,0.801525,0.063189,[36 10] ; [17  4],[36.3880597  9.6119403] ; [16.6119403  4.3880597],0
d4,1,0.810668,0.057391,[38  8] ; [17  3],[38.33333333  7.66666667] ; [16.66666667  3.33333333],0
v2,1,0.814677,0.054942,[25 18] ; [11  9],[24.57142857 18.42857143] ; [11.42857143  8.57142857],0
u3,1,0.836813,0.042424,[8 2] ; [3 1],[7.85714286 2.14285714] ; [3.14285714 0.85714286],0
u1,1,0.842474,0.039493,[12 34] ; [ 5 16],[11.67164179 34.32835821] ; [ 5.32835821 15.67164179],0
s4,1,0.85041,0.035568,[10 36] ; [ 5 16],[10.29850746 35.70149254] ; [ 4.70149254 16.29850746],0
v3,1,0.877118,0.023909,[19 23] ; [ 9 10],[19.27868852 22.72131148] ; [ 8.72131148 10.27868852],0
a2,1,0.877123,0.023906,[14 32] ; [ 6 15],[13.73134328 32.26865672] ; [ 6.26865672 14.73134328],0
v1,1,0.931519,0.007385,[22 21] ; [10 10],[21.84126984 21.15873016] ; [10.15873016  9.84126984],0
