Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,4.3e-05,16.713178,[15 33] ; [30 10],[24.54545455 23.45454545] ; [20.45454545 19.54545455],1
p3,1,0.003106,8.744038,[27 21] ; [10 30],[20.18181818 27.81818182] ; [16.81818182 23.18181818],0
a8,1,0.009643,6.699643,[ 2 42] ; [ 9 28],[ 5.97530864 38.02469136] ; [ 5.02469136 31.97530864],0
b3,1,0.034079,4.49075,[12 17] ; [ 4 22],[ 8.43636364 20.56363636] ; [ 7.56363636 18.43636364],0
b2,1,0.034079,4.49075,[12 17] ; [ 4 22],[ 8.43636364 20.56363636] ; [ 7.56363636 18.43636364],0
p7,1,0.051362,3.796427,[25 22] ; [26  9],[29.23170732 17.76829268] ; [21.76829268 13.23170732],0
v4,1,0.090182,2.87112,[42  6] ; [38  1],[44.13793103  3.86206897] ; [35.86206897  3.13793103],0
p9,1,0.097445,2.746877,[33 15] ; [32  6],[36.27906977 11.72093023] ; [28.72093023  9.27906977],0
a3,1,0.128789,2.307044,[26 22] ; [28 12],[29.45454545 18.54545455] ; [24.54545455 15.45454545],0
d1,1,0.158411,1.989325,[30 18] ; [19 21],[26.72727273 21.27272727] ; [22.27272727 17.72727273],0
u3,1,0.160475,1.969742,[17  4] ; [7 5],[15.27272727  5.72727273] ; [8.72727273 3.27272727],0
p11,1,0.165963,1.919034,[28 20] ; [29 11],[31.09090909 16.90909091] ; [25.90909091 14.09090909],0
p2,1,0.170139,1.881719,[35 13] ; [34  6],[37.63636364 10.36363636] ; [31.36363636  8.63636364],0
a5,1,0.1923,1.699906,[34 14] ; [23 17],[31.09090909 16.90909091] ; [25.90909091 14.09090909],0
d4,1,0.1958,1.673428,[41  7] ; [29 10],[38.62068966  9.37931034] ; [31.37931034  7.62068966],0
s5,1,0.20721,1.590812,[17 27] ; [10 29],[14.31325301 29.68674699] ; [12.68674699 26.31325301],0
v3,1,0.262506,1.255493,[14 31] ; [ 7 28],[11.8125 33.1875] ; [ 9.1875 25.8125],0
u1,1,0.309865,1.03125,[ 3 45] ; [ 5 35],[ 4.36363636 43.63636364] ; [ 3.63636364 36.36363636],0
b4,1,0.327349,0.959358,[29 19] ; [20 20],[26.72727273 21.27272727] ; [22.27272727 17.72727273],0
p10,1,0.404758,0.694145,[30 18] ; [27 11],[31.81395349 16.18604651] ; [25.18604651 12.81395349],0
s1,1,0.424804,0.636987,[ 1 47] ; [ 2 36],[ 1.6744186 46.3255814] ; [ 1.3255814 36.6744186],0
d2,1,0.457586,0.551794,[21 27] ; [14 25],[19.31034483 28.68965517] ; [15.68965517 23.31034483],0
v2,1,0.47942,0.500182,[21 22] ; [21 16],[22.575 20.425] ; [19.425 17.575],0
b5,1,0.49158,0.473065,[29 19] ; [27 13],[30.54545455 17.45454545] ; [25.45454545 14.54545455],0
p5,1,0.497721,0.459793,[ 2 45] ; [ 3 36],[ 2.73255814 44.26744186] ; [ 2.26744186 36.73255814],0
d3,1,0.503941,0.446626,[34 14] ; [25 14],[32.55172414 15.44827586] ; [26.44827586 12.55172414],0
p4,1,0.558389,0.342501,[27 21] ; [20 20],[25.63636364 22.36363636] ; [21.36363636 18.63636364],0
r2,1,0.575872,0.312956,[41  7] ; [34  4],[41.86046512  6.13953488] ; [33.13953488  4.86046512],0
s4,1,0.577319,0.310588,[12 36] ; [ 8 32],[10.90909091 37.09090909] ; [ 9.09090909 30.90909091],0
r1,1,0.581083,0.304487,[34 13] ; [31  9],[35.11494253 11.88505747] ; [29.88505747 10.11494253],0
v1,1,0.593425,0.285027,[22 25] ; [20 18],[23.22352941 23.77647059] ; [18.77647059 19.22352941],0
s8,1,0.640083,0.218634,[24 24] ; [18 22],[22.90909091 25.09090909] ; [19.09090909 20.90909091],0
a6,1,0.647447,0.209135,[31 17] ; [27 12],[32. 16.] ; [26. 13.],0
p6,1,0.668407,0.183471,[12 35] ; [11 26],[12.86904762 34.13095238] ; [10.13095238 26.86904762],0
p12,1,0.68371,0.16598,[ 2 46] ; [ 1 38],[ 1.65517241 46.34482759] ; [ 1.34482759 37.65517241],0
u2,1,0.687421,0.161892,[17  4] ; [9 3],[16.54545455  4.45454545] ; [9.45454545 2.54545455],0
r4,1,0.740558,0.109636,[37 11] ; [32  8],[37.63636364 10.36363636] ; [31.36363636  8.63636364],0
s3,1,0.757661,0.095205,[33 15] ; [28 11],[33.65517241 14.34482759] ; [27.34482759 11.65517241],0
d5,1,0.767748,0.087215,[37 11] ; [29 10],[36.4137931 11.5862069] ; [29.5862069  9.4137931],0
a7,1,0.773797,0.082605,[31 17] ; [27 13],[31.63636364 16.36363636] ; [26.36363636 13.63636364],0
n1,1,0.788222,0.072157,[ 7 12] ; [5 7],[ 7.35483871 11.64516129] ; [4.64516129 7.35483871],0
p8,1,0.804731,0.061122,[21 26] ; [18 20],[21.56470588 25.43529412] ; [17.43529412 20.56470588],0
r3,1,0.823084,0.049988,[45  3] ; [37  2],[45.24137931  2.75862069] ; [36.75862069  2.24137931],0
s7,1,0.86394,0.029364,[21 25] ; [19 21],[21.39534884 24.60465116] ; [18.60465116 21.39534884],0
a2,1,0.879674,0.022917,[ 9 39] ; [ 7 33],[ 8.72727273 39.27272727] ; [ 7.27272727 32.72727273],0
s2,1,0.906166,0.013895,[27 21] ; [23 17],[27.27272727 20.72727273] ; [22.72727273 17.27272727],0
n3,1,0.918931,0.010359,[13  6] ; [8 4],[12.87096774  6.12903226] ; [8.12903226 3.87096774],0
a4,1,0.932011,0.007279,[14 34] ; [12 28],[14.18181818 33.81818182] ; [11.81818182 28.18181818],0
b1,1,1.0,0.0,[24 24] ; [20 20],[24. 24.] ; [20. 20.],0
