Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.004482,8.077383,[ 7 28] ; [12  9],[11.875 23.125] ; [ 7.125 13.875],0
b1,1,0.006441,7.422537,[ 2 33] ; [ 7 14],[ 5.625 29.375] ; [ 3.375 17.625],0
s6,1,0.012039,6.30517,[20 14] ; [19  2],[24.10909091  9.89090909] ; [14.89090909  6.10909091],0
a7,1,0.029921,4.713805,[25 10] ; [20  1],[28.125  6.875] ; [16.875  4.125],0
a2,1,0.045777,3.989764,[ 4 31] ; [ 7 14],[ 6.875 28.125] ; [ 4.125 16.875],0
u3,1,0.063716,3.437921,[4 5] ; [7 1],[5.82352941 3.17647059] ; [5.17647059 2.82352941],0
s5,1,0.064343,3.421741,[ 8 26] ; [10 11],[11.12727273 22.87272727] ; [ 6.87272727 14.12727273],0
p2,1,0.066798,3.36,[22 13] ; [18  3],[25. 10.] ; [15.  6.],0
p7,1,0.076645,3.134657,[16 18] ; [15  6],[19.16363636 14.83636364] ; [11.83636364  9.16363636],0
p3,1,0.09372,2.809294,[ 9 26] ; [10 11],[11.875 23.125] ; [ 7.125 13.875],0
r2,1,0.107907,2.584615,[34  1] ; [18  3],[32.5  2.5] ; [19.5  1.5],0
u1,1,0.114653,2.488889,[ 3 32] ; [ 5 16],[ 5. 30.] ; [ 3. 18.],0
v1,1,0.140802,2.16917,[18 17] ; [15  6],[20.625 14.375] ; [12.375  8.625],0
p4,1,0.144971,2.124387,[13 22] ; [12  9],[15.625 19.375] ; [ 9.375 11.625],0
n5,1,0.183578,1.768421,[ 9 26] ; [ 9 12],[11.25 23.75] ; [ 6.75 14.25],0
p11,1,0.2154,1.534756,[21 14] ; [16  5],[23.125 11.875] ; [13.875  7.125],0
d3,1,0.220259,1.502683,[25 10] ; [18  3],[26.875  8.125] ; [16.125  4.875],0
s3,1,0.240451,1.377948,[16 19] ; [13  8],[18.125 16.875] ; [10.875 10.125],0
n2,1,0.241567,1.371429,[8 6] ; [8 2],[9.33333333 4.66666667] ; [6.66666667 3.33333333],0
s4,1,0.264616,1.244444,[ 7 28] ; [ 7 14],[ 8.75 26.25] ; [ 5.25 15.75],0
d2,1,0.274348,1.194879,[10 25] ; [ 9 12],[11.875 23.125] ; [ 7.125 13.875],0
p8,1,0.300315,1.072797,[15 20] ; [12  9],[16.875 18.125] ; [10.125 10.875],0
n3,1,0.327187,0.96,[7 7] ; [7 3],[8.16666667 5.83333333] ; [5.83333333 4.16666667],0
v2,1,0.34058,0.908247,[28  6] ; [15  6],[26.58181818  7.41818182] ; [16.41818182  4.58181818],0
u2,1,0.374857,0.7875,[7 3] ; [7 1],[7.77777778 2.22222222] ; [6.22222222 1.77777778],0
b3,1,0.381133,0.767045,[ 5 10] ; [6 6],[6.11111111 8.88888889] ; [4.88888889 7.11111111],0
b2,1,0.381133,0.767045,[ 5 10] ; [6 6],[6.11111111 8.88888889] ; [4.88888889 7.11111111],0
a4,1,0.39142,0.734526,[ 8 27] ; [ 7 14],[ 9.375 25.625] ; [ 5.625 15.375],0
a3,1,0.460035,0.545809,[25 10] ; [13  8],[23.75 11.25] ; [14.25  6.75],0
n6,1,0.473466,0.513877,[23 12] ; [15  5],[24.18181818 10.81818182] ; [13.81818182  6.18181818],0
p9,1,0.48345,0.491071,[27  8] ; [17  3],[28.  7.] ; [16.  4.],0
r3,1,0.503286,0.448,[32  3] ; [18  3],[31.25  3.75] ; [18.75  2.25],0
p10,1,0.567282,0.327251,[26  9] ; [17  4],[26.875  8.125] ; [16.125  4.875],0
b5,1,0.576999,0.311111,[21 14] ; [11 10],[20. 15.] ; [12.  9.],0
p6,1,0.581598,0.303658,[ 5 30] ; [ 4 16],[ 5.72727273 29.27272727] ; [ 3.27272727 16.72727273],0
v4,1,0.592034,0.287179,[32  3] ; [20  1],[32.5  2.5] ; [19.5  1.5],0
d5,1,0.696858,0.151762,[25 10] ; [16  5],[25.625  9.375] ; [15.375  5.625],0
a1,1,0.710005,0.138272,[ 1 34] ; [ 1 20],[ 1.25 33.75] ; [ 0.75 20.25],0
r1,1,0.736607,0.113131,[28  7] ; [16  5],[27.5  7.5] ; [16.5  4.5],0
d4,1,0.754293,0.097959,[31  4] ; [18  3],[30.625  4.375] ; [18.375  2.625],0
a5,1,0.773322,0.082963,[22 13] ; [14  7],[22.5 12.5] ; [13.5  7.5],0
r4,1,0.778068,0.079433,[29  6] ; [18  3],[29.375  5.625] ; [17.625  3.375],0
n1,1,0.802839,0.062338,[ 1 13] ; [1 9],[ 1.16666667 12.83333333] ; [0.83333333 9.16666667],0
p12,1,0.82345,0.049778,[ 4 31] ; [ 2 19],[ 3.75 31.25] ; [ 2.25 18.75],0
s2,1,0.833354,0.044269,[14 21] ; [ 9 12],[14.375 20.625] ; [ 8.625 12.375],0
b4,1,0.882534,0.021832,[24 11] ; [14  7],[23.75 11.25] ; [14.25  6.75],0
a6,1,0.882534,0.021832,[24 11] ; [14  7],[23.75 11.25] ; [14.25  6.75],0
p5,1,0.903693,0.014641,[ 3 32] ; [ 2 19],[ 3.125 31.875] ; [ 1.875 19.125],0
p1,1,0.910655,0.012592,[ 2 33] ; [ 1 19],[ 1.90909091 33.09090909] ; [ 1.09090909 18.90909091],0
d1,1,0.944949,0.004768,[17 18] ; [10 11],[16.875 18.125] ; [10.125 10.875],0
