Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,35.138762,[17 34] ; [84 19],[33.44805195 17.55194805] ; [67.55194805 35.44805195],1
s6,1,1e-06,25.168153,[10 40] ; [64 37],[24.50331126 25.49668874] ; [49.49668874 51.50331126],1
r3,1,4.1e-05,16.822998,[28 23] ; [87 15],[38.33333333 12.66666667] ; [76.66666667 25.33333333],1
r2,1,0.00024,13.486092,[34 14] ; [95  7],[41.28  6.72] ; [87.72 14.28],1
a7,1,0.000271,13.258972,[23 27] ; [78 25],[33.00653595 16.99346405] ; [67.99346405 35.00653595],1
s8,1,0.000791,11.26176,[ 5 46] ; [36 66],[13.66666667 37.33333333] ; [27.33333333 74.66666667],1
d4,1,0.00081,11.218927,[27 24] ; [80 21],[35.90131579 15.09868421] ; [71.09868421 29.90131579],1
v4,1,0.001333,10.29644,[34 17] ; [90 12],[41.33333333  9.66666667] ; [82.66666667 19.33333333],0
s3,1,0.002383,9.228039,[14 35] ; [56 46],[22.71523179 26.28476821] ; [47.28476821 54.71523179],0
s7,1,0.002508,9.134657,[ 9 39] ; [43 54],[17.2137931 30.7862069] ; [34.7862069 62.2137931],0
s2,1,0.002892,8.874104,[12 39] ; [50 53],[20.53246753 30.46753247] ; [41.46753247 61.53246753],0
b3,1,0.003784,8.384595,[15 11] ; [13 40],[ 9.21518987 16.78481013] ; [18.78481013 34.21518987],0
b2,1,0.003784,8.384595,[15 11] ; [13 40],[ 9.21518987 16.78481013] ; [18.78481013 34.21518987],0
v2,1,0.005911,7.577296,[12 38] ; [46 51],[19.72789116 30.27210884] ; [38.27210884 58.72789116],0
d1,1,0.006558,7.390221,[14 37] ; [52 51],[21.85714286 29.14285714] ; [44.14285714 58.85714286],0
a5,1,0.006693,7.353596,[22 29] ; [68 35],[29.80519481 21.19480519] ; [60.19480519 42.80519481],0
d5,1,0.019097,5.492612,[29 21] ; [78 24],[35.19736842 14.80263158] ; [71.80263158 30.19736842],0
