Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,37.80305,[100   1] ; [3 3],[97.22429907  3.77570093] ; [5.77570093 0.22429907],1
r4,1,0.0,25.336819,[91 10] ; [1 5],[86.8411215 14.1588785] ; [5.1588785 0.8411215],1
p9,1,0.000338,12.847651,[78 19] ; [1 5],[74.39805825 22.60194175] ; [4.60194175 1.39805825],1
p10,1,0.00096,10.903541,[76 22] ; [1 5],[72.55769231 25.44230769] ; [4.44230769 1.55769231],1
d5,1,0.004303,8.15114,[82 18] ; [2 4],[79.24528302 20.75471698] ; [4.75471698 1.24528302],0
s1,1,0.006301,7.462254,[ 5 96] ; [2 4],[ 6.60747664 94.39252336] ; [0.39252336 5.60747664],0
r2,1,0.013822,6.060748,[94  6] ; [4 2],[92.45283019  7.54716981] ; [5.54716981 0.45283019],0
p2,1,0.02617,4.944768,[75 25] ; [2 4],[72.64150943 27.35849057] ; [4.35849057 1.64150943],0
p11,1,0.030552,4.67796,[62 39] ; [1 5],[59.46728972 41.53271028] ; [3.53271028 2.46728972],0
a7,1,0.031727,4.61317,[74 26] ; [2 4],[71.69811321 28.30188679] ; [4.30188679 1.69811321],0
s6,1,0.034947,4.447768,[84 16] ; [3 3],[82.0754717 17.9245283] ; [4.9245283 1.0754717],0
n6,1,0.11822,2.440745,[65 35] ; [2 4],[63.20754717 36.79245283] ; [3.79245283 2.20754717],0
s7,1,0.154834,2.023967,[50 45] ; [1 4],[48.45 46.55] ; [2.55 2.45],0
s5,1,0.179002,1.805892,[42 52] ; [1 5],[40.42 53.58] ; [2.58 3.42],0
v3,1,0.22733,1.457487,[26 70] ; [3 3],[27.29411765 68.70588235] ; [1.70588235 4.29411765],0
p3,1,0.236378,1.402068,[42 58] ; [4 2],[43.39622642 56.60377358] ; [2.60377358 3.39622642],0
d1,1,0.247979,1.334651,[58 43] ; [2 4],[56.63551402 44.36448598] ; [3.36448598 2.63551402],0
r1,1,0.24988,1.323974,[72 28] ; [3 3],[70.75471698 29.24528302] ; [4.24528302 1.75471698],0
a5,1,0.268523,1.224276,[72 29] ; [3 3],[70.79439252 30.20560748] ; [4.20560748 1.79439252],0
a4,1,0.280346,1.165412,[39 62] ; [1 5],[37.75700935 63.24299065] ; [2.24299065 3.75700935],0
p8,1,0.301358,1.068173,[37 63] ; [3 2],[38.0952381 61.9047619] ; [1.9047619 3.0952381],0
b1,1,0.320737,0.985937,[37 64] ; [1 5],[35.86915888 65.13084112] ; [2.13084112 3.86915888],0
v2,1,0.345187,0.891071,[50 44] ; [2 4],[48.88 45.12] ; [3.12 2.88],0
n3,1,0.356038,0.851819,[22  6] ; [1 1],[21.46666667  6.53333333] ; [1.53333333 0.46666667],0
b2,1,0.382159,0.763747,[12 40] ; [1 1],[12.51851852 39.48148148] ; [0.48148148 1.51851852],0
b3,1,0.382159,0.763747,[12 40] ; [1 1],[12.51851852 39.48148148] ; [0.48148148 1.51851852],0
p6,1,0.430781,0.620717,[32 68] ; [1 5],[31.13207547 68.86792453] ; [1.86792453 4.13207547],0
n2,1,0.439882,0.596591,[21  7] ; [1 1],[20.53333333  7.46666667] ; [1.46666667 0.53333333],0
a6,1,0.477775,0.503937,[65 36] ; [3 3],[64.18691589 36.81308411] ; [3.81308411 2.18691589],0
b5,1,0.578956,0.307926,[62 39] ; [3 3],[61.35514019 39.64485981] ; [3.64485981 2.35514019],0
b4,1,0.578956,0.307926,[62 39] ; [3 3],[61.35514019 39.64485981] ; [3.64485981 2.35514019],0
a3,1,0.61382,0.25465,[61 40] ; [3 3],[60.41121495 40.58878505] ; [3.58878505 2.41121495],0
v1,1,0.632019,0.229332,[42 55] ; [2 4],[41.4368932 55.5631068] ; [2.5631068 3.4368932],0
n1,1,0.685458,0.164046,[10 18] ; [1 1],[10.26666667 17.73333333] ; [0.73333333 1.26666667],0
d3,1,0.692301,0.156606,[74 26] ; [4 2],[73.58490566 26.41509434] ; [4.41509434 1.58490566],0
d2,1,0.831469,0.045291,[46 55] ; [3 3],[46.25233645 54.74766355] ; [2.74766355 3.25233645],0
d4,1,0.847512,0.036977,[87 14] ; [5 1],[86.8411215 14.1588785] ; [5.1588785 0.8411215],0
p7,1,0.863485,0.029563,[52 45] ; [3 3],[51.7961165 45.2038835] ; [3.2038835 2.7961165],0
n4,1,0.870367,0.026632,[37 64] ; [2 4],[36.81308411 64.18691589] ; [2.18691589 3.81308411],0
u2,1,0.903319,0.014755,[24 14] ; [2 1],[24.09756098 13.90243902] ; [1.90243902 1.09756098],0
s3,1,0.942654,0.005175,[83 18] ; [5 1],[83.06542056 17.93457944] ; [4.93457944 1.06542056],0
p4,1,0.962042,0.002265,[51 49] ; [3 3],[50.94339623 49.05660377] ; [3.05660377 2.94339623],0
s4,1,0.986738,0.000276,[34 67] ; [2 4],[33.98130841 67.01869159] ; [2.01869159 3.98130841],0
