Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2.5e-05,17.796386,[20 44] ; [48 23],[32.23703704 31.76296296] ; [35.76296296 35.23703704],1
a6,1,0.000748,11.367153,[27 37] ; [51 21],[36.70588235 27.29411765] ; [41.29411765 30.70588235],1
d4,1,0.002567,9.092008,[31 33] ; [53 19],[39.52941176 24.47058824] ; [44.47058824 27.52941176],0
b5,1,0.004415,8.104646,[29 35] ; [50 22],[37.17647059 26.82352941] ; [41.82352941 30.17647059],0
d5,1,0.004527,8.059259,[32 32] ; [53 19],[40. 24.] ; [45. 27.],0
r3,1,0.008646,6.89459,[43 21] ; [62 10],[49.41176471 14.58823529] ; [55.58823529 16.41176471],0
b1,1,0.01272,6.207682,[33 31] ; [22 50],[25.88235294 38.11764706] ; [29.11764706 42.88235294],0
p10,1,0.01704,5.69228,[30 33] ; [47 22],[36.75 26.25] ; [40.25 28.75],0
u3,1,0.038448,4.285108,[ 7 28] ; [12 15],[10.72580645 24.27419355] ; [ 8.27419355 18.72580645],0
a2,1,0.042503,4.115079,[ 3 61] ; [11 61],[ 6.58823529 57.41176471] ; [ 7.41176471 64.58823529],0
d1,1,0.044545,4.035801,[17 47] ; [31 41],[22.58823529 41.41176471] ; [25.41176471 46.58823529],0
a3,1,0.065151,3.40115,[29 35] ; [44 28],[34.35294118 29.64705882] ; [38.64705882 33.35294118],0
u1,1,0.12713,2.327208,[ 1 63] ; [ 5 67],[ 2.82352941 61.17647059] ; [ 3.17647059 68.82352941],0
p9,1,0.137945,2.200735,[37 24] ; [51 19],[40.97709924 20.02290076] ; [47.02290076 22.97709924],0
p2,1,0.154418,2.028056,[36 27] ; [49 22],[39.96268657 23.03731343] ; [45.03731343 25.96268657],0
p11,1,0.15577,2.014815,[36 28] ; [49 23],[40. 24.] ; [45. 27.],0
s2,1,0.161546,1.959698,[16 48] ; [26 46],[19.76470588 44.23529412] ; [22.23529412 49.76470588],0
r4,1,0.175499,1.835329,[29 35] ; [41 31],[32.94117647 31.05882353] ; [37.05882353 34.94117647],0
p1,1,0.181574,1.784693,[ 9 55] ; [ 5 66],[ 6.63703704 57.36296296] ; [ 7.36296296 63.63703704],0
p3,1,0.217497,1.52081,[16 48] ; [25 47],[19.29411765 44.70588235] ; [21.70588235 50.29411765],0
v4,1,0.251432,1.315331,[46 18] ; [57 14],[48.82962963 15.17037037] ; [54.17037037 16.82962963],0
n5,1,0.258584,1.276323,[43 21] ; [41 30],[39.82222222 24.17777778] ; [44.17777778 26.82222222],0
r2,1,0.269205,1.220791,[44 19] ; [54 15],[46.77272727 16.22727273] ; [51.22727273 17.77272727],0
p6,1,0.301398,1.067998,[14 47] ; [22 49],[16.63636364 44.36363636] ; [19.36363636 51.63636364],0
u2,1,0.305507,1.05,[13 22] ; [14 14],[15. 20.] ; [12. 16.],0
p4,1,0.334228,0.932446,[22 41] ; [31 41],[24.73333333 38.26666667] ; [28.26666667 43.73333333],0
v2,1,0.338147,0.917444,[12 49] ; [19 52],[14.32575758 46.67424242] ; [16.67424242 54.32575758],0
v3,1,0.38427,0.756996,[ 9 54] ; [14 56],[10.89473684 52.10526316] ; [12.10526316 57.89473684],0
n2,1,0.433422,0.613636,[20 12] ; [16  6],[21.33333333 10.66666667] ; [14.66666667  7.33333333],0
n3,1,0.433422,0.613636,[20 12] ; [16  6],[21.33333333 10.66666667] ; [14.66666667  7.33333333],0
s7,1,0.457364,0.552337,[15 46] ; [21 48],[16.89230769 44.10769231] ; [19.10769231 49.89230769],0
s4,1,0.489673,0.477244,[12 52] ; [17 55],[13.64705882 50.35294118] ; [15.35294118 56.64705882],0
a8,1,0.499897,0.455155,[ 5 57] ; [ 8 61],[ 6.15267176 55.84732824] ; [ 6.84732824 62.15267176],0
p8,1,0.529977,0.394436,[21 42] ; [27 43],[22.73684211 40.26315789] ; [25.26315789 44.73684211],0
p12,1,0.554714,0.34894,[ 3 61] ; [ 2 70],[ 2.35294118 61.64705882] ; [ 2.64705882 69.35294118],0
p7,1,0.582016,0.302987,[28 36] ; [33 35],[29.57575758 34.42424242] ; [31.42424242 36.57575758],0
a5,1,0.5992,0.276204,[30 34] ; [37 35],[31.52941176 32.47058824] ; [35.47058824 36.52941176],0
p5,1,0.609743,0.26055,[ 4 60] ; [ 3 67],[ 3.34328358 60.65671642] ; [ 3.65671642 66.34328358],0
n4,1,0.636733,0.223041,[39 25] ; [41 31],[37.64705882 26.35294118] ; [42.35294118 29.64705882],0
n6,1,0.705734,0.142575,[45 19] ; [52 19],[45.98518519 18.01481481] ; [51.01481481 19.98518519],0
s1,1,0.735337,0.114267,[ 2 62] ; [ 3 68],[ 2.37037037 61.62962963] ; [ 2.62962963 68.37037037],0
s6,1,0.740231,0.109924,[24 40] ; [29 43],[24.94117647 39.05882353] ; [28.05882353 43.94117647],0
s8,1,0.809637,0.05803,[14 50] ; [17 55],[14.58823529 49.41176471] ; [16.41176471 55.58823529],0
a1,1,0.830724,0.045699,[ 6 58] ; [ 6 66],[ 5.64705882 58.35294118] ; [ 6.35294118 65.64705882],0
s5,1,0.839975,0.040774,[11 51] ; [13 55],[11.44615385 50.55384615] ; [12.55384615 55.44615385],0
s3,1,0.864316,0.029201,[22 39] ; [27 45],[22.47368421 38.52631579] ; [26.52631579 45.47368421],0
d2,1,0.865612,0.02864,[25 37] ; [28 44],[24.52238806 37.47761194] ; [28.47761194 43.52238806],0
n1,1,0.872926,0.025582,[11 20] ; [ 7 14],[10.73076923 20.26923077] ; [ 7.26923077 13.73076923],0
a4,1,0.881507,0.022219,[20 43] ; [22 50],[19.6 43.4] ; [22.4 49.6],0
b2,1,0.901973,0.015171,[14 25] ; [16 27],[14.26829268 24.73170732] ; [15.73170732 27.26829268],0
b3,1,0.901973,0.015171,[14 25] ; [16 27],[14.26829268 24.73170732] ; [15.73170732 27.26829268],0
b4,1,0.934994,0.006652,[36 28] ; [41 31],[36.23529412 27.76470588] ; [40.76470588 31.23529412],0
