Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.003488,8.53257,[14  8] ; [17 43],[ 8.31707317 13.68292683] ; [22.68292683 37.31707317],0
p8,1,0.003579,8.485817,[15  9] ; [17 43],[ 9.14285714 14.85714286] ; [22.85714286 37.14285714],0
a4,1,0.009819,6.667463,[ 8 16] ; [38 21],[13.30120482 10.69879518] ; [32.69879518 26.30120482],0
s7,1,0.015947,5.808669,[12 11] ; [13 41],[ 7.46753247 15.53246753] ; [17.53246753 36.46753247],0
v3,1,0.021109,5.317786,[11 13] ; [12 46],[ 6.73170732 17.26829268] ; [16.26829268 41.73170732],0
s3,1,0.021402,5.29375,[15  9] ; [21 39],[10.28571429 13.71428571] ; [25.71428571 34.28571429],0
s5,1,0.028657,4.78812,[ 9 15] ; [ 9 49],[ 5.26829268 18.73170732] ; [12.73170732 45.26829268],0
s8,1,0.028717,4.784527,[10 14] ; [11 48],[ 6.07228916 17.92771084] ; [14.92771084 44.07228916],0
n4,1,0.029472,4.739812,[20  4] ; [35 25],[15.71428571  8.28571429] ; [39.28571429 20.71428571],0
n5,1,0.050044,3.84,[18  6] ; [31 29],[14. 10.] ; [35. 25.],0
p11,1,0.053337,3.733333,[16  8] ; [26 34],[12. 12.] ; [30. 30.],0
a2,1,0.073257,3.208488,[ 4 20] ; [22 38],[ 7.42857143 16.57142857] ; [18.57142857 41.42857143],0
b4,1,0.095094,2.785956,[19  5] ; [36 24],[15.71428571  8.28571429] ; [39.28571429 20.71428571],0
n1,1,0.11673,2.460652,[3 2] ; [ 7 21],[1.51515152 3.48484848] ; [ 8.48484848 19.51515152],0
u1,1,0.123761,2.369062,[ 3 21] ; [17 43],[ 5.71428571 18.28571429] ; [14.28571429 45.71428571],0
p2,1,0.141645,2.16,[17  7] ; [32 28],[14. 10.] ; [35. 25.],0
n6,1,0.18871,1.727664,[19  5] ; [38 21],[16.48192771  7.51807229] ; [40.51807229 18.48192771],0
b5,1,0.237399,1.395975,[11 13] ; [36 24],[13.42857143 10.57142857] ; [33.57142857 26.42857143],0
d3,1,0.278092,1.176389,[19  5] ; [53  7],[20.57142857  3.42857143] ; [51.42857143  8.57142857],0
