Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000792,11.259259,[35 10] ; [22 28],[27. 18.] ; [30. 20.],1
p3,1,0.004402,8.110056,[26 22] ; [14 39],[19.00990099 28.99009901] ; [20.99009901 32.00990099],0
p6,1,0.020128,5.400801,[17 30] ; [ 8 43],[11.98979592 35.01020408] ; [13.01020408 37.98979592],0
r1,1,0.025337,5.000716,[40  8] ; [33 19],[35.04 12.96] ; [37.96 14.04],0
d4,1,0.028252,4.812601,[33 15] ; [46  7],[37.54455446 10.45544554] ; [41.45544554 11.54455446],0
p4,1,0.045328,4.00641,[29 19] ; [21 31],[24. 24.] ; [26. 26.],0
s2,1,0.06327,3.44952,[17 30] ; [29 24],[21.62 25.38] ; [24.38 28.62],0
p2,1,0.099002,2.721547,[40  8] ; [36 16],[36.48 11.52] ; [39.52 12.48],0
r4,1,0.110836,2.542255,[40  8] ; [37 16],[36.59405941 11.40594059] ; [40.40594059 12.59405941],0
p11,1,0.141021,2.166787,[38 10] ; [35 18],[34.69306931 13.30693069] ; [38.30693069 14.69306931],0
s3,1,0.207628,1.587889,[23 24] ; [32 20],[26.11111111 20.88888889] ; [28.88888889 23.11111111],0
n1,1,0.23323,1.421053,[4 4] ; [ 5 14],[2.66666667 5.33333333] ; [ 6.33333333 12.66666667],0
b5,1,0.285209,1.142099,[33 15] ; [31 22],[30.41584158 17.58415842] ; [33.58415842 19.41584158],0
b4,1,0.2947,1.098023,[24 24] ; [32 21],[26.61386139 21.38613861] ; [29.38613861 23.61386139],0
s8,1,0.307541,1.041206,[22 26] ; [19 34],[19.48514851 28.51485149] ; [21.51485149 31.48514851],0
a1,1,0.357307,0.847335,[ 1 47] ; [ 3 50],[ 1.9009901 46.0990099] ; [ 2.0990099 50.9009901],0
p1,1,0.376753,0.781272,[ 5 43] ; [ 3 50],[ 3.8019802 44.1980198] ; [ 4.1980198 48.8019802],0
v3,1,0.380596,0.768775,[15 31] ; [12 37],[13.07368421 32.92631579] ; [13.92631579 35.07368421],0
a3,1,0.431438,0.618949,[29 19] ; [36 17],[30.89108911 17.10891089] ; [34.10891089 18.89108911],0
s6,1,0.442556,0.589646,[29 19] ; [28 25],[27.08910891 20.91089109] ; [29.91089109 23.08910891],0
a7,1,0.454139,0.5603,[35 13] ; [35 18],[33.26732673 14.73267327] ; [36.73267327 16.26732673],0
v4,1,0.474178,0.512222,[45  2] ; [48  4],[44.15151515  2.84848485] ; [48.84848485  3.15151515],0
s7,1,0.507202,0.439836,[19 25] ; [19 33],[17.41666667 26.58333333] ; [20.58333333 31.41666667],0
a8,1,0.539223,0.376981,[ 3 42] ; [ 5 44],[ 3.82978723 41.17021277] ; [ 4.17021277 44.82978723],0
u1,1,0.554052,0.350107,[ 3 45] ; [ 5 48],[ 3.8019802 44.1980198] ; [ 4.1980198 48.8019802],0
u2,1,0.558017,0.34315,[16  3] ; [13  4],[15.30555556  3.69444444] ; [13.69444444  3.30555556],0
s5,1,0.589235,0.29154,[12 36] ; [10 39],[10.88659794 37.11340206] ; [11.11340206 37.88659794],0
p5,1,0.615616,0.252078,[ 4 44] ; [ 3 49],[ 3.36 44.64] ; [ 3.64 48.36],0
r2,1,0.621601,0.243624,[40  7] ; [46  6],[40.82828283  6.17171717] ; [45.17171717  6.82828283],0
n4,1,0.621856,0.243268,[25 23] ; [25 28],[23.76237624 24.23762376] ; [26.23762376 26.76237624],0
b2,1,0.643217,0.214559,[ 8 21] ; [ 6 21],[ 7.25 21.75] ; [ 6.75 20.25],0
b3,1,0.643217,0.214559,[ 8 21] ; [ 6 21],[ 7.25 21.75] ; [ 6.75 20.25],0
p9,1,0.665097,0.187391,[43  5] ; [46  7],[42.2970297  5.7029703] ; [46.7029703  6.2970297],0
d5,1,0.684131,0.165512,[37 11] ; [39 14],[36.11881188 11.88118812] ; [39.88118812 13.11881188],0
n3,1,0.701063,0.147368,[5 3] ; [14  6],[5.42857143 2.57142857] ; [13.57142857  6.42857143],0
n5,1,0.778692,0.078975,[23 25] ; [23 28],[22.3030303 25.6969697] ; [23.6969697 27.3030303],0
v1,1,0.78791,0.072375,[22 24] ; [23 28],[21.34020619 24.65979381] ; [23.65979381 27.34020619],0
d2,1,0.79076,0.070397,[16 32] ; [19 34],[16.63366337 31.36633663] ; [18.36633663 34.63366337],0
s4,1,0.828895,0.046707,[ 8 40] ; [ 8 45],[ 7.6039604 40.3960396] ; [ 8.3960396 44.6039604],0
n2,1,0.864395,0.029167,[7 1] ; [17  3],[6.85714286 1.14285714] ; [17.14285714  2.85714286],0
r3,1,0.884197,0.021214,[43  5] ; [47  6],[42.77227723  5.22772277] ; [47.22772277  5.77227723],0
a6,1,0.892929,0.018117,[32 16] ; [36 17],[32.31683168 15.68316832] ; [35.68316832 17.31683168],0
v2,1,0.903962,0.014558,[21 23] ; [24 25],[21.29032258 22.70967742] ; [23.70967742 25.29032258],0
u3,1,0.91483,0.011438,[13  5] ; [12  5],[12.85714286  5.14285714] ; [12.14285714  4.85714286],0
s1,1,0.917767,0.01066,[ 2 45] ; [ 2 50],[ 1.8989899 45.1010101] ; [ 2.1010101 49.8989899],0
b1,1,0.924554,0.008968,[24 24] ; [27 26],[24.23762376 23.76237624] ; [26.76237624 26.23762376],0
d1,1,0.924554,0.008968,[24 24] ; [27 26],[24.23762376 23.76237624] ; [26.76237624 26.23762376],0
a2,1,0.942507,0.005201,[ 7 41] ; [ 8 45],[ 7.12871287 40.87128713] ; [ 7.87128713 45.12871287],0
p12,1,0.943556,0.005013,[ 1 47] ; [ 1 52],[ 0.95049505 47.04950495] ; [ 1.04950495 51.95049505],0
a4,1,0.946745,0.004462,[16 32] ; [18 35],[16.15841584 31.84158416] ; [17.84158416 35.15841584],0
d3,1,0.958581,0.002697,[33 15] ; [36 16],[33.12 14.88] ; [35.88 16.12],0
a5,1,0.980507,0.000597,[30 18] ; [33 20],[29.94059406 18.05940594] ; [33.05940594 19.94059406],0
