Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3.8e-05,16.954364,[41 15] ; [66 94],[27.74074074 28.25925926] ; [79.25925926 80.74074074],1
p7,1,0.000139,14.514244,[41 19] ; [65 99],[28.39285714 31.60714286] ; [77.60714286 86.39285714],1
p4,1,0.000291,13.126345,[39 22] ; [ 61 104],[26.99115044 34.00884956] ; [73.00884956 91.99115044],1
s8,1,0.001664,9.887866,[36 25] ; [ 59 106],[25.64159292 35.35840708] ; [69.35840708 95.64159292],0
s2,1,0.004838,7.938918,[40 20] ; [74 89],[30.67264574 29.32735426] ; [83.32735426 79.67264574],0
u1,1,0.009856,6.660695,[20 41] ; [ 28 137],[12.95575221 48.04424779] ; [ 35.04424779 129.95575221],0
v1,1,0.011799,6.340773,[42 17] ; [83 76],[33.83027523 25.16972477] ; [91.16972477 67.83027523],0
p3,1,0.012684,6.212645,[31 30] ; [ 54 111],[22.94247788 38.05752212] ; [ 62.05752212 102.94247788],0
n4,1,0.015877,5.81645,[53  8] ; [117  47],[46.08888889 14.91111111] ; [123.91111111  40.08888889],0
p2,1,0.018151,5.581551,[52  9] ; [115  50],[45.07522124 15.92477876] ; [121.92477876  43.07522124],0
n2,1,0.022539,5.203707,[ 9 10] ; [33 10],[12.87096774  6.12903226] ; [29.12903226 13.87096774],0
u2,1,0.029183,4.7568,[12  4] ; [19 25],[8.26666667 7.73333333] ; [22.73333333 21.26666667],0
a6,1,0.031143,4.645041,[49 12] ; [108  57],[42.37610619 18.62389381] ; [114.62389381  50.37610619],0
a2,1,0.041093,4.17216,[21 40] ; [ 35 130],[15.11504425 45.88495575] ; [ 40.88495575 124.11504425],0
p11,1,0.041494,4.155709,[37 24] ; [123  42],[43.18584071 17.81415929] ; [116.81415929  48.18584071],0
p1,1,0.048835,3.881009,[ 5 56] ; [  4 161],[ 2.42920354 58.57079646] ; [  6.57079646 158.42920354],0
b2,1,0.101195,2.686602,[19 24] ; [30 70],[14.73426573 28.26573427] ; [34.26573427 65.73426573],0
b3,1,0.101195,2.686602,[19 24] ; [30 70],[14.73426573 28.26573427] ; [34.26573427 65.73426573],0
s6,1,0.103721,2.647373,[45 15] ; [104  60],[39.91071429 20.08928571] ; [109.08928571  54.91071429],0
p10,1,0.122581,2.384029,[51 10] ; [121  43],[46.63111111 14.36888889] ; [125.36888889  38.63111111],0
p9,1,0.132475,2.263263,[53  8] ; [127  36],[49.01785714 11.98214286] ; [130.98214286  32.01785714],0
d2,1,0.147971,2.093041,[36 25] ; [79 85],[31.17777778 29.82222222] ; [83.82222222 80.17777778],0
r1,1,0.15424,2.029813,[45 16] ; [135  29],[48.8 12.2] ; [131.2  32.8],0
b1,1,0.179646,1.800548,[27 34] ; [ 57 108],[22.67256637 38.32743363] ; [ 61.32743363 103.67256637],0
s1,1,0.195972,1.672137,[ 3 57] ; [  3 160],[ 1.61434978 58.38565022] ; [  4.38565022 158.61434978],0
s3,1,0.269618,1.218689,[35 25] ; [81 81],[31.35135135 28.64864865] ; [84.64864865 77.35135135],0
u3,1,0.277386,1.179854,[11  5] ; [25 22],[9.14285714 6.85714286] ; [26.85714286 20.14285714],0
d4,1,0.298775,1.079653,[49 12] ; [141  23],[51.51111111  9.48888889] ; [138.48888889  25.51111111],0
a5,1,0.315357,1.008106,[47 14] ; [116  49],[43.99557522 17.00442478] ; [119.00442478  45.99557522],0
v4,1,0.325294,0.967542,[54  7] ; [151  12],[55.82589286  5.17410714] ; [149.17410714  13.82589286],0
