Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,25.406149,[ 2 10] ; [54  9],[8.96 3.04] ; [47.04 15.96],1
r3,1,0.000559,11.906265,[7 5] ; [59  4],[10.56  1.44] ; [55.44  7.56],1
v4,1,0.008973,6.828145,[7 5] ; [55  7],[10.05405405  1.94594595] ; [51.94594595 10.05405405],0
b1,1,0.010158,6.606889,[10  2] ; [27 36],[5.92 6.08] ; [31.08 31.92],0
a5,1,0.018253,5.57166,[3 9] ; [39 24],[6.72 5.28] ; [35.28 27.72],0
p11,1,0.029768,4.722639,[4 8] ; [42 21],[7.36 4.64] ; [38.64 24.36],0
v2,1,0.033895,4.5,[ 2 10] ; [30 30],[5.33333333 6.66666667] ; [26.66666667 33.33333333],0
r1,1,0.060163,3.532883,[5 7] ; [44 19],[7.84 4.16] ; [41.16 21.84],0
d2,1,0.071828,3.240741,[ 2 10] ; [28 35],[4.8 7.2] ; [25.2 37.8],0
a3,1,0.07356,3.201741,[4 8] ; [38 24],[6.81081081 5.18918919] ; [35.18918919 26.81081081],0
s5,1,0.082755,3.009949,[ 1 11] ; [19 38],[3.47826087 8.52173913] ; [16.52173913 40.47826087],0
d1,1,0.106325,2.608011,[ 2 10] ; [26 37],[4.48 7.52] ; [23.52 39.48],0
p9,1,0.115594,2.476028,[4 8] ; [36 26],[6.48648649 5.51351351] ; [33.51351351 28.48648649],0
u3,1,0.126752,2.331838,[2 6] ; [14 11],[3.87878788 4.12121212] ; [12.12121212 12.87878788],0
d5,1,0.126913,2.329862,[5 7] ; [41 22],[7.36 4.64] ; [38.64 24.36],0
p4,1,0.137773,2.202653,[7 5] ; [22 40],[4.7027027 7.2972973] ; [24.2972973 37.7027027],0
p2,1,0.176992,1.8227,[9 3] ; [34 29],[6.88 5.12] ; [36.12 26.88],0
p7,1,0.267178,1.231176,[8 4] ; [31 32],[6.24 5.76] ; [32.76 30.24],0
s6,1,0.267696,1.228514,[4 8] ; [31 30],[5.75342466 6.24657534] ; [29.24657534 31.75342466],0
s8,1,0.325539,0.966563,[ 2 10] ; [19 43],[3.40540541 8.59459459] ; [17.59459459 44.40540541],0
p10,1,0.33816,0.917394,[4 8] ; [30 32],[5.51351351 6.48648649] ; [28.48648649 33.51351351],0
b2,1,0.377699,0.778178,[2 7] ; [14 23],[3.13043478 5.86956522] ; [12.86956522 24.13043478],0
b3,1,0.377699,0.778178,[2 7] ; [14 23],[3.13043478 5.86956522] ; [12.86956522 24.13043478],0
n1,1,0.396465,0.719022,[1 3] ; [11 12],[1.77777778 2.22222222] ; [10.22222222 12.77777778],0
n3,1,0.399765,0.709034,[2 2] ; [15  6],[2.72 1.28] ; [14.28  6.72],0
s7,1,0.438024,0.601453,[2 8] ; [19 40],[3.04347826 6.95652174] ; [17.95652174 41.04347826],0
a4,1,0.475693,0.508721,[4 8] ; [28 35],[5.12 6.88] ; [26.88 36.12],0
n6,1,0.496253,0.462939,[5 7] ; [33 30],[6.08 5.92] ; [31.92 31.08],0
n4,1,0.505918,0.442501,[6 6] ; [25 38],[4.96 7.04] ; [26.04 36.96],0
p6,1,0.534925,0.385027,[ 2 10] ; [15 45],[2.83333333 9.16666667] ; [14.16666667 45.83333333],0
a8,1,0.588545,0.292622,[ 1 10] ; [ 3 57],[ 0.61971831 10.38028169] ; [ 3.38028169 56.61971831],0
s3,1,0.597104,0.279385,[5 6] ; [33 28],[5.80555556 5.19444444] ; [32.19444444 28.80555556],0
p8,1,0.604608,0.268102,[5 7] ; [21 41],[4.21621622 7.78378378] ; [21.78378378 40.21621622],0
b5,1,0.63184,0.229574,[7 5] ; [32 31],[6.24 5.76] ; [32.76 30.24],0
v1,1,0.64985,0.206089,[4 8] ; [25 37],[4.7027027 7.2972973] ; [24.2972973 37.7027027],0
s4,1,0.666789,0.185381,[ 2 10] ; [14 49],[2.56 9.44] ; [13.44 49.56],0
b4,1,0.678921,0.171343,[8 4] ; [38 25],[7.36 4.64] ; [38.64 24.36],0
d3,1,0.723104,0.125538,[6 6] ; [28 35],[5.44 6.56] ; [28.56 34.44],0
u2,1,0.746108,0.104831,[5 3] ; [14 11],[4.60606061 3.39393939] ; [14.39393939 10.60606061],0
v3,1,0.786569,0.073315,[3 9] ; [12 44],[2.64705882 9.35294118] ; [12.35294118 43.64705882],0
d4,1,0.800625,0.063776,[9 3] ; [45 18],[8.64 3.36] ; [45.36 17.64],0
s1,1,0.800625,0.063776,[ 1 11] ; [ 4 59],[ 0.8 11.2] ; [ 4.2 58.8],0
a6,1,0.833683,0.044092,[4 8] ; [23 40],[4.32 7.68] ; [22.68 40.32],0
s2,1,0.897685,0.016534,[5 7] ; [25 38],[4.8 7.2] ; [25.2 37.8],0
a1,1,0.96296,0.002157,[ 1 11] ; [ 5 58],[ 0.96 11.04] ; [ 5.04 57.96],0
n2,1,0.963482,0.002096,[3 1] ; [17  6],[2.96296296 1.03703704] ; [17.03703704  5.96296296],0
p3,1,0.979588,0.000655,[5 7] ; [26 37],[4.96 7.04] ; [26.04 36.96],0
