Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.005661,7.655192,[18 22] ; [ 1 15],[13.57142857 26.42857143] ; [ 5.42857143 10.57142857],0
s2,1,0.006872,7.30625,[27 14] ; [ 5 13],[22.23728814 18.76271186] ; [9.76271186 8.23728814],0
p6,1,0.012003,6.310468,[18 22] ; [ 2 16],[13.79310345 26.20689655] ; [ 6.20689655 11.79310345],0
r4,1,0.026247,4.939671,[37  4] ; [12  6],[34.05084746  6.94915254] ; [14.94915254  3.05084746],0
s1,1,0.046319,3.969943,[ 2 38] ; [ 4 14],[ 4.13793103 35.86206897] ; [ 1.86206897 16.13793103],0
s8,1,0.066169,3.375582,[22 19] ; [ 5 13],[18.76271186 22.23728814] ; [8.23728814 9.76271186],0
s4,1,0.080541,3.053944,[10 30] ; [ 1 17],[ 7.5862069 32.4137931] ; [ 3.4137931 14.5862069],0
s7,1,0.081022,3.04428,[18 19] ; [ 4 13],[15.07407407 21.92592593] ; [ 6.92592593 10.07407407],0
u1,1,0.087193,2.925441,[10 31] ; [ 1 17],[ 7.6440678 33.3559322] ; [ 3.3559322 14.6440678],0
r2,1,0.10306,2.657539,[38  3] ; [14  4],[36.13559322  4.86440678] ; [15.86440678  2.13559322],0
v3,1,0.114592,2.489726,[16 23] ; [ 3 13],[13.47272727 25.52727273] ; [ 5.52727273 10.47272727],0
r1,1,0.123465,2.372809,[31 10] ; [10  8],[28.49152542 12.50847458] ; [12.50847458  5.49152542],0
n6,1,0.129851,2.294282,[34  7] ; [11  6],[31.81034483  9.18965517] ; [13.18965517  3.81034483],0
r3,1,0.134381,2.241147,[39  2] ; [15  3],[37.52542373  3.47457627] ; [16.47457627  1.52542373],0
n5,1,0.155231,2.020084,[24 17] ; [14  4],[26.40677966 14.59322034] ; [11.59322034  6.40677966],0
d2,1,0.164052,1.936475,[24 17] ; [ 7 11],[21.54237288 19.45762712] ; [9.45762712 8.54237288],0
b4,1,0.174546,1.843456,[26 15] ; [ 8 10],[23.62711864 17.37288136] ; [10.37288136  7.62711864],0
s3,1,0.223443,1.482122,[23 18] ; [ 7 11],[20.84745763 20.15254237] ; [9.15254237 8.84745763],0
d3,1,0.238939,1.386845,[25 16] ; [ 8 10],[22.93220339 18.06779661] ; [10.06779661  7.93220339],0
d1,1,0.238939,1.386845,[25 16] ; [ 8 10],[22.93220339 18.06779661] ; [10.06779661  7.93220339],0
n3,1,0.243498,1.360227,[7 4] ; [7 1],[8.10526316 2.89473684] ; [5.89473684 2.10526316],0
d5,1,0.250548,1.320248,[33  8] ; [12  6],[31.27118644  9.72881356] ; [13.72881356  4.27118644],0
a5,1,0.25754,1.281932,[31 10] ; [11  7],[29.18644068 11.81355932] ; [12.81355932  5.18644068],0
u3,1,0.314854,1.010204,[10  4] ; [4 4],[8.90909091 5.09090909] ; [5.09090909 2.90909091],0
b1,1,0.317116,1.000803,[17 24] ; [10  8],[18.76271186 22.23728814] ; [8.23728814 9.76271186],0
n1,1,0.387094,0.748052,[4 7] ; [4 3],[4.88888889 6.11111111] ; [3.11111111 3.88888889],0
p5,1,0.408884,0.682044,[ 6 34] ; [ 1 14],[ 5.09090909 34.90909091] ; [ 1.90909091 13.09090909],0
p3,1,0.432132,0.617088,[25 16] ; [9 9],[23.62711864 17.37288136] ; [10.37288136  7.62711864],0
v1,1,0.436197,0.606268,[19 19] ; [ 7 11],[17.64285714 20.35714286] ; [8.35714286 9.64285714],0
