Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.002246,9.336733,[11 16] ; [40 13],[17.2125  9.7875] ; [33.7875 19.2125],0
v2,1,0.011406,6.400981,[ 6 21] ; [26 24],[11.22077922 15.77922078] ; [20.77922078 29.22077922],0
n3,1,0.028094,4.822263,[6 9] ; [16  5],[9.16666667 5.83333333] ; [12.83333333  8.16666667],0
a7,1,0.033332,4.528653,[ 8 19] ; [29 24],[12.4875 14.5125] ; [24.5125 28.4875],0
p9,1,0.035645,4.413999,[12 13] ; [37 14],[16.11842105  8.88157895] ; [32.88157895 18.11842105],0
p2,1,0.037373,4.333333,[14 12] ; [40 12],[18.  8.] ; [36. 16.],0
r1,1,0.058349,3.583701,[11 16] ; [11 42],[ 7.425 19.575] ; [14.575 38.425],0
n5,1,0.070657,3.267701,[22  5] ; [32 20],[18.4556962  8.5443038] ; [35.5443038 16.4556962],0
p1,1,0.080902,3.046683,[ 4 23] ; [ 2 50],[ 2.05063291 24.94936709] ; [ 3.94936709 48.05063291],0
s3,1,0.083536,2.994721,[ 6 20] ; [22 29],[ 9.45454545 16.54545455] ; [18.54545455 32.45454545],0
s6,1,0.096497,2.762506,[ 8 19] ; [26 27],[11.475 15.525] ; [22.525 30.475],0
s8,1,0.097085,2.752789,[ 4 23] ; [17 36],[ 7.0875 19.9125] ; [13.9125 39.0875],0
b4,1,0.114093,2.496597,[14 13] ; [37 16],[17.2125  9.7875] ; [33.7875 19.2125],0
b1,1,0.128703,2.308076,[15 12] ; [20 33],[11.8125 15.1875] ; [23.1875 29.8125],0
v1,1,0.141563,2.160886,[ 6 21] ; [19 30],[ 8.88157895 18.11842105] ; [16.11842105 32.88157895],0
d4,1,0.172713,1.859234,[17 10] ; [41 12],[19.575  7.425] ; [38.425 14.575],0
n2,1,0.225038,1.47195,[8 7] ; [16  6],[9.72972973 5.27027027] ; [14.27027027  7.72972973],0
p12,1,0.22642,1.46321,[ 2 25] ; [ 1 51],[ 1.02531646 25.97468354] ; [ 1.97468354 50.02531646],0
s4,1,0.240518,1.377556,[ 7 20] ; [ 8 45],[ 5.0625 21.9375] ; [ 9.9375 43.0625],0
s2,1,0.265198,1.241418,[ 7 20] ; [20 32],[ 9.2278481 17.7721519] ; [17.7721519 34.2278481],0
d2,1,0.378098,0.776876,[12 14] ; [19 34],[10.20253165 15.79746835] ; [20.79746835 32.20253165],0
a5,1,0.387654,0.746287,[17 10] ; [28 25],[15.1875 11.8125] ; [29.8125 23.1875],0
p3,1,0.443009,0.588477,[ 8 18] ; [21 32],[ 9.5443038 16.4556962] ; [19.4556962 33.5443038],0
s1,1,0.480707,0.49726,[ 2 25] ; [ 2 51],[ 1.35 25.65] ; [ 2.65 50.35],0
a1,1,0.480707,0.49726,[ 2 25] ; [ 2 51],[ 1.35 25.65] ; [ 2.65 50.35],0
s5,1,0.484618,0.488453,[ 3 23] ; [ 9 42],[ 4.05194805 21.94805195] ; [ 7.94805195 43.05194805],0
p10,1,0.510478,0.433087,[15 12] ; [31 18],[16.34210526 10.65789474] ; [29.65789474 19.34210526],0
d5,1,0.536313,0.382415,[17 10] ; [37 16],[18.225  8.775] ; [35.775 17.225],0
p6,1,0.568618,0.325,[ 5 21] ; [13 39],[ 6. 20.] ; [12. 40.],0
p5,1,0.575307,0.313883,[ 3 23] ; [ 4 48],[ 2.33333333 23.66666667] ; [ 4.66666667 47.33333333],0
p4,1,0.579723,0.306683,[13 13] ; [23 30],[11.84810127 14.15189873] ; [24.15189873 28.84810127],0
d1,1,0.584834,0.298484,[10 17] ; [23 30],[11.1375 15.8625] ; [21.8625 31.1375],0
v3,1,0.648565,0.207714,[ 6 21] ; [14 38],[ 6.83544304 20.16455696] ; [13.16455696 38.83544304],0
s7,1,0.722978,0.125657,[ 9 17] ; [19 30],[ 9.70666667 16.29333333] ; [18.29333333 30.70666667],0
b2,1,0.783602,0.075421,[ 7 14] ; [ 8 19],[ 6.5625 14.4375] ; [ 8.4375 18.5625],0
b3,1,0.783602,0.075421,[ 7 14] ; [ 8 19],[ 6.5625 14.4375] ; [ 8.4375 18.5625],0
u2,1,0.788821,0.071739,[3 8] ; [ 7 15],[3.33333333 7.66666667] ; [ 6.66666667 15.33333333],0
u3,1,0.788821,0.071739,[3 8] ; [ 7 15],[3.33333333 7.66666667] ; [ 6.66666667 15.33333333],0
r2,1,0.792904,0.068928,[14 11] ; [29 20],[14.52702703 10.47297297] ; [28.47297297 20.52702703],0
d3,1,0.817173,0.053445,[15 12] ; [28 25],[14.5125 12.4875] ; [28.4875 24.5125],0
p7,1,0.817914,0.053005,[ 9 16] ; [17 34],[ 8.55263158 16.44736842] ; [17.44736842 33.55263158],0
a4,1,0.821394,0.050964,[ 9 17] ; [17 36],[ 8.55696203 17.44303797] ; [17.44303797 35.55696203],0
p8,1,0.823479,0.049762,[ 9 18] ; [19 34],[ 9.45 17.55] ; [18.55 34.45],0
v4,1,0.838806,0.04138,[19  8] ; [37 14],[19.38461538  7.61538462] ; [36.61538462 14.38461538],0
n1,1,0.849647,0.035936,[ 5 10] ; [ 8 14],[5.27027027 9.72972973] ; [ 7.72972973 14.27027027],0
a3,1,0.893448,0.01794,[16 11] ; [30 22],[15.72151899 11.27848101] ; [30.27848101 21.72151899],0
n4,1,0.916758,0.010924,[17 10] ; [34 19],[17.2125  9.7875] ; [33.7875 19.2125],0
b5,1,0.92879,0.007986,[15 12] ; [30 23],[15.1875 11.8125] ; [29.8125 23.1875],0
a6,1,0.938729,0.005909,[13 14] ; [26 27],[13.1625 13.8375] ; [25.8375 27.1625],0
a2,1,0.977614,0.000787,[ 3 24] ; [ 6 47],[ 3.0375 23.9625] ; [ 5.9625 47.0375],0
u1,1,0.977614,0.000787,[ 3 24] ; [ 6 47],[ 3.0375 23.9625] ; [ 5.9625 47.0375],0
