Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.0,32.78669,[10 23] ; [86 18],[23.12408759  9.87591241] ; [72.87591241 31.12408759],1
v4,1,0.0,25.342305,[15 19] ; [90 14],[25.86956522  8.13043478] ; [79.13043478 24.86956522],1
p11,1,1e-06,24.689769,[ 9 25] ; [77 27],[21.1884058 12.8115942] ; [64.8115942 39.1884058],1
p9,1,7e-06,20.295448,[11 20] ; [80 22],[21.21052632  9.78947368] ; [69.78947368 32.21052632],1
p2,1,2.8e-05,17.579085,[11 23] ; [74 28],[21.25 12.75] ; [63.75 38.25],1
n2,1,6.7e-05,15.905072,[ 3 12] ; [30  8],[9.33962264 5.66037736] ; [23.66037736 14.33962264],1
p10,1,0.0001,15.132482,[ 9 24] ; [66 34],[18.60902256 14.39097744] ; [56.39097744 43.60902256],1
n3,1,0.000279,13.209163,[ 5 10] ; [32  6],[10.47169811  4.52830189] ; [26.52830189 11.47169811],1
a1,1,0.000659,11.60067,[ 6 28] ; [  2 102],[ 1.97101449 32.02898551] ; [ 6.02898551 97.97101449],1
p6,1,0.004523,8.060966,[ 2 31] ; [30 68],[ 8.0610687 24.9389313] ; [23.9389313 74.0610687],0
p8,1,0.004847,7.935731,[ 5 28] ; [43 59],[11.73333333 21.26666667] ; [36.26666667 65.73333333],0
b1,1,0.005554,7.68947,[22 12] ; [39 65],[15.02898551 18.97101449] ; [45.97101449 58.02898551],0
p4,1,0.014485,5.978022,[ 7 27] ; [45 57],[13. 21.] ; [39. 63.],0
s6,1,0.015637,5.843192,[ 5 29] ; [38 65],[10.67153285 23.32846715] ; [32.32846715 70.67153285],0
a7,1,0.017539,5.641579,[13 21] ; [64 40],[18.97101449 15.02898551] ; [58.02898551 45.97101449],0
b5,1,0.022293,5.222775,[14 20] ; [66 38],[19.71014493 14.28985507] ; [60.28985507 43.71014493],0
p7,1,0.028753,4.782331,[10 24] ; [52 50],[15.5 18.5] ; [46.5 55.5],0
v2,1,0.029081,4.762792,[ 6 27] ; [40 63],[11.16176471 21.83823529] ; [34.83823529 68.16176471],0
d4,1,0.034415,4.47395,[16 18] ; [70 34],[21.1884058 12.8115942] ; [64.8115942 39.1884058],0
r2,1,0.049116,3.871394,[20 13] ; [78 22],[24.31578947  8.68421053] ; [73.68421053 26.31578947],0
s8,1,0.055296,3.673143,[ 1 33] ; [16 88],[ 4.1884058 29.8115942] ; [12.8115942 91.1884058],0
s3,1,0.071865,3.239902,[ 4 28] ; [29 74],[ 7.82222222 24.17777778] ; [25.17777778 77.82222222],0
p3,1,0.073668,3.199349,[ 7 27] ; [38 64],[11.25 22.75] ; [33.75 68.25],0
d3,1,0.082987,3.005416,[12 22] ; [54 49],[16.37956204 17.62043796] ; [49.62043796 53.37956204],0
p1,1,0.143589,2.139069,[ 6 28] ; [ 9 95],[ 3.69565217 30.30434783] ; [11.30434783 92.69565217],0
s1,1,0.14419,2.132665,[ 3 31] ; [  3 100],[ 1.48905109 32.51094891] ; [ 4.51094891 98.48905109],0
s7,1,0.184134,1.763938,[ 4 28] ; [23 75],[ 6.64615385 25.35384615] ; [20.35384615 77.64615385],0
v3,1,0.1873,1.738732,[ 6 28] ; [30 73],[ 8.93430657 25.06569343] ; [27.06569343 75.93430657],0
d5,1,0.188012,1.733131,[19 15] ; [71 33],[22.17391304 11.82608696] ; [67.82608696 36.17391304],0
a8,1,0.203115,1.619835,[ 1 32] ; [10 89],[ 2.75 30.25] ; [ 8.25 90.75],0
b4,1,0.237271,1.396735,[16 18] ; [61 43],[18.97101449 15.02898551] ; [58.02898551 45.97101449],0
d1,1,0.241112,1.374081,[ 9 25] ; [39 65],[11.82608696 22.17391304] ; [36.17391304 67.82608696],0
b2,1,0.266204,1.236205,[12 11] ; [22 35],[ 9.775 13.225] ; [24.225 32.775],0
b3,1,0.266204,1.236205,[12 11] ; [22 35],[ 9.775 13.225] ; [24.225 32.775],0
d2,1,0.326972,0.960854,[16 17] ; [40 63],[13.58823529 19.41176471] ; [42.41176471 60.58823529],0
a3,1,0.400366,0.707226,[17 17] ; [60 43],[19.10948905 14.89051095] ; [57.89051095 45.10948905],0
a6,1,0.493377,0.469154,[17 17] ; [59 45],[18.72463768 15.27536232] ; [57.27536232 46.72463768],0
p5,1,0.529112,0.396097,[ 2 31] ; [10 94],[ 2.89051095 30.10948905] ; [ 9.10948905 94.89051095],0
v1,1,0.567529,0.326834,[ 9 25] ; [32 69],[10.32592593 23.67407407] ; [30.67407407 70.32592593],0
u2,1,0.594247,0.28376,[8 9] ; [17 26],[7.08333333 9.91666667] ; [17.91666667 25.08333333],0
u3,1,0.603605,0.269593,[ 4 13] ; [13 30],[ 4.81666667 12.18333333] ; [12.18333333 30.81666667],0
n5,1,0.622834,0.241905,[24 10] ; [68 35],[22.83211679 11.16788321] ; [69.16788321 33.83211679],0
s4,1,0.625658,0.237995,[ 5 29] ; [12 92],[ 4.1884058 29.8115942] ; [12.8115942 91.1884058],0
n1,1,0.628402,0.234234,[ 5 10] ; [15 22],[5.76923077 9.23076923] ; [14.23076923 22.76923077],0
s5,1,0.637985,0.221387,[ 4 30] ; [ 9 91],[ 3.29850746 30.70149254] ; [ 9.70149254 90.29850746],0
u1,1,0.643147,0.214649,[ 1 33] ; [ 5 99],[ 1.47826087 32.52173913] ; [ 4.52173913 99.47826087],0
a5,1,0.760909,0.092591,[15 19] ; [49 55],[15.76811594 18.23188406] ; [48.23188406 55.76811594],0
a2,1,0.768782,0.086417,[ 3 31] ; [11 93],[ 3.44927536 30.55072464] ; [10.55072464 93.44927536],0
n4,1,0.779514,0.078374,[21 13] ; [67 37],[21.68115942 12.31884058] ; [66.31884058 37.68115942],0
p12,1,0.792489,0.069211,[ 1 33] ; [ 4 98],[ 1.25 32.75] ; [ 3.75 98.25],0
a4,1,0.797863,0.065594,[10 23] ; [34 70],[10.59854015 22.40145985] ; [33.40145985 70.59854015],0
