Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000341,12.829216,[53 28] ; [120 160],[38.81717452 42.18282548] ; [134.18282548 145.81717452],1
a5,1,0.022618,5.197577,[50 33] ; [208  76],[58.34877384 24.65122616] ; [199.65122616  84.34877384],0
s8,1,0.023774,5.111079,[31 52] ; [ 70 213],[22.90437158 60.09562842] ; [ 78.09562842 204.90437158],0
p4,1,0.024408,5.065401,[36 46] ; [164 119],[44.93150685 37.06849315] ; [155.06849315 127.93150685],0
v1,1,0.056256,3.644476,[33 46] ; [151 129],[40.4902507 38.5097493] ; [143.5097493 136.4902507],0
b4,1,0.058331,3.584214,[55 28] ; [155 129],[47.49318801 35.50681199] ; [162.50681199 121.49318801],0
s5,1,0.101236,2.685958,[10 69] ; [ 58 220],[15.04761905 63.95238095] ; [ 52.95238095 225.04761905],0
s7,1,0.101249,2.685758,[28 52] ; [ 69 200],[22.23495702 57.76504298] ; [ 74.76504298 194.23495702],0
d5,1,0.119116,2.428912,[60 23] ; [228  56],[65.13351499 17.86648501] ; [222.86648501  61.13351499],0
v4,1,0.129187,2.302252,[74  9] ; [267  17],[77.11989101  5.88010899] ; [263.88010899  20.11989101],0
n2,1,0.160908,1.965668,[16  3] ; [44 21],[13.57142857  5.42857143] ; [46.42857143 18.57142857],0
p10,1,0.169611,1.886381,[68 14] ; [250  32],[71.63736264 10.36263736] ; [246.36263736  35.63736264],0
u2,1,0.241535,1.371614,[13 16] ; [51 38],[15.72881356 13.27118644] ; [48.27118644 40.72881356],0
a7,1,0.261513,1.260729,[54 29] ; [203  81],[58.1226158 24.8773842] ; [198.8773842  85.1226158],0
r1,1,0.26409,1.247187,[58 24] ; [218  66],[61.83606557 20.16393443] ; [214.16393443  69.83606557],0
a4,1,0.379407,0.772621,[31 52] ; [121 162],[34.46994536 48.53005464] ; [117.53005464 165.46994536],0
p7,1,0.399484,0.709878,[53 27] ; [171 109],[49.77777778 30.22222222] ; [174.22222222 105.77777778],0
u3,1,0.420263,0.64958,[12 17] ; [44 44],[13.88034188 15.11965812] ; [42.11965812 45.88034188],0
p2,1,0.460178,0.545462,[73 10] ; [238  43],[70.91483516 12.08516484] ; [240.08516484  40.91483516],0
p12,1,0.470211,0.52148,[ 3 79] ; [ 16 266],[ 4.28021978 77.71978022] ; [ 14.71978022 267.28021978],0
n4,1,0.478996,0.501149,[64 19] ; [208  76],[61.51498638 21.48501362] ; [210.48501362  73.51498638],0
d1,1,0.493311,0.469296,[40 43] ; [149 135],[42.74386921 40.25613079] ; [146.25613079 137.74386921],0
r2,1,0.544266,0.367691,[75  6] ; [254  27],[73.6160221  7.3839779] ; [255.3839779  25.6160221],0
b1,1,0.550101,0.357137,[26 57] ; [ 99 185],[28.26975477 54.73024523] ; [ 96.73024523 187.26975477],0
