Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5.8e-05,16.158484,[36 35] ; [227  76],[49.92780749 21.07219251] ; [213.07219251  89.92780749],1
r4,1,6.6e-05,15.925115,[51 20] ; [274  31],[61.36968085  9.63031915] ; [263.63031915  41.36968085],1
n4,1,8.6e-05,15.420694,[37 34] ; [229  74],[50.4973262 20.5026738] ; [215.5026738  87.4973262],1
r3,1,0.000104,15.060306,[60 10] ; [294   9],[66.43431635  3.56568365] ; [287.56568365  15.43431635],1
p10,1,0.000761,11.334307,[43 26] ; [244  57],[53.52162162 15.47837838] ; [233.47837838  67.52162162],1
a5,1,0.000812,11.212728,[35 36] ; [214  91],[47.01861702 23.98138298] ; [201.98138298 103.01861702],1
b1,1,0.007926,7.050031,[31 40] ; [ 84 221],[21.71542553 49.28457447] ; [ 93.28457447 211.71542553],0
p9,1,0.007944,7.046152,[49 20] ; [253  46],[56.625 12.375] ; [245.375  53.625],0
r2,1,0.007979,7.038277,[58 11] ; [283  19],[63.42048518  5.57951482] ; [277.57951482  24.42048518],0
d2,1,0.010138,6.610418,[20 51] ; [136 167],[29.61497326 41.38502674] ; [126.38502674 176.61497326],0
a2,1,0.019189,5.484183,[ 6 65] ; [ 62 243],[12.84042553 58.15957447] ; [ 55.15957447 249.84042553],0
u2,1,0.01951,5.455178,[22  9] ; [46 52],[16.34108527 14.65891473] ; [51.65891473 46.34108527],0
p11,1,0.019918,5.4191,[48 23] ; [245  60],[55.32712766 15.67287234] ; [237.67287234  67.32712766],0
v4,1,0.020389,5.378273,[61  7] ; [293  11],[64.70967742  3.29032258] ; [289.29032258  14.70967742],0
d1,1,0.022829,5.181477,[28 43] ; [166 139],[36.63297872 34.36702128] ; [157.36702128 147.63297872],0
s2,1,0.033379,4.526216,[24 46] ; [146 156],[31.98924731 38.01075269] ; [138.01075269 163.98924731],0
a4,1,0.038828,4.268383,[20 51] ; [126 178],[27.64266667 43.35733333] ; [118.35733333 185.64266667],0
r1,1,0.04759,3.9244,[49 22] ; [242  61],[55.24331551 15.75668449] ; [235.75668449  67.24331551],0
a3,1,0.068053,3.329359,[40 31] ; [206  98],[46.576 24.424] ; [199.424 104.576],0
s5,1,0.085718,2.953003,[13 56] ; [ 86 210],[18.71506849 50.28493151] ; [ 80.28493151 215.71506849],0
s6,1,0.106181,2.610166,[38 33] ; [191 108],[43.94324324 27.05675676] ; [185.05675676 113.94324324],0
p8,1,0.127444,2.323367,[24 44] ; [135 162],[29.62191781 38.37808219] ; [129.37808219 167.62191781],0
b2,1,0.154165,2.030548,[ 8 27] ; [ 59 108],[11.60891089 23.39108911] ; [ 55.39108911 111.60891089],0
b3,1,0.154165,2.030548,[ 8 27] ; [ 59 108],[11.60891089 23.39108911] ; [ 55.39108911 111.60891089],0
d4,1,0.171119,1.87311,[51 19] ; [244  60],[55.21390374 14.78609626] ; [239.78609626  64.21390374],0
v3,1,0.186607,1.744206,[16 51] ; [ 96 203],[20.50273224 46.49726776] ; [ 91.49726776 207.50273224],0
v2,1,0.224223,1.477137,[29 37] ; [153 140],[33.45961003 32.54038997] ; [148.54038997 144.45961003],0
s1,1,0.249205,1.327754,[ 3 65] ; [  6 292],[ 1.67213115 66.32786885] ; [  7.32786885 290.67213115],0
s8,1,0.24931,1.327164,[21 50] ; [112 192],[25.18133333 45.81866667] ; [107.81866667 196.18133333],0
p6,1,0.27282,1.202513,[15 54] ; [ 85 216],[18.64864865 50.35135135] ; [ 81.35135135 219.64864865],0
a8,1,0.282489,1.155076,[ 7 57] ; [ 45 231],[ 9.78823529 54.21176471] ; [ 42.21176471 233.78823529],0
u1,1,0.310669,1.027828,[ 6 65] ; [ 39 266],[ 8.49734043 62.50265957] ; [ 36.50265957 268.49734043],0
p7,1,0.356053,0.851768,[34 33] ; [168 127],[37.38674033 29.61325967] ; [164.61325967 130.38674033],0
s7,1,0.360413,0.836455,[23 43] ; [122 176],[26.29120879 39.70879121] ; [118.70879121 179.29120879],0
p4,1,0.374711,0.787981,[26 45] ; [128 174],[29.31367292 41.68632708] ; [124.68632708 177.31367292],0
d5,1,0.394229,0.725858,[52 19] ; [237  67],[54.71733333 16.28266667] ; [234.28266667  69.71733333],0
v1,1,0.397657,0.715399,[29 39] ; [144 154],[32.1420765 35.8579235] ; [140.8579235 157.1420765],0
b4,1,0.438082,0.601302,[45 26] ; [178 127],[42.10904255 28.89095745] ; [180.89095745 124.10904255],0
p5,1,0.45477,0.558736,[ 2 68] ; [ 15 290],[ 3.17333333 66.82666667] ; [ 13.82666667 291.17333333],0
u3,1,0.461179,0.543032,[17 13] ; [48 50],[15.234375 14.765625] ; [49.765625 48.234375],0
s4,1,0.489843,0.47687,[13 58] ; [ 45 255],[11.09973046 59.90026954] ; [ 46.90026954 253.09973046],0
d3,1,0.511843,0.430298,[46 24] ; [212  92],[48.28877005 21.71122995] ; [209.71122995  94.28877005],0
a1,1,0.54651,0.363607,[ 1 70] ; [  8 297],[ 1.69946809 69.30053191] ; [  7.30053191 297.69946809],0
p1,1,0.58535,0.297665,[ 2 68] ; [ 13 291],[ 2.80748663 67.19251337] ; [ 12.19251337 291.80748663],0
s3,1,0.603882,0.269181,[35 34] ; [162 137],[36.9375 32.0625] ; [160.0625 138.9375],0
b5,1,0.6087,0.262073,[47 24] ; [192 113],[45.13031915 25.86968085] ; [193.86968085 111.13031915],0
n2,1,0.626503,0.236833,[18  7] ; [66 20],[18.91891892  6.08108108] ; [65.08108108 20.91891892],0
a7,1,0.628064,0.234695,[50 21] ; [222  81],[51.63636364 19.36363636] ; [220.36363636  82.63636364],0
p12,1,0.675738,0.174963,[ 2 67] ; [ 12 291],[ 2.59677419 66.40322581] ; [ 11.40322581 291.59677419],0
n1,1,0.752451,0.099483,[ 7 17] ; [28 58],[ 7.63636364 16.36363636] ; [27.36363636 58.63636364],0
a6,1,0.824901,0.04895,[48 23] ; [202 103],[47.20744681 23.79255319] ; [202.79255319 102.20744681],0
n3,1,0.96749,0.001661,[18  7] ; [63 24],[18.08035714  6.91964286] ; [62.91964286 24.08035714],0
