Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.787462,[73 46] ; [ 7 35],[59.13043478 59.86956522] ; [20.86956522 21.13043478],1
p10,1,0.000401,12.525431,[79 37] ; [15 26],[69.4522293 46.5477707] ; [24.5477707 16.4522293],1
v4,1,0.000685,11.530036,[100  18] ; [25 17],[92.1875 25.8125] ; [32.8125  9.1875],1
p9,1,0.005487,7.711535,[88 28] ; [21 19],[81.05128205 34.94871795] ; [27.94871795 12.05128205],0
v3,1,0.01398,6.040679,[33 84] ; [ 4 38],[27.22641509 89.77358491] ; [ 9.77358491 32.22641509],0
r3,1,0.034725,4.458659,[95 24] ; [26 15],[89.99375 29.00625] ; [31.00625  9.99375],0
u3,1,0.035692,4.411765,[21 30] ; [ 4 20],[17. 34.] ; [ 8. 16.],0
n6,1,0.050561,3.822772,[89 29] ; [25 17],[84.075 33.925] ; [29.925 12.075],0
d5,1,0.058751,3.57229,[81 37] ; [22 20],[75.9625 42.0375] ; [27.0375 14.9625],0
s7,1,0.066081,3.377778,[24 90] ; [ 3 35],[20.25 93.75] ; [ 6.75 31.25],0
b1,1,0.073944,3.193228,[49 70] ; [24 18],[53.95652174 65.04347826] ; [19.04347826 22.95652174],0
a3,1,0.09921,2.718195,[68 50] ; [18 24],[63.425 54.575] ; [22.575 19.425],0
n2,1,0.101192,2.686652,[30 10] ; [9 8],[27.36842105 12.63157895] ; [11.63157895  5.36842105],0
b3,1,0.170049,1.882513,[24 36] ; [ 7 21],[21.13636364 38.86363636] ; [ 9.86363636 18.13636364],0
b2,1,0.170049,1.882513,[24 36] ; [ 7 21],[21.13636364 38.86363636] ; [ 9.86363636 18.13636364],0
p12,1,0.181614,1.784368,[  3 114] ; [ 3 39],[  4.41509434 112.58490566] ; [ 1.58490566 40.41509434],0
a7,1,0.189196,1.723868,[70 48] ; [20 22],[66.375 51.625] ; [23.625 18.375],0
p2,1,0.201368,1.632422,[79 37] ; [24 18],[75.62025316 40.37974684] ; [27.37974684 14.62025316],0
s3,1,0.209328,1.576069,[41 76] ; [10 31],[37.76582278 79.23417722] ; [13.23417722 27.76582278],0
n4,1,0.225568,1.468592,[75 44] ; [22 20],[71.69565217 47.30434783] ; [25.30434783 16.69565217],0
u2,1,0.250853,1.318545,[18 32] ; [12 12],[20.27027027 29.72972973] ; [ 9.72972973 14.27027027],0
a2,1,0.292624,1.10751,[ 12 107] ; [ 2 40],[ 10.34782609 108.65217391] ; [ 3.65217391 38.34782609],0
s5,1,0.299031,1.078513,[25 90] ; [ 6 36],[22.70700637 92.29299363] ; [ 8.29299363 33.70700637],0
a4,1,0.307998,1.039241,[38 80] ; [10 32],[35.4 82.6] ; [12.6 29.4],0
p6,1,0.316669,1.002656,[26 90] ; [ 6 34],[23.79487179 92.20512821] ; [ 8.20512821 31.79487179],0
b4,1,0.358512,0.8431,[72 47] ; [22 20],[69.47826087 49.52173913] ; [24.52173913 17.47826087],0
p5,1,0.373884,0.790715,[  9 109] ; [ 5 36],[ 10.38993711 107.61006289] ; [ 3.61006289 37.38993711],0
n1,1,0.39403,0.726471,[14 26] ; [ 4 13],[12.63157895 27.36842105] ; [ 5.36842105 11.63157895],0
p3,1,0.403492,0.697894,[40 78] ; [11 30],[37.8490566 80.1509434] ; [13.1509434 27.8490566],0
p8,1,0.421428,0.646331,[42 74] ; [12 29],[39.89808917 76.10191083] ; [14.10191083 26.89808917],0
d3,1,0.430311,0.621985,[64 53] ; [20 22],[61.81132075 55.18867925] ; [22.18867925 19.81132075],0
u1,1,0.467203,0.528584,[  6 113] ; [ 1 41],[  5.17391304 113.82608696] ; [ 1.82608696 40.17391304],0
s1,1,0.471675,0.518049,[  3 116] ; [ 2 40],[  3.69565217 115.30434783] ; [ 1.30434783 40.69565217],0
d4,1,0.484581,0.488537,[78 41] ; [25 17],[76.13043478 42.86956522] ; [26.86956522 15.13043478],0
a8,1,0.506457,0.441379,[  8 107] ; [ 4 35],[  8.96103896 106.03896104] ; [ 3.03896104 35.96103896],0
a5,1,0.511492,0.431014,[58 61] ; [18 24],[56.17391304 62.82608696] ; [19.82608696 22.17391304],0
a6,1,0.541422,0.37291,[66 53] ; [21 21],[64.30434783 54.69565217] ; [22.69565217 19.30434783],0
d1,1,0.548,0.360912,[40 79] ; [12 30],[38.43478261 80.56521739] ; [13.56521739 28.43478261],0
p7,1,0.589119,0.291723,[53 64] ; [17 25],[51.50943396 65.49056604] ; [18.49056604 23.50943396],0
n5,1,0.600075,0.274883,[79 40] ; [26 16],[77.60869565 41.39130435] ; [27.39130435 14.60869565],0
s2,1,0.621412,0.243888,[33 86] ; [10 32],[31.7826087 87.2173913] ; [11.2173913 30.7826087],0
b5,1,0.632391,0.228832,[73 46] ; [24 18],[71.69565217 47.30434783] ; [25.30434783 16.69565217],0
p11,1,0.632391,0.228832,[73 46] ; [24 18],[71.69565217 47.30434783] ; [25.30434783 16.69565217],0
s6,1,0.653074,0.202046,[46 70] ; [15 27],[44.78481013 71.21518987] ; [16.21518987 25.78481013],0
