Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.001293,10.352364,[14 21] ; [36 12],[21.08433735 13.91566265] ; [28.91566265 19.08433735],0
d4,1,0.005626,7.666218,[17 17] ; [38 10],[22.80487805 11.19512195] ; [32.19512195 15.80487805],0
a6,1,0.007675,7.107814,[13 22] ; [32 16],[18.97590361 16.02409639] ; [26.02409639 21.97590361],0
a3,1,0.009053,6.812371,[11 24] ; [29 19],[16.86746988 18.13253012] ; [23.13253012 24.86746988],0
r2,1,0.027555,4.855702,[27  8] ; [45  3],[30.36144578  4.63855422] ; [41.63855422  6.36144578],0
p8,1,0.032324,4.581248,[14 21] ; [30 17],[18.7804878 16.2195122] ; [25.2195122 21.7804878],0
n6,1,0.033477,4.521199,[19 16] ; [36 11],[23.47560976 11.52439024] ; [31.52439024 15.47560976],0
d3,1,0.049239,3.867185,[15 20] ; [31 17],[19.39759036 15.60240964] ; [26.60240964 21.39759036],0
n4,1,0.063597,3.440997,[17 18] ; [33 15],[21.08433735 13.91566265] ; [28.91566265 19.08433735],0
n1,1,0.068817,3.31102,[2 8] ; [8 6],[4.16666667 5.83333333] ; [5.83333333 8.16666667],0
u1,1,0.073837,3.195582,[ 1 34] ; [ 7 41],[ 3.37349398 31.62650602] ; [ 4.62650602 43.37349398],0
b2,1,0.088842,2.895238,[ 2 19] ; [ 8 19],[ 4.375 16.625] ; [ 5.625 21.375],0
b3,1,0.088842,2.895238,[ 2 19] ; [ 8 19],[ 4.375 16.625] ; [ 5.625 21.375],0
a5,1,0.113449,2.505507,[15 20] ; [29 19],[18.55421687 16.44578313] ; [25.44578313 22.55421687],0
s5,1,0.117105,2.455621,[ 9 25] ; [ 6 41],[ 6.2962963 27.7037037] ; [ 8.7037037 38.2962963],0
s7,1,0.139649,2.181818,[ 7 25] ; [18 30],[10. 22.] ; [15. 33.],0
d1,1,0.158039,1.992894,[10 25] ; [21 27],[13.07228916 21.92771084] ; [17.92771084 30.07228916],0
n5,1,0.20607,1.598822,[17 18] ; [30 18],[19.81927711 15.18072289] ; [27.18072289 20.81927711],0
r3,1,0.223397,1.482414,[29  6] ; [44  4],[30.78313253  4.21686747] ; [42.21686747  5.78313253],0
p10,1,0.295089,1.096257,[ 9 25] ; [18 30],[11.19512195 22.80487805] ; [15.80487805 32.19512195],0
p11,1,0.31314,1.017385,[18 17] ; [30 18],[20.24096386 14.75903614] ; [27.75903614 20.24096386],0
r1,1,0.329179,0.952125,[22 13] ; [35 13],[24.03614458 10.96385542] ; [32.96385542 15.03614458],0
s6,1,0.369923,0.803922,[15 19] ; [26 22],[17. 17.] ; [24. 24.],0
s8,1,0.372834,0.794197,[10 24] ; [10 38],[ 8.29268293 25.70731707] ; [11.70731707 36.29268293],0
p2,1,0.385586,0.752815,[24 11] ; [37 11],[25.72289157  9.27710843] ; [35.27710843 12.72289157],0
p3,1,0.428512,0.626852,[13 22] ; [22 26],[14.75903614 20.24096386] ; [20.24096386 27.75903614],0
r4,1,0.447083,0.578036,[26  9] ; [39  9],[27.40963855  7.59036145] ; [37.59036145 10.40963855],0
s2,1,0.452355,0.564744,[16 19] ; [18 30],[14.3373494 20.6626506] ; [19.6626506 28.3373494],0
a8,1,0.570257,0.322252,[ 3 29] ; [ 6 38],[ 3.78947368 28.21052632] ; [ 5.21052632 38.78947368],0
s4,1,0.579136,0.307634,[ 6 29] ; [ 6 41],[ 5.12195122 29.87804878] ; [ 6.87804878 40.12195122],0
p4,1,0.61441,0.253803,[17 18] ; [26 22],[18.13253012 16.86746988] ; [24.86746988 23.13253012],0
