Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,9.5e-05,15.235587,[13 22] ; [36  9],[21.4375 13.5625] ; [27.5625 17.4375],1
d3,1,0.000723,11.428571,[10 25] ; [30 15],[17.5 17.5] ; [22.5 22.5],1
d5,1,0.001425,10.172684,[16 19] ; [36  9],[22.75 12.25] ; [29.25 15.75],0
a2,1,0.002741,8.972282,[ 1 34] ; [13 33],[ 6.04938272 28.95061728] ; [ 7.95061728 38.04938272],0
a5,1,0.008777,6.867677,[15 20] ; [33 13],[20.74074074 14.25925926] ; [27.25925926 18.74074074],0
d4,1,0.010456,6.555451,[18 16] ; [36  9],[23.24050633 10.75949367] ; [30.75949367 14.24050633],0
a3,1,0.011888,6.327471,[16 19] ; [33 12],[21.4375 13.5625] ; [27.5625 17.4375],0
d1,1,0.034023,4.493554,[ 8 27] ; [21 25],[12.5308642 22.4691358] ; [16.4691358 29.5308642],0
a4,1,0.051855,3.780438,[10 25] ; [23 23],[14.25925926 20.74074074] ; [18.74074074 27.25925926],0
r1,1,0.060775,3.516116,[18 17] ; [33 13],[22.03703704 12.96296296] ; [28.96296296 17.03703704],0
b1,1,0.06189,3.485991,[24 11] ; [22 24],[19.87654321 15.12345679] ; [26.12345679 19.87654321],0
b2,1,0.07019,3.278571,[10 11] ; [ 7 23],[ 7. 14.] ; [10. 20.],0
b3,1,0.07019,3.278571,[10 11] ; [ 7 23],[ 7. 14.] ; [10. 20.],0
u2,1,0.105552,2.619591,[12  7] ; [4 8],[9.80645161 9.19354839] ; [6.19354839 5.80645161],0
r3,1,0.127756,2.319566,[22 13] ; [36 10],[25.0617284  9.9382716] ; [32.9382716 13.0617284],0
s5,1,0.147983,2.092919,[ 7 27] ; [ 4 40],[ 4.79487179 29.20512821] ; [ 6.20512821 37.79487179],0
b5,1,0.174968,1.839858,[16 19] ; [28 18],[19.01234568 15.98765432] ; [24.98765432 21.01234568],0
n1,1,0.223504,1.481729,[9 8] ; [ 7 14],[7.15789474 9.84210526] ; [ 8.84210526 12.15789474],0
n2,1,0.231748,1.430099,[11  6] ; [10 12],[9.15384615 7.84615385] ; [11.84615385 10.15384615],0
p11,1,0.248007,1.334498,[15 20] ; [14 32],[12.5308642 22.4691358] ; [16.4691358 29.5308642],0
