Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,74.250079,[364  96] ; [74 96],[319.80952381 140.19047619] ; [118.19047619  51.80952381],1
a6,1,0.0,69.547698,[363  96] ; [76 94],[320.35135135 138.64864865] ; [118.64864865  51.35135135],1
a2,1,0.0,27.745548,[133 328] ; [ 15 155],[108.12678288 352.87321712] ; [ 39.87321712 130.12678288],1
b5,1,4e-06,21.416276,[295 166] ; [74 96],[269.58637084 191.41362916] ; [99.41362916 70.58637084],1
u1,1,2e-05,18.216691,[100 361] ; [ 12 158],[ 81.82567353 379.17432647] ; [ 30.17432647 139.82567353],1
d1,1,0.000187,13.95626,[298 163] ; [82 88],[277.62282092 183.37717908] ; [102.37717908  67.62282092],1
v4,1,0.001111,10.633523,[446  10] ; [155  13],[439.19230769  16.80769231] ; [161.80769231   6.19230769],0
u3,1,0.00153,10.042213,[86 45] ; [15 25],[77.37426901 53.62573099] ; [23.62573099 16.37426901],0
r4,1,0.002431,9.191475,[431  30] ; [146  24],[421.54833597  39.45166403] ; [155.45166403  14.54833597],0
r3,1,0.011055,6.456429,[448   9] ; [160  10],[443.15151515  13.84848485] ; [164.84848485   5.15151515],0
r1,1,0.013194,6.142975,[379  78] ; [126  44],[368.07814992  88.92185008] ; [136.92185008  33.07814992],0
d4,1,0.014122,6.022848,[392  68] ; [130  39],[381.74880763  78.25119237] ; [140.25119237  28.74880763],0
v2,1,0.017665,5.6291,[272 167] ; [83 79],[259.30948419 179.69051581] ; [95.69051581 66.30948419],0
s8,1,0.030564,4.677282,[203 254] ; [92 78],[215.01594896 241.98405104] ; [79.98405104 90.01594896],0
b1,1,0.033486,4.520767,[148 313] ; [ 70 100],[159.26782884 301.73217116] ; [ 58.73217116 111.26782884],0
s7,1,0.046087,3.97842,[215 226] ; [96 70],[225.94892916 215.05107084] ; [85.05107084 80.94892916],0
b2,1,0.050564,3.822672,[102 175] ; [55 61],[110.65903308 166.34096692] ; [46.34096692 69.65903308],0
b3,1,0.050564,3.822672,[102 175] ; [55 61],[110.65903308 166.34096692] ; [46.34096692 69.65903308],0
p4,1,0.053522,3.727543,[307 152] ; [99 70],[296.74203822 162.25796178] ; [109.25796178  59.74203822],0
b4,1,0.05792,3.595959,[280 181] ; [89 81],[269.58637084 191.41362916] ; [99.41362916 70.58637084],0
p2,1,0.061973,3.483779,[409  51] ; [140  28],[402.13375796  57.86624204] ; [146.86624204  21.13375796],0
r2,1,0.069688,3.290342,[435  21] ; [153  14],[430.38202247  25.61797753] ; [157.61797753   9.38202247],0
d5,1,0.136874,2.212752,[383  77] ; [132  37],[376.62957075  83.37042925] ; [138.37042925  30.62957075],0
s4,1,0.141606,2.160423,[ 69 385] ; [ 34 135],[ 75.05939005 378.94060995] ; [ 27.94060995 141.05939005],0
n1,1,0.151094,2.061173,[25 49] ; [19 21],[28.56140351 45.43859649] ; [15.43859649 24.56140351],0
s5,1,0.152957,2.042507,[150 298] ; [64 97],[157.42528736 290.57471264] ; [ 56.57471264 104.42528736],0
