Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,264.716705,[294  44] ; [ 70 232],[192.2375 145.7625] ; [171.7625 130.2375],1
s6,1,0.0,110.635162,[286  47] ; [142 162],[223.74254317 109.25745683] ; [204.25745683  99.74254317],1
s7,1,0.0,106.071942,[223 103] ; [ 79 214],[159.05008078 166.94991922] ; [142.94991922 150.05008078],1
s8,1,0.0,81.435806,[209 130] ; [ 80 225],[152.12888199 186.87111801] ; [136.87111801 168.12888199],1
s5,1,0.0,59.568818,[150 176] ; [ 52 250],[104.85987261 221.14012739] ; [ 97.14012739 204.85987261],1
s4,1,2e-05,18.223951,[ 82 253] ; [ 35 271],[ 61.14664587 273.85335413] ; [ 55.85335413 250.14664587],1
p6,1,0.000402,12.52186,[138 198] ; [ 84 219],[116.73239437 219.26760563] ; [105.26760563 197.73239437],1
u1,1,0.00128,10.371185,[ 75 265] ; [ 38 268],[ 59.47368421 280.52631579] ; [ 53.52631579 252.47368421],0
p12,1,0.005068,7.855175,[ 29 310] ; [ 10 295],[ 20.52950311 318.47049689] ; [ 18.47049689 286.52950311],0
d1,1,0.005122,7.836016,[218 122] ; [163 143],[200.52631579 139.47368421] ; [180.47368421 125.52631579],0
a2,1,0.005329,7.764423,[ 95 245] ; [ 57 249],[ 80. 260.] ; [ 72. 234.],0
d2,1,0.010954,6.472778,[174 165] ; [126 179],[157.91925466 181.08074534] ; [142.08074534 162.91925466],0
d4,1,0.013766,6.067922,[291  48] ; [240  66],[279.08372093  59.91627907] ; [251.91627907  54.08372093],0
a3,1,0.019664,5.441453,[256  83] ; [205 100],[242.66925466  96.33074534] ; [218.33074534  86.66925466],0
r2,1,0.021786,5.262789,[325  11] ; [279  22],[318.59340659  17.40659341] ; [285.40659341  15.59340659],0
u3,1,0.023879,5.103409,[55 27] ; [51 50],[47.49726776 34.50273224] ; [58.50273224 42.49726776],0
p4,1,0.033183,4.536288,[211 128] ; [164 140],[197.70606532 141.29393468] ; [177.29393468 126.70606532],0
v3,1,0.052328,3.765262,[137 192] ; [102 197],[125.20859873 203.79140127] ; [113.79140127 185.20859873],0
a1,1,0.054763,3.689277,[ 16 324] ; [  6 300],[ 11.57894737 328.42105263] ; [ 10.42105263 295.57894737],0
v4,1,0.067701,3.337904,[327  10] ; [286  18],[322.27925117  14.72074883] ; [290.72074883  13.27925117],0
r3,1,0.067853,3.334206,[328  10] ; [287  18],[323.281493  14.718507] ; [291.718507  13.281493],0
a4,1,0.074355,3.184172,[162 178] ; [124 181],[150.75968992 189.24031008] ; [135.24031008 169.75968992],0
a5,1,0.074937,3.17142,[262  78] ; [217  89],[252.10526316  87.89473684] ; [226.89473684  79.10526316],0
s1,1,0.087908,2.912264,[ 13 323] ; [  5 300],[  9.43525741 326.56474259] ; [  8.56474259 296.43525741],0
p7,1,0.09802,2.73746,[224 105] ; [186 115],[214.11111111 114.88888889] ; [195.88888889 105.11111111],0
r4,1,0.103781,2.646455,[312  28] ; [269  37],[305.78947368  34.21052632] ; [275.21052632  30.78947368],0
p9,1,0.106408,2.60678,[321  18] ; [279  26],[315.83850932  23.16149068] ; [284.16149068  20.83850932],0
n2,1,0.112516,2.518519,[58 14] ; [44 20],[54. 18.] ; [48. 16.],0
a8,1,0.14853,2.087288,[ 48 267] ; [ 31 246],[ 42.03547297 272.96452703] ; [ 36.96452703 240.03547297],0
v2,1,0.163147,1.944815,[196 129] ; [161 133],[187.43941842 137.56058158] ; [169.56058158 124.43941842],0
n5,1,0.168535,1.895926,[265  72] ; [225  79],[257.61310452  79.38689548] ; [232.38689548  71.61310452],0
b5,1,0.185631,1.751952,[214 126] ; [177 129],[205.78947368 134.21052632] ; [185.21052632 120.78947368],0
d3,1,0.190755,1.711779,[245  94] ; [206  99],[237.4052795 101.5947205] ; [213.5947205  91.4052795],0
n4,1,0.19348,1.690919,[267  73] ; [227  79],[260.  80.] ; [234.  72.],0
v1,1,0.198339,1.654562,[183 147] ; [151 149],[174.95238095 155.04761905] ; [159.04761905 140.95238095],0
p11,1,0.207729,1.587181,[275  65] ; [259  47],[281.05263158  58.94736842] ; [252.94736842  53.05263158],0
b1,1,0.261984,1.25824,[130 210] ; [104 202],[123.15789474 216.84210526] ; [110.84210526 195.15789474],0
d5,1,0.269707,1.218239,[283  55] ; [246  60],[277.64285714  60.35714286] ; [251.35714286  54.64285714],0
p8,1,0.286688,1.135109,[170 166] ; [165 136],[176.7032967 159.2967033] ; [158.2967033 142.7032967],0
u4,1,0.316602,1.002931,[  5 335] ; [  2 304],[  3.68421053 336.31578947] ; [  3.31578947 302.68421053],0
p3,1,0.386128,0.751101,[170 169] ; [143 163],[164.50697674 174.49302326] ; [148.49302326 157.50697674],0
r1,1,0.393866,0.726975,[274  64] ; [239  66],[269.66407465  68.33592535] ; [243.33592535  61.66407465],0
u2,1,0.535394,0.384144,[50 32] ; [57 44],[47.94535519 34.05464481] ; [59.05464481 41.94535519],0
n6,1,0.558806,0.341776,[289  46] ; [259  47],[286.39625585  48.60374415] ; [261.60374415  44.39625585],0
a6,1,0.567507,0.326871,[230 109] ; [214  92],[233.35813953 105.64186047] ; [210.64186047  95.35813953],0
p2,1,0.579129,0.307645,[292  47] ; [258  47],[289.51863354  49.48136646] ; [260.48136646  44.51863354],0
n1,1,0.642888,0.214984,[26 45] ; [21 43],[24.71851852 46.28148148] ; [22.28148148 41.71851852],0
n3,1,0.715179,0.133159,[55 18] ; [45 17],[54.07407407 18.92592593] ; [45.92592593 16.07407407],0
p1,1,0.730483,0.118669,[ 21 317] ; [ 21 284],[ 22.0777605 315.9222395] ; [ 19.9222395 285.0777605],0
b4,1,0.730548,0.118609,[199 141] ; [175 131],[196.84210526 143.15789474] ; [177.15789474 128.84210526],0
a7,1,0.748885,0.10247,[249  89] ; [222  84],[247.20186335  90.79813665] ; [223.79813665  82.20186335],0
b2,1,0.867666,0.027763,[ 75 129] ; [ 60 107],[ 74.23180593 129.76819407] ; [ 60.76819407 106.23180593],0
b3,1,0.867666,0.027763,[ 75 129] ; [ 60 107],[ 74.23180593 129.76819407] ; [ 60.76819407 106.23180593],0
