Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1e-06,23.846757,[65 24] ; [ 8 25],[53.25409836 35.74590164] ; [19.74590164 13.25409836],1
p3,1,0.00019,13.932151,[60 30] ; [10 24],[50.80645161 39.19354839] ; [19.19354839 14.80645161],1
p6,1,0.000328,12.90228,[51 39] ; [ 7 27],[42.09677419 47.90322581] ; [15.90322581 18.09677419],1
p4,1,0.000542,11.96409,[69 21] ; [15 19],[60.96774194 29.03225806] ; [23.03225806 10.96774194],1
p10,1,0.004902,7.915356,[80 10] ; [23 11],[74.75806452 15.24193548] ; [28.24193548  5.75806452],0
b1,1,0.014323,5.997851,[37 53] ; [ 6 28],[31.20967742 58.79032258] ; [11.79032258 22.20967742],0
b5,1,0.014576,5.967019,[50 40] ; [27  7],[55.88709677 34.11290323] ; [21.11290323 12.88709677],0
b4,1,0.019127,5.489908,[48 42] ; [26  8],[53.70967742 36.29032258] ; [20.29032258 13.70967742],0
a7,1,0.021553,5.281508,[57 32] ; [29  5],[62.22764228 26.77235772] ; [23.77235772 10.22764228],0
v3,1,0.025863,4.965169,[31 57] ; [ 5 29],[25.96721311 62.03278689] ; [10.03278689 23.96721311],0
r1,1,0.051887,3.779419,[71 19] ; [21 13],[66.77419355 23.22580645] ; [25.22580645  8.77419355],0
p11,1,0.051887,3.779419,[71 19] ; [21 13],[66.77419355 23.22580645] ; [25.22580645  8.77419355],0
s8,1,0.072944,3.21549,[48 42] ; [12 22],[43.5483871 46.4516129] ; [16.4516129 17.5483871],0
s6,1,0.0827,3.011033,[75 12] ; [24  9],[71.775 15.225] ; [27.225  5.775],0
d5,1,0.08683,2.932179,[75 14] ; [24 10],[71.63414634 17.36585366] ; [27.36585366  6.63414634],0
s5,1,0.100266,2.701313,[46 39] ; [11 19],[42.13043478 42.86956522] ; [14.86956522 15.13043478],0
s7,1,0.105464,2.620916,[58 30] ; [17 17],[54.09836066 33.90163934] ; [20.90163934 13.09836066],0
p5,1,0.118892,2.431855,[11 79] ; [ 1 33],[ 8.70967742 81.29032258] ; [ 3.29032258 30.70967742],0
n6,1,0.124669,2.357659,[76 13] ; [25  9],[73.08130081 15.91869919] ; [27.91869919  6.08130081],0
d1,1,0.126882,2.330239,[56 34] ; [16 18],[52.25806452 37.74193548] ; [19.74193548 14.25806452],0
a8,1,0.160752,1.967134,[ 3 81] ; [ 3 26],[ 4.46017699 79.53982301] ; [ 1.53982301 27.46017699],0
p9,1,0.168474,1.896471,[78 12] ; [26  8],[75.48387097 14.51612903] ; [28.51612903  5.48387097],0
v2,1,0.188362,1.730381,[40 48] ; [11 23],[36.78688525 51.21311475] ; [14.21311475 19.78688525],0
p1,1,0.197812,1.658452,[ 9 81] ; [ 1 33],[ 7.25806452 82.74193548] ; [ 2.74193548 31.25806452],0
n1,1,0.207196,1.590909,[ 7 14] ; [1 8],[ 5.6 15.4] ; [2.4 6.6],0
r3,1,0.241707,1.370613,[84  5] ; [30  4],[82.48780488  6.51219512] ; [31.51219512  2.48780488],0
v1,1,0.265144,1.2417,[44 45] ; [13 21],[41.24390244 47.75609756] ; [15.75609756 18.24390244],0
s1,1,0.303444,1.058998,[ 2 88] ; [ 2 32],[ 2.90322581 87.09677419] ; [ 1.09677419 32.90322581],0
n5,1,0.305846,1.048529,[69 21] ; [23 11],[66.77419355 23.22580645] ; [25.22580645  8.77419355],0
d4,1,0.354859,0.856006,[73 17] ; [25  9],[71.12903226 18.87096774] ; [26.87096774  7.12903226],0
n3,1,0.396563,0.718722,[17  4] ; [6 3],[16.1  4.9] ; [6.9 2.1],0
