Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.2e-05,19.111411,[28 27] ; [ 6 46],[17.47663551 37.52336449] ; [16.52336449 35.47663551],1
p11,1,5.2e-05,16.367381,[37 20] ; [14 39],[26.42727273 30.57272727] ; [24.57272727 28.42727273],1
s2,1,0.000443,12.342298,[23 33] ; [ 6 47],[14.89908257 41.10091743] ; [14.10091743 38.89908257],1
p2,1,0.000551,11.934157,[38 18] ; [18 34],[29.03703704 26.96296296] ; [26.96296296 25.03703704],1
n6,1,0.001474,10.11107,[39 16] ; [21 31],[30.8411215 24.1588785] ; [29.1588785 22.8411215],0
p9,1,0.002675,9.017045,[37 18] ; [19 31],[29.33333333 25.66666667] ; [26.66666667 23.33333333],0
p10,1,0.00278,8.946697,[36 19] ; [19 33],[28.27102804 26.72897196] ; [26.72897196 25.27102804],0
s6,1,0.009194,6.784691,[26 30] ; [12 41],[19.52293578 36.47706422] ; [18.47706422 34.52293578],0
v4,1,0.018009,5.595308,[37 16] ; [25 28],[31. 22.] ; [31. 22.],0
d4,1,0.020348,5.381786,[45 12] ; [31 22],[39.38181818 17.61818182] ; [36.61818182 16.38181818],0
a7,1,0.021611,5.276867,[34 23] ; [20 33],[27.98181818 29.01818182] ; [26.01818182 26.98181818],0
s8,1,0.026942,4.894541,[13 44] ; [ 4 49],[ 8.80909091 48.19090909] ; [ 8.19090909 44.80909091],0
n3,1,0.027451,4.862251,[17  8] ; [11 18],[12.96296296 12.03703704] ; [15.03703704 13.96296296],0
b1,1,0.035816,4.405826,[23 34] ; [32 21],[28.5 28.5] ; [26.5 26.5],0
p1,1,0.037251,4.3389,[ 2 54] ; [ 8 45],[ 5.13761468 50.86238532] ; [ 4.86238532 48.13761468],0
n2,1,0.038357,4.289125,[18  8] ; [12 17],[14.18181818 11.81818182] ; [15.81818182 13.18181818],0
s3,1,0.042152,4.129103,[24 30] ; [13 38],[19.02857143 34.97142857] ; [17.97142857 33.02857143],0
s7,1,0.055523,3.666322,[19 36] ; [ 9 41],[14.66666667 40.33333333] ; [13.33333333 36.66666667],0
p8,1,0.07524,3.164835,[18 38] ; [ 9 43],[14. 42.] ; [13. 39.],0
n5,1,0.090172,2.871297,[28 28] ; [35 18],[32.36697248 23.63302752] ; [30.63302752 22.36697248],0
a1,1,0.105782,2.616133,[ 4 53] ; [ 9 44],[ 6.73636364 50.26363636] ; [ 6.26363636 46.73636364],0
u1,1,0.112087,2.52455,[ 5 52] ; [ 1 52],[ 3.10909091 53.89090909] ; [ 2.89090909 50.10909091],0
s1,1,0.114916,2.485283,[ 2 55] ; [ 6 47],[ 4.14545455 52.85454545] ; [ 3.85454545 49.14545455],0
a4,1,0.117678,2.44795,[14 43] ; [20 32],[17.77981651 39.22018349] ; [16.22018349 35.77981651],0
d1,1,0.145939,2.114196,[26 31] ; [17 36],[22.28181818 34.71818182] ; [20.71818182 32.28181818],0
p4,1,0.169032,1.891505,[20 37] ; [12 40],[16.73394495 40.26605505] ; [15.26605505 36.73394495],0
p7,1,0.189701,1.719942,[20 36] ; [12 38],[16.90566038 39.09433962] ; [15.09433962 34.90566038],0
d3,1,0.260262,1.267362,[33 24] ; [25 28],[30.05454545 26.94545455] ; [27.94545455 25.05454545],0
d5,1,0.27544,1.189452,[37 20] ; [29 24],[34.2 22.8] ; [31.8 21.2],0
r1,1,0.304451,1.054594,[14 42] ; [18 35],[16.44036697 39.55963303] ; [15.55963303 37.44036697],0
r2,1,0.312427,1.020387,[27 26] ; [31 20],[29.55769231 23.44230769] ; [28.44230769 22.55769231],0
d2,1,0.32401,0.972689,[21 36] ; [24 28],[23.53211009 33.46788991] ; [21.46788991 30.53211009],0
b5,1,0.332739,0.938209,[30 27] ; [23 30],[27.46363636 29.53636364] ; [25.53636364 27.46363636],0
p5,1,0.337428,0.92018,[ 2 54] ; [ 4 47],[ 3.14018692 52.85981308] ; [ 2.85981308 48.14018692],0
b4,1,0.372219,0.796244,[37 20] ; [30 23],[34.71818182 22.28181818] ; [32.28181818 20.71818182],0
s5,1,0.388249,0.744419,[11 46] ; [ 7 46],[ 9.32727273 47.67272727] ; [ 8.67272727 44.32727273],0
v1,1,0.40521,0.69281,[19 34] ; [15 38],[17. 36.] ; [17. 36.],0
b3,1,0.432387,0.616402,[ 9 23] ; [13 22],[10.50746269 21.49253731] ; [11.49253731 23.50746269],0
b2,1,0.432387,0.616402,[ 9 23] ; [13 22],[10.50746269 21.49253731] ; [11.49253731 23.50746269],0
a8,1,0.471716,0.517952,[ 4 50] ; [ 2 47],[ 3.14563107 50.85436893] ; [ 2.85436893 46.14563107],0
n4,1,0.525613,0.402866,[31 26] ; [32 21],[32.64545455 24.35454545] ; [30.35454545 22.64545455],0
a5,1,0.567013,0.327706,[27 30] ; [28 25],[28.5 28.5] ; [26.5 26.5],0
n1,1,0.577084,0.310973,[ 8 18] ; [11 18],[ 8.98181818 17.01818182] ; [10.01818182 18.98181818],0
a6,1,0.584965,0.298277,[25 32] ; [26 27],[26.42727273 30.57272727] ; [24.57272727 28.42727273],0
u3,1,0.592408,0.286599,[ 9 16] ; [ 6 15],[ 8.15217391 16.84782609] ; [ 6.84782609 14.15217391],0
p3,1,0.62915,0.233216,[11 46] ; [12 40],[12.02752294 44.97247706] ; [10.97247706 41.02752294],0
a3,1,0.642271,0.215784,[32 24] ; [32 20],[33.18518519 22.81481481] ; [30.81481481 21.18518519],0
a2,1,0.656144,0.198242,[ 5 52] ; [ 6 47],[ 5.7 51.3] ; [ 5.3 47.7],0
s4,1,0.728595,0.120405,[10 47] ; [ 8 45],[ 9.32727273 47.67272727] ; [ 8.67272727 44.32727273],0
v3,1,0.931325,0.007427,[12 44] ; [11 42],[11.81651376 44.18348624] ; [11.18348624 41.81651376],0
u2,1,1.0,0.0,[ 8 16] ; [ 7 14],[ 8. 16.] ; [ 7. 14.],0
