Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.1e-05,18.111131,[120  13] ; [52 26],[108.41706161  24.58293839] ; [63.58293839 14.41706161],1
n5,1,0.00084,11.151669,[82 51] ; [30 49],[70.26415094 62.73584906] ; [41.73584906 37.26415094],1
r3,1,0.004012,8.278267,[116  16] ; [57 22],[108.22748815  23.77251185] ; [64.77251185 14.22748815],0
p11,1,0.007666,7.109891,[74 59] ; [29 50],[64.61792453 68.38207547] ; [38.38207547 40.61792453],0
r4,1,0.008067,7.018537,[102  31] ; [47 32],[93.47641509 39.52358491] ; [55.52358491 23.47641509],0
s8,1,0.016158,5.785627,[35 96] ; [10 69],[ 28.07142857 102.92857143] ; [16.92857143 62.07142857],0
s7,1,0.016333,5.766699,[44 84] ; [13 58],[36.66331658 91.33668342] ; [20.33668342 50.66331658],0
u1,1,0.022621,5.197401,[ 23 110] ; [ 5 74],[ 17.56603774 115.43396226] ; [10.43396226 68.56603774],0
s6,1,0.034944,4.44789,[66 65] ; [28 51],[58.63809524 72.36190476] ; [35.36190476 43.63809524],0
n4,1,0.046306,3.970421,[89 44] ; [42 37],[82.18396226 50.81603774] ; [48.81603774 30.18396226],0
d1,1,0.053244,3.736257,[67 66] ; [29 50],[60.22641509 72.77358491] ; [35.77358491 43.22641509],0
p4,1,0.055788,3.658376,[54 78] ; [22 57],[47.5450237 84.4549763] ; [28.4549763 50.5450237],0
b5,1,0.069746,3.288977,[89 44] ; [43 36],[82.81132075 50.18867925] ; [49.18867925 29.81132075],0
p2,1,0.085055,2.965561,[85 48] ; [41 38],[79.04716981 53.95283019] ; [46.95283019 32.04716981],0
s2,1,0.0861,2.945818,[46 84] ; [19 60],[40.43062201 89.56937799] ; [24.56937799 54.43062201],0
d3,1,0.09848,2.729989,[82 51] ; [39 39],[76.27014218 56.72985782] ; [44.72985782 33.27014218],0
p8,1,0.099654,2.711074,[42 89] ; [17 62],[36.8047619 94.1952381] ; [22.1952381 56.8047619],0
n2,1,0.101412,2.683201,[34 13] ; [21 17],[30.41176471 16.58823529] ; [24.58823529 13.41176471],0
b1,1,0.136117,2.221312,[60 73] ; [44 35],[65.24528302 67.75471698] ; [38.75471698 40.24528302],0
v2,1,0.148832,2.084185,[60 71] ; [27 49],[55.05797101 75.94202899] ; [31.94202899 44.05797101],0
r2,1,0.16745,1.905623,[115  16] ; [63 15],[111.56937799  19.43062201] ; [66.43062201 11.56937799],0
a1,1,0.181786,1.782959,[  7 126] ; [ 8 71],[  9.41037736 123.58962264] ; [ 5.58962264 73.41037736],0
p1,1,0.198139,1.65604,[  6 126] ; [ 7 71],[  8.17142857 123.82857143] ; [ 4.82857143 73.17142857],0
v3,1,0.213734,1.545953,[39 91] ; [16 57],[35.22167488 94.77832512] ; [19.77832512 53.22167488],0
s1,1,0.219786,1.505765,[  5 127] ; [ 6 72],[  6.91428571 125.08571429] ; [ 4.08571429 73.91428571],0
p6,1,0.220791,1.499224,[33 96] ; [14 63],[29.43203883 99.56796117] ; [17.56796117 59.43203883],0
s5,1,0.243051,1.36281,[ 25 103] ; [10 66],[ 21.96078431 106.03921569] ; [13.03921569 62.96078431],0
d4,1,0.27544,1.189454,[100  32] ; [53 24],[96.63157895 35.36842105] ; [56.36842105 20.63157895],0
u4,1,0.289795,1.120576,[  5 128] ; [ 1 78],[  3.76415094 129.23584906] ; [ 2.23584906 76.76415094],0
p7,1,0.295199,1.095758,[56 75] ; [28 51],[52.4 78.6] ; [31.6 47.4],0
u2,1,0.324127,0.972222,[21 33] ; [15 15],[23.14285714 30.85714286] ; [12.85714286 17.14285714],0
p9,1,0.330407,0.9473,[47 80] ; [24 55],[43.77184466 83.22815534] ; [27.22815534 51.77184466],0
a7,1,0.335746,0.926609,[84 48] ; [45 34],[80.7014218 51.2985782] ; [48.2985782 30.7014218],0
a6,1,0.417839,0.656385,[76 57] ; [49 29],[78.79146919 54.20853081] ; [46.20853081 31.79146919],0
d2,1,0.440737,0.594363,[66 65] ; [35 43],[63.3062201 67.6937799] ; [37.6937799 40.3062201],0
n1,1,0.540073,0.375404,[16 31] ; [15 22],[17.3452381 29.6547619] ; [13.6547619 23.3452381],0
d5,1,0.542514,0.3709,[94 39] ; [52 26],[92.02843602 40.97156398] ; [53.97156398 24.02843602],0
p12,1,0.585625,0.297229,[  2 131] ; [ 2 76],[  2.52132701 130.47867299] ; [ 1.47867299 76.52132701],0
p3,1,0.62588,0.23769,[40 93] ; [21 57],[38.45023697 94.54976303] ; [22.54976303 55.45023697],0
a2,1,0.645706,0.211357,[ 27 106] ; [14 65],[ 25.72169811 107.27830189] ; [15.27830189 63.72169811],0
b4,1,0.648168,0.208218,[80 53] ; [45 34],[78.41981132 54.58018868] ; [46.58018868 32.41981132],0
n3,1,0.648775,0.207448,[31 16] ; [22 14],[30.01204819 16.98795181] ; [22.98795181 13.01204819],0
b2,1,0.656325,0.198019,[26 58] ; [17 32],[27.15789474 56.84210526] ; [15.84210526 33.15789474],0
b3,1,0.656325,0.198019,[26 58] ; [17 32],[27.15789474 56.84210526] ; [15.84210526 33.15789474],0
v1,1,0.68821,0.16103,[48 82] ; [27 52],[46.6507177 83.3492823] ; [28.3492823 50.6507177],0
a3,1,0.693883,0.154914,[77 54] ; [48 30],[78.3492823 52.6507177] ; [46.6507177 31.3492823],0
a5,1,0.737373,0.112449,[76 57] ; [47 32],[77.16509434 55.83490566] ; [45.83490566 33.16509434],0
r1,1,0.75442,0.097854,[88 44] ; [51 28],[86.95734597 45.04265403] ; [52.04265403 26.95734597],0
a8,1,0.807551,0.059334,[ 14 103] ; [ 8 66],[ 13.47643979 103.52356021] ; [ 8.52356021 65.47643979],0
a4,1,0.833131,0.044389,[55 76] ; [32 47],[54.27142857 76.72857143] ; [32.72857143 46.27142857],0
s4,1,0.852982,0.034342,[ 21 109] ; [12 67],[ 20.52631579 109.47368421] ; [12.47368421 66.52631579],0
u3,1,0.860872,0.030717,[26 30] ; [15 16],[26.3908046 29.6091954] ; [14.6091954 16.3908046],0
s3,1,0.862695,0.02991,[53 76] ; [33 45],[53.5942029 75.4057971] ; [32.4057971 45.5942029],0
