Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.024762,5.040465,[11  6] ; [2 8],[8.18518519 8.81481481] ; [4.81481481 5.18518519],0
n2,1,0.032189,4.588426,[12  2] ; [5 6],[9.52 4.48] ; [7.48 3.52],0
v4,1,0.049706,3.851351,[28 10] ; [ 9 10],[24.66666667 13.33333333] ; [12.33333333  6.66666667],0
d1,1,0.069768,3.288462,[15 23] ; [ 3 16],[12. 26.] ; [ 6. 13.],0
b3,1,0.085886,2.949833,[10 13] ; [ 2 11],[ 7.66666667 15.33333333] ; [4.33333333 8.66666667],0
b2,1,0.085886,2.949833,[10 13] ; [ 2 11],[ 7.66666667 15.33333333] ; [4.33333333 8.66666667],0
p9,1,0.086204,2.943866,[26 12] ; [ 8 10],[23.07142857 14.92857143] ; [10.92857143  7.07142857],0
s2,1,0.101466,2.682353,[14 24] ; [ 3 16],[11.33333333 26.66666667] ; [ 5.66666667 13.33333333],0
d2,1,0.132495,2.263027,[20 18] ; [ 6 13],[17.33333333 20.66666667] ; [ 8.66666667 10.33333333],0
n1,1,0.146145,2.112029,[8 4] ; [4 7],[6.26086957 5.73913043] ; [5.73913043 5.26086957],0
p10,1,0.148673,2.085813,[20 17] ; [ 6 12],[17.49090909 19.50909091] ; [8.50909091 9.49090909],0
p1,1,0.177599,1.817602,[ 7 31] ; [ 1 18],[ 5.33333333 32.66666667] ; [ 2.66666667 16.33333333],0
b1,1,0.178073,1.813636,[21 17] ; [14  5],[23.33333333 14.66666667] ; [11.66666667  7.33333333],0
n3,1,0.201134,1.63412,[11  3] ; [6 5],[9.52 4.48] ; [7.48 3.52],0
s1,1,0.218299,1.515518,[ 1 36] ; [ 2 17],[ 1.98214286 35.01785714] ; [ 1.01785714 17.98214286],0
d3,1,0.221659,1.493599,[18 19] ; [ 6 13],[15.85714286 21.14285714] ; [ 8.14285714 10.85714286],0
s8,1,0.235372,1.408103,[ 9 29] ; [ 2 17],[ 7.33333333 30.66666667] ; [ 3.66666667 15.33333333],0
d5,1,0.255045,1.295455,[24 14] ; [ 9 10],[22. 16.] ; [11.  8.],0
a6,1,0.255045,1.295455,[24 14] ; [ 9 10],[22. 16.] ; [11.  8.],0
b4,1,0.260393,1.266667,[20 18] ; [ 7 12],[18. 20.] ; [ 9. 10.],0
s7,1,0.283679,1.149381,[12 26] ; [ 3 14],[10.36363636 27.63636364] ; [ 4.63636364 12.36363636],0
p3,1,0.2967,1.088968,[11 26] ; [ 3 15],[ 9.41818182 27.58181818] ; [ 4.58181818 13.41818182],0
p7,1,0.328458,0.954969,[14 22] ; [10  9],[15.70909091 20.29090909] ; [ 8.29090909 10.70909091],0
v3,1,0.395255,0.722713,[ 7 29] ; [ 2 17],[ 5.89090909 30.10909091] ; [ 3.10909091 15.89090909],0
a8,1,0.481115,0.496334,[ 2 35] ; [ 2 17],[ 2.64285714 34.35714286] ; [ 1.35714286 17.64285714],0
u2,1,0.515759,0.422366,[8 9] ; [6 4],[8.81481481 8.18518519] ; [5.18518519 4.81481481],0
a4,1,0.545531,0.365385,[13 25] ; [ 5 14],[12. 26.] ; [ 6. 13.],0
p2,1,0.563059,0.334435,[20 16] ; [ 9 10],[18.98181818 17.01818182] ; [10.01818182  8.98181818],0
r3,1,0.569295,0.323864,[23 15] ; [10  9],[22. 16.] ; [11.  8.],0
n4,1,0.569295,0.323864,[17 21] ; [ 7 12],[16. 22.] ; [ 8. 11.],0
n5,1,0.573618,0.316667,[21 17] ; [ 9 10],[20. 18.] ; [10.  9.],0
a3,1,0.573618,0.316667,[21 17] ; [ 9 10],[20. 18.] ; [10.  9.],0
a1,1,0.589698,0.290816,[ 6 32] ; [ 2 17],[ 5.33333333 32.66666667] ; [ 2.66666667 16.33333333],0
v2,1,0.628974,0.233455,[10 27] ; [ 6 12],[10.76363636 26.23636364] ; [ 5.23636364 12.76363636],0
p6,1,0.660549,0.192857,[10 26] ; [ 4 14],[ 9.33333333 26.66666667] ; [ 4.66666667 13.33333333],0
s3,1,0.67961,0.170565,[17 21] ; [ 7 11],[16.28571429 21.71428571] ; [ 7.71428571 10.28571429],0
a5,1,0.706854,0.141439,[18 20] ; [ 8 11],[17.33333333 20.66666667] ; [ 8.66666667 10.33333333],0
p11,1,0.706854,0.141439,[18 20] ; [ 8 11],[17.33333333 20.66666667] ; [ 8.66666667 10.33333333],0
v1,1,0.741408,0.108893,[12 25] ; [ 7 12],[12.55357143 24.44642857] ; [ 6.44642857 12.55357143],0
a2,1,0.775371,0.081429,[ 5 33] ; [ 2 17],[ 4.66666667 33.33333333] ; [ 2.33333333 16.66666667],0
p4,1,0.790146,0.07082,[13 24] ; [ 6 13],[12.55357143 24.44642857] ; [ 6.44642857 12.55357143],0
s4,1,0.823368,0.049825,[ 9 29] ; [ 4 15],[ 8.66666667 29.33333333] ; [ 4.33333333 14.66666667],0
s6,1,0.844416,0.038514,[13 25] ; [ 7 12],[13.33333333 24.66666667] ; [ 6.66666667 12.33333333],0
d4,1,0.848599,0.036445,[23 15] ; [11  8],[22.66666667 15.33333333] ; [11.33333333  7.66666667],0
a7,1,0.851389,0.035099,[19 19] ; [10  9],[19.33333333 18.66666667] ; [9.66666667 9.33333333],0
s5,1,0.933359,0.006992,[ 6 30] ; [ 3 16],[ 5.89090909 30.10909091] ; [ 3.10909091 15.89090909],0
p8,1,1.0,0.0,[ 8 28] ; [ 4 14],[ 8. 28.] ; [ 4. 14.],0
b5,1,1.0,0.0,[20 18] ; [10  9],[20. 18.] ; [10.  9.],0
