Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,5.1e-05,16.40625,[ 9 45] ; [11  5],[15.42857143 38.57142857] ; [ 4.57142857 11.42857143],1
p4,1,0.006314,7.45838,[ 9 45] ; [8 8],[13.11428571 40.88571429] ; [ 3.88571429 12.11428571],0
s1,1,0.007525,7.143133,[ 2 52] ; [ 4 12],[ 4.62857143 49.37142857] ; [ 1.37142857 14.62857143],0
b2,1,0.012911,6.181284,[20 17] ; [1 9],[16.53191489 20.46808511] ; [4.46808511 5.53191489],0
b3,1,0.012911,6.181284,[20 17] ; [1 9],[16.53191489 20.46808511] ; [4.46808511 5.53191489],0
p6,1,0.017214,5.674451,[ 6 46] ; [ 6 10],[ 9.17647059 42.82352941] ; [ 2.82352941 13.17647059],0
s2,1,0.030754,4.666667,[12 42] ; [8 8],[15.42857143 38.57142857] ; [ 4.57142857 11.42857143],0
s6,1,0.035085,4.441048,[15 39] ; [9 7],[18.51428571 35.48571429] ; [ 5.48571429 10.51428571],0
p3,1,0.042935,4.097943,[10 43] ; [7 9],[13.05797101 39.94202899] ; [ 3.94202899 12.05797101],0
u3,1,0.083265,3.0,[ 4 14] ; [5 4],[ 6. 12.] ; [3. 6.],0
a3,1,0.098123,2.735788,[36 18] ; [7 9],[33.17142857 20.82857143] ; [9.82857143 6.17142857],0
p11,1,0.124893,2.354867,[22 32] ; [10  6],[24.68571429 29.31428571] ; [7.31428571 8.68571429],0
s8,1,0.137594,2.204666,[ 8 46] ; [ 5 11],[10.02857143 43.97142857] ; [ 2.97142857 13.02857143],0
v1,1,0.150037,2.071875,[13 39] ; [7 9],[15.29411765 36.70588235] ; [ 4.70588235 11.29411765],0
v4,1,0.204172,1.612275,[31 23] ; [12  4],[33.17142857 20.82857143] ; [9.82857143 6.17142857],0
d3,1,0.204374,1.610839,[24 30] ; [10  6],[26.22857143 27.77142857] ; [7.77142857 8.22857143],0
v2,1,0.231525,1.431466,[15 35] ; [7 8],[16.92307692 33.07692308] ; [5.07692308 9.92307692],0
s3,1,0.246453,1.343297,[18 35] ; [ 3 13],[16.13043478 36.86956522] ; [ 4.86956522 11.13043478],0
b1,1,0.254891,1.296296,[29 25] ; [ 6 10],[27. 27.] ; [8. 8.],0
r2,1,0.26606,1.236946,[34 17] ; [13  3],[35.7761194 15.2238806] ; [11.2238806  4.7761194],0
d2,1,0.312761,1.018981,[27 25] ; [ 6 10],[25.23529412 26.76470588] ; [7.76470588 8.23529412],0
a7,1,0.31305,1.017762,[28 26] ; [ 6 10],[26.22857143 27.77142857] ; [7.77142857 8.22857143],0
n6,1,0.319688,0.990221,[32 22] ; [11  4],[33.65217391 20.34782609] ; [9.34782609 5.65217391],0
p10,1,0.327484,0.958822,[22 30] ; [9 7],[23.70588235 28.29411765] ; [7.29411765 8.70588235],0
u1,1,0.34347,0.897436,[ 3 51] ; [ 2 14],[ 3.85714286 50.14285714] ; [ 1.14285714 14.85714286],0
a4,1,0.348538,0.878774,[20 33] ; [ 4 12],[18.43478261 34.56521739] ; [ 5.56521739 10.43478261],0
p12,1,0.353675,0.860226,[ 1 53] ; [ 1 15],[ 1.54285714 52.45714286] ; [ 0.45714286 15.54285714],0
a1,1,0.368677,0.808119,[ 8 46] ; [ 1 15],[ 6.94285714 47.05714286] ; [ 2.05714286 13.94285714],0
r3,1,0.37297,0.793747,[34 20] ; [12  4],[35.48571429 18.51428571] ; [10.51428571  5.48571429],0
s5,1,0.377635,0.778388,[ 8 44] ; [ 4 12],[ 9.17647059 42.82352941] ; [ 2.82352941 13.17647059],0
u2,1,0.386476,0.75,[ 5 13] ; [4 5],[ 6. 12.] ; [3. 6.],0
r4,1,0.428098,0.627979,[21 33] ; [8 8],[22.37142857 31.62857143] ; [6.62857143 9.37142857],0
a6,1,0.45268,0.563932,[28 26] ; [10  6],[29.31428571 24.68571429] ; [8.68571429 7.31428571],0
n2,1,0.453889,0.560921,[15  9] ; [4 1],[15.72413793  8.27586207] ; [3.27586207 1.72413793],0
n4,1,0.510961,0.432099,[32 22] ; [8 8],[30.85714286 23.14285714] ; [9.14285714 6.85714286],0
d5,1,0.533452,0.387812,[35 19] ; [9 7],[33.94285714 20.05714286] ; [10.05714286  5.94285714],0
s4,1,0.574773,0.314762,[10 44] ; [ 2 14],[ 9.25714286 44.74285714] ; [ 2.74285714 13.25714286],0
a5,1,0.622008,0.243056,[30 24] ; [10  6],[30.85714286 23.14285714] ; [9.14285714 6.85714286],0
d4,1,0.652583,0.202659,[37 17] ; [10  6],[36.25714286 17.74285714] ; [10.74285714  5.25714286],0
p9,1,0.664852,0.187683,[24 24] ; [9 7],[24.75 23.25] ; [8.25 7.75],0
n3,1,0.683949,0.165714,[12 12] ; [2 3],[11.5862069 12.4137931] ; [2.4137931 2.5862069],0
b5,1,0.71645,0.131919,[31 23] ; [10  6],[31.62857143 22.37142857] ; [9.37142857 6.62857143],0
v3,1,0.773899,0.082529,[11 40] ; [ 4 12],[11.41791045 39.58208955] ; [ 3.58208955 12.41791045],0
s7,1,0.774318,0.082215,[12 39] ; [ 3 12],[11.59090909 39.40909091] ; [ 3.40909091 11.59090909],0
b4,1,0.830062,0.046063,[32 22] ; [9 7],[31.62857143 22.37142857] ; [9.37142857 6.62857143],0
a2,1,0.878109,0.023522,[ 6 48] ; [ 2 14],[ 6.17142857 47.82857143] ; [ 1.82857143 14.17142857],0
d1,1,0.934513,0.006752,[23 31] ; [7 9],[23.14285714 30.85714286] ; [6.85714286 9.14285714],0
n1,1,0.971216,0.001302,[ 9 14] ; [2 3],[ 9.03571429 13.96428571] ; [1.96428571 3.03571429],0
n5,1,0.973147,0.001133,[34 20] ; [10  6],[33.94285714 20.05714286] ; [10.05714286  5.94285714],0
p1,1,0.983315,0.000437,[10 44] ; [ 3 13],[10.02857143 43.97142857] ; [ 2.97142857 13.02857143],0
