Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.001491,10.089377,[37  8] ; [ 7 10],[31.93548387 13.06451613] ; [12.06451613  4.93548387],0
a3,1,0.00484,7.93819,[22 23] ; [15  2],[26.85483871 18.14516129] ; [10.14516129  6.85483871],0
r3,1,0.005983,7.555455,[44  1] ; [13  4],[41.37096774  3.62903226] ; [15.62903226  1.37096774],0
n1,1,0.012791,6.197846,[1 6] ; [5 1],[3.23076923 3.76923077] ; [2.76923077 3.23076923],0
s5,1,0.034171,4.486129,[18 25] ; [ 2 14],[14.57627119 28.42372881] ; [ 5.42372881 10.57627119],0
p10,1,0.04071,4.188043,[41  4] ; [12  5],[38.46774194  6.53225806] ; [14.53225806  2.46774194],0
r4,1,0.04071,4.188043,[41  4] ; [12  5],[38.46774194  6.53225806] ; [14.53225806  2.46774194],0
s2,1,0.045663,3.993992,[31 14] ; [ 7 10],[27.58064516 17.41935484] ; [10.41935484  6.58064516],0
p9,1,0.061255,3.503071,[42  3] ; [13  4],[39.91935484  5.08064516] ; [15.08064516  1.91935484],0
a6,1,0.097655,2.743433,[29 16] ; [ 7 10],[26.12903226 18.87096774] ; [9.87096774 7.12903226],0
s7,1,0.107167,2.595507,[36  7] ; [11  6],[33.68333333  9.31666667] ; [13.31666667  3.68333333],0
v4,1,0.124273,2.36263,[43  1] ; [15  2],[41.83606557  2.16393443] ; [16.16393443  0.83606557],0
r2,1,0.134184,2.243416,[40  4] ; [13  4],[38.2295082  5.7704918] ; [14.7704918  2.2295082],0
a4,1,0.139304,2.185635,[ 6 39] ; [ 5 12],[ 7.98387097 37.01612903] ; [ 3.01612903 13.98387097],0
v3,1,0.141844,2.157842,[13 31] ; [8 8],[15.4 28.6] ; [ 5.6 10.4],0
p8,1,0.17747,1.818682,[32 13] ; [9 8],[29.75806452 15.24193548] ; [11.24193548  5.75806452],0
n6,1,0.235555,1.407002,[37  8] ; [16  1],[38.46774194  6.53225806] ; [14.53225806  2.46774194],0
b2,1,0.272716,1.203036,[13 17] ; [8 5],[14.65116279 15.34883721] ; [6.34883721 6.65116279],0
b3,1,0.272716,1.203036,[13 17] ; [8 5],[14.65116279 15.34883721] ; [6.34883721 6.65116279],0
v1,1,0.27273,1.202962,[25 19] ; [ 7 10],[23.08196721 20.91803279] ; [8.91803279 8.08196721],0
n5,1,0.294011,1.101165,[35 10] ; [11  6],[33.38709677 11.61290323] ; [12.61290323  4.38709677],0
