Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,69.408722,[131  39] ; [ 91 163],[89.00943396 80.99056604] ; [132.99056604 121.00943396],1
p3,1,0.0,34.138306,[90 83] ; [ 63 194],[ 61.55581395 111.44418605] ; [ 91.44418605 165.55581395],1
p2,1,0.0,30.239715,[151  23] ; [161  96],[125.95823666  48.04176334] ; [186.04176334  70.95823666],1
p4,1,0.0,27.803184,[105  67] ; [ 90 166],[78.36448598 93.63551402] ; [116.63551402 139.36448598],1
p11,1,2.6e-05,17.68102,[139  35] ; [156 101],[119.09512761  54.90487239] ; [175.90487239  81.09512761],1
p6,1,2.6e-05,17.653956,[ 63 110] ; [ 47 209],[ 44.35897436 128.64102564] ; [ 65.64102564 190.35897436],1
p10,1,4.3e-05,16.753547,[138  34] ; [157  98],[118.82903981  53.17096019] ; [176.17096019  78.82903981],1
v4,1,0.000707,11.471592,[166   8] ; [217  38],[155.34265734  18.65734266] ; [227.65734266  27.34265734],1
b3,1,0.000933,10.956942,[16 77] ; [54 91],[27.35294118 65.64705882] ; [ 42.64705882 102.35294118],1
b2,1,0.000933,10.956942,[16 77] ; [54 91],[27.35294118 65.64705882] ; [ 42.64705882 102.35294118],1
p9,1,0.005371,7.74998,[136  36] ; [168  84],[123.32075472  48.67924528] ; [180.67924528  71.32075472],0
s8,1,0.007455,7.159813,[ 68 106] ; [ 69 188],[ 55.30858469 118.69141531] ; [ 81.69141531 175.30858469],0
r4,1,0.010922,6.477968,[150  24] ; [196  61],[139.68445476  34.31554524] ; [206.31554524  50.68445476],0
s6,1,0.018469,5.551152,[104  67] ; [126 130],[92.10772834 78.89227166] ; [137.89227166 118.10772834],0
r3,1,0.020862,5.3383,[161  12] ; [219  36],[153.59813084  19.40186916] ; [226.40186916  28.59813084],0
r1,1,0.03111,4.646856,[133  41] ; [171  85],[123.01395349  50.98604651] ; [180.98604651  75.01395349],0
a1,1,0.036264,4.384659,[  3 171] ; [ 15 242],[  7.26682135 166.73317865] ; [ 10.73317865 246.26682135],0
s2,1,0.056278,3.643804,[83 91] ; [ 98 157],[ 73.41258741 100.58741259] ; [107.58741259 147.41258741],0
n1,1,0.08308,3.003597,[ 7 26] ; [38 63],[11.08208955 21.91791045] ; [33.91791045 67.08208955],0
b4,1,0.083605,2.993385,[91 83] ; [156 101],[99.71693735 74.28306265] ; [147.28306265 109.71693735],0
n6,1,0.092912,2.823181,[140  34] ; [188  68],[132.7255814  41.2744186] ; [195.2744186  60.7255814],0
a8,1,0.094427,2.797242,[ 22 140] ; [ 20 219],[ 16.96758105 145.03241895] ; [ 25.03241895 213.96758105],0
s7,1,0.123883,2.367531,[71 95] ; [ 86 158],[ 63.56585366 102.43414634] ; [ 93.43414634 150.56585366],0
a4,1,0.137336,2.207563,[ 61 113] ; [108 148],[ 68.38604651 105.61395349] ; [100.61395349 155.38604651],0
