Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.031301,4.636364,[30 38] ; [18 50],[24. 44.] ; [24. 44.],0
a6,1,0.032531,4.570319,[44 25] ; [32 38],[37.72661871 31.27338129] ; [38.27338129 31.72661871],0
s8,1,0.065199,3.399925,[12 57] ; [ 5 65],[ 8.43884892 60.56115108] ; [ 8.56115108 61.43884892],0
b5,1,0.069541,3.293824,[45 24] ; [35 35],[39.71223022 29.28776978] ; [40.28776978 29.71223022],0
a7,1,0.071048,3.258632,[44 25] ; [34 36],[38.71942446 30.28057554] ; [39.28057554 30.71942446],0
s3,1,0.071819,3.240953,[21 47] ; [12 56],[16.5 51.5] ; [16.5 51.5],0
v2,1,0.165574,1.922569,[27 42] ; [19 49],[23.16788321 45.83211679] ; [22.83211679 45.16788321],0
d3,1,0.172788,1.858586,[37 32] ; [29 40],[33. 36.] ; [33. 36.],0
s4,1,0.206667,1.594624,[ 6 63] ; [11 59],[ 8.43884892 60.56115108] ; [ 8.56115108 61.43884892],0
d4,1,0.247739,1.336008,[46 23] ; [40 30],[42.69064748 26.30935252] ; [43.30935252 26.69064748],0
d1,1,0.257651,1.281334,[27 42] ; [21 49],[23.82733813 45.17266187] ; [24.17266187 45.82733813],0
a4,1,0.27309,1.201161,[25 44] ; [19 50],[22. 47.] ; [22. 47.],0
a3,1,0.302865,1.061538,[42 27] ; [36 33],[39. 30.] ; [39. 30.],0
a8,1,0.331799,0.941864,[ 7 59] ; [ 4 63],[ 5.45864662 60.54135338] ; [ 5.54135338 61.45864662],0
s5,1,0.337166,0.921178,[ 8 58] ; [ 5 64],[ 6.35555556 59.64444444] ; [ 6.64444444 62.35555556],0
b4,1,0.343272,0.898173,[41 28] ; [36 34],[38.22302158 30.77697842] ; [38.77697842 31.22302158],0
u1,1,0.41409,0.667026,[ 2 67] ; [ 4 66],[ 2.97841727 66.02158273] ; [ 3.02158273 66.97841727],0
u3,1,0.436903,0.604402,[ 9 18] ; [ 8 25],[ 7.65 19.35] ; [ 9.35 23.65],0
n1,1,0.443569,0.587031,[ 9 11] ; [11 21],[ 7.69230769 12.30769231] ; [12.30769231 19.69230769],0
s7,1,0.488615,0.479574,[15 50] ; [12 54],[13.39694656 51.60305344] ; [13.60305344 52.39694656],0
n4,1,0.519971,0.413951,[46 23] ; [43 27],[44.17985612 24.82014388] ; [44.82014388 25.17985612],0
d2,1,0.532538,0.389547,[26 42] ; [30 39],[27.79562044 40.20437956] ; [28.20437956 40.79562044],0
p5,1,0.545699,0.365079,[ 7 62] ; [ 5 64],[ 6. 63.] ; [ 6. 63.],0
n5,1,0.585912,0.296774,[48 21] ; [45 24],[46.5 22.5] ; [46.5 22.5],0
p12,1,0.66067,0.192711,[ 3 66] ; [ 2 66],[ 2.51824818 66.48175182] ; [ 2.48175182 65.51824818],0
u2,1,0.693012,0.155844,[12 15] ; [13 20],[11.25 15.75] ; [13.75 19.25],0
v1,1,0.797492,0.065841,[22 47] ; [20 47],[21.30882353 47.69117647] ; [20.69117647 46.30882353],0
a5,1,0.802978,0.062248,[33 36] ; [32 38],[32.26618705 36.73381295] ; [32.73381295 37.26618705],0
p1,1,0.807327,0.059476,[ 7 62] ; [ 8 62],[ 7.44604317 61.55395683] ; [ 7.55395683 62.44604317],0
b2,1,0.847507,0.03698,[17 22] ; [17 24],[16.575 22.425] ; [17.425 23.575],0
b3,1,0.847507,0.03698,[17 22] ; [17 24],[16.575 22.425] ; [17.425 23.575],0
a2,1,0.977354,0.000806,[ 7 62] ; [ 7 63],[ 6.94964029 62.05035971] ; [ 7.05035971 62.94964029],0
