Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-06,22.734502,[ 4 46] ; [16 12],[12.82051282 37.17948718] ; [ 7.17948718 20.82051282],1
s3,1,0.000578,11.845001,[10 37] ; [17 11],[16.92 30.08] ; [10.08 17.92],1
p6,1,0.001777,9.766641,[ 5 44] ; [11 16],[10.31578947 38.68421053] ; [ 5.68421053 21.31578947],0
a5,1,0.001838,9.704429,[21 29] ; [22  6],[27.56410256 22.43589744] ; [15.43589744 12.56410256],0
a3,1,0.002398,9.216826,[21 28] ; [22  6],[27.36363636 21.63636364] ; [15.63636364 12.36363636],0
n5,1,0.015613,5.845912,[29 20] ; [24  4],[33.72727273 15.27272727] ; [19.27272727  8.72727273],0
s2,1,0.075722,3.154412,[13 36] ; [13 15],[16.54545455 32.45454545] ; [ 9.45454545 18.54545455],0
p4,1,0.082774,3.009576,[18 31] ; [16 12],[21.63636364 27.36363636] ; [12.36363636 15.63636364],0
b3,1,0.099677,2.710701,[ 5 21] ; [ 9 13],[ 7.58333333 18.41666667] ; [ 6.41666667 15.58333333],0
b2,1,0.099677,2.710701,[ 5 21] ; [ 9 13],[ 7.58333333 18.41666667] ; [ 6.41666667 15.58333333],0
p5,1,0.111723,2.529674,[ 3 45] ; [ 5 23],[ 5.05263158 42.94736842] ; [ 2.94736842 25.05263158],0
b4,1,0.117002,2.457,[34 16] ; [14 14],[30.76923077 19.23076923] ; [17.23076923 10.76923077],0
n2,1,0.123077,2.377717,[11  9] ; [12  3],[13.14285714  6.85714286] ; [9.85714286 5.14285714],0
s4,1,0.127861,2.31828,[ 7 42] ; [ 8 20],[ 9.54545455 39.45454545] ; [ 5.45454545 22.54545455],0
n4,1,0.133252,2.2542,[29 21] ; [21  7],[32.05128205 17.94871795] ; [17.94871795 10.05128205],0
d4,1,0.160807,1.966624,[33 16] ; [23  5],[35.63636364 13.36363636] ; [20.36363636  7.63636364],0
p3,1,0.165174,1.926203,[15 34] ; [13 15],[17.81818182 31.18181818] ; [10.18181818 17.81818182],0
p9,1,0.194248,1.685103,[29 20] ; [20  7],[31.59210526 17.40789474] ; [17.40789474  9.59210526],0
p12,1,0.241959,1.369146,[ 1 49] ; [ 2 25],[ 1.94805195 48.05194805] ; [ 1.05194805 25.94805195],0
p11,1,0.242673,1.365,[31 19] ; [21  7],[33.33333333 16.66666667] ; [18.66666667  9.33333333],0
p7,1,0.277655,1.178532,[14 32] ; [12 16],[16.16216216 29.83783784] ; [ 9.83783784 18.16216216],0
u3,1,0.30859,1.036702,[ 8 20] ; [3 3],[ 9.05882353 18.94117647] ; [1.94117647 4.05882353],0
