Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6.6e-05,15.922827,[67 58] ; [37  5],[77.84431138 47.15568862] ; [26.15568862 15.84431138],1
p4,1,0.001892,9.651522,[53 76] ; [30 14],[61.89017341 67.10982659] ; [21.10982659 22.89017341],0
p8,1,0.002168,9.40157,[53 75] ; [30 14],[61.76744186 66.23255814] ; [21.23255814 22.76744186],0
b1,1,0.003239,8.667447,[36 93] ; [23 21],[43.99421965 85.00578035] ; [15.00578035 28.99421965],0
s4,1,0.004325,8.14206,[ 25 104] ; [18 26],[32.06358382 96.93641618] ; [10.93641618 33.06358382],0
s2,1,0.005893,7.58283,[48 80] ; [27 17],[55.81395349 72.18604651] ; [19.18604651 24.81395349],0
p12,1,0.018248,5.572159,[  2 127] ; [ 4 40],[  4.47398844 124.52601156] ; [ 1.52601156 42.47398844],0
n1,1,0.021974,5.247812,[ 7 38] ; [ 8 11],[10.546875 34.453125] ; [ 4.453125 14.546875],0
p1,1,0.029659,4.728925,[  4 125] ; [ 5 38],[  6.75 122.25] ; [ 2.25 40.75],0
r1,1,0.073853,3.195243,[94 34] ; [26 18],[89.30232558 38.69767442] ; [30.69767442 13.30232558],0
s7,1,0.085731,2.952762,[36 88] ; [19 25],[40.5952381 83.4047619] ; [14.4047619 29.5952381],0
u2,1,0.094857,2.789961,[26 26] ; [15  6],[29.20547945 22.79452055] ; [11.79452055  9.20547945],0
b4,1,0.096847,2.756713,[80 49] ; [21 23],[75.31213873 53.68786127] ; [25.68786127 18.31213873],0
p3,1,0.107247,2.594332,[44 85] ; [21 23],[48.46820809 80.53179191] ; [16.53179191 27.46820809],0
a4,1,0.112274,2.521921,[31 98] ; [16 28],[35.04624277 93.95375723] ; [11.95375723 32.04624277],0
s5,1,0.126304,2.337352,[33 95] ; [16 26],[36.89411765 91.10588235] ; [12.10588235 29.89411765],0
b5,1,0.149823,2.074051,[72 57] ; [30 14],[76.05780347 52.94219653] ; [25.94219653 18.05780347],0
