Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.004038,8.266667,[22 40] ; [38 24],[30. 32.] ; [30. 32.],0
b5,1,0.005087,7.848101,[32 30] ; [47 15],[39.5 22.5] ; [39.5 22.5],0
d5,1,0.010794,6.498952,[48 14] ; [58  4],[53.  9.] ; [53.  9.],0
d4,1,0.021243,5.306769,[50 11] ; [59  3],[54.05691057  6.94308943] ; [54.94308943  7.05691057],0
v4,1,0.0282,4.815789,[54  7] ; [60  1],[57.  4.] ; [57.  4.],0
u1,1,0.031729,4.613095,[ 9 53] ; [19 43],[14. 48.] ; [14. 48.],0
s2,1,0.038446,4.285193,[37 25] ; [47 14],[42.34146341 19.65853659] ; [41.65853659 19.34146341],0
a2,1,0.081745,3.029864,[15 47] ; [24 38],[19.5 42.5] ; [19.5 42.5],0
v2,1,0.083172,3.001793,[27 34] ; [36 24],[31.76033058 29.23966942] ; [31.23966942 28.76033058],0
a5,1,0.093434,2.814184,[43 19] ; [51 11],[47. 15.] ; [47. 15.],0
p3,1,0.100485,2.697824,[21 41] ; [30 32],[25.5 36.5] ; [25.5 36.5],0
p12,1,0.114283,2.493966,[ 3 59] ; [ 8 54],[ 5.5 56.5] ; [ 5.5 56.5],0
u3,1,0.128872,2.306043,[9 7] ; [10  2],[10.85714286  5.14285714] ; [8.14285714 3.85714286],0
v3,1,0.140395,2.17362,[14 45] ; [22 39],[17.7 41.3] ; [18.3 42.7],0
n2,1,0.143389,2.141204,[14  7] ; [14  2],[15.89189189  5.10810811] ; [12.10810811  3.89189189],0
a4,1,0.149912,2.073145,[29 33] ; [37 25],[33. 29.] ; [33. 29.],0
p9,1,0.171779,1.867347,[46 15] ; [52  9],[49. 12.] ; [49. 12.],0
p2,1,0.21818,1.516304,[43 19] ; [49 13],[46. 16.] ; [46. 16.],0
p5,1,0.224372,1.47619,[ 4 58] ; [ 8 54],[ 6. 56.] ; [ 6. 56.],0
a6,1,0.254915,1.296167,[38 24] ; [44 18],[41. 21.] ; [41. 21.],0
p7,1,0.267099,1.231588,[24 36] ; [31 31],[27.04918033 32.95081967] ; [27.95081967 34.04918033],0
d2,1,0.269361,1.22,[33 28] ; [39 22],[36. 25.] ; [36. 25.],0
r3,1,0.275577,1.188772,[54  6] ; [59  3],[55.57377049  4.42622951] ; [57.42622951  4.57377049],0
r4,1,0.283937,1.148148,[52 10] ; [56  6],[54.  8.] ; [54.  8.],0
s4,1,0.288908,1.124703,[20 40] ; [15 46],[17.3553719 42.6446281] ; [17.6446281 43.3553719],0
n6,1,0.307186,1.042735,[54  7] ; [50 11],[52.  9.] ; [52.  9.],0
d3,1,0.326424,0.963032,[41 21] ; [46 16],[43.5 18.5] ; [43.5 18.5],0
a8,1,0.340356,0.909091,[ 4 51] ; [ 7 48],[ 5.5 49.5] ; [ 5.5 49.5],0
s3,1,0.343523,0.897238,[38 24] ; [41 18],[40.47933884 21.52066116] ; [38.52066116 20.47933884],0
d1,1,0.358387,0.843537,[35 27] ; [40 22],[37.5 24.5] ; [37.5 24.5],0
r1,1,0.376515,0.782051,[46 15] ; [50 11],[48. 13.] ; [48. 13.],0
a3,1,0.390272,0.738095,[46 16] ; [50 12],[48. 14.] ; [48. 14.],0
u2,1,0.391153,0.735354,[7 7] ; [8 4],[8.07692308 5.92307692] ; [6.92307692 5.07692308],0
a1,1,0.402594,0.700565,[ 4 58] ; [ 2 60],[ 3. 59.] ; [ 3. 59.],0
b2,1,0.478695,0.501834,[13 25] ; [16 22],[14.5 23.5] ; [14.5 23.5],0
b3,1,0.478695,0.501834,[13 25] ; [16 22],[14.5 23.5] ; [14.5 23.5],0
p10,1,0.512937,0.42807,[46 15] ; [49 12],[47.5 13.5] ; [47.5 13.5],0
a7,1,0.523736,0.406531,[39 22] ; [43 19],[40.66666667 20.33333333] ; [41.33333333 20.66666667],0
p1,1,0.570362,0.322078,[ 8 54] ; [ 6 56],[ 7. 55.] ; [ 7. 55.],0
b1,1,0.581589,0.303673,[26 36] ; [23 39],[24.5 37.5] ; [24.5 37.5],0
n4,1,0.627173,0.235914,[43 19] ; [44 16],[44.21311475 17.78688525] ; [42.78688525 17.21311475],0
p4,1,0.649188,0.206926,[33 28] ; [31 31],[31.7398374 29.2601626] ; [32.2601626 29.7398374],0
n5,1,0.695796,0.152882,[41 20] ; [43 18],[42. 19.] ; [42. 19.],0
r2,1,0.697056,0.151553,[57  4] ; [58  3],[57.5  3.5] ; [57.5  3.5],0
n1,1,0.708959,0.139319,[10 10] ; [7 9],[ 9.44444444 10.55555556] ; [7.55555556 8.44444444],0
n3,1,0.73173,0.117529,[14  6] ; [11  6],[13.51351351  6.48648649] ; [11.48648649  5.51351351],0
s1,1,0.747518,0.103628,[ 4 58] ; [ 3 56],[ 3.58677686 58.41322314] ; [ 3.41322314 55.58677686],0
p6,1,0.797402,0.0659,[17 45] ; [18 43],[17.64227642 44.35772358] ; [17.35772358 43.64227642],0
s6,1,0.803121,0.062155,[53  9] ; [52 10],[52.5  9.5] ; [52.5  9.5],0
b4,1,0.850341,0.035601,[40 22] ; [41 21],[40.5 21.5] ; [40.5 21.5],0
s7,1,0.850841,0.035361,[36 23] ; [35 24],[35.5 23.5] ; [35.5 23.5],0
p11,1,0.851846,0.03488,[40 22] ; [39 23],[39.5 22.5] ; [39.5 22.5],0
u4,1,1.0,0.0,[ 1 61] ; [ 1 61],[ 1. 61.] ; [ 1. 61.],0
