Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,77.959049,[130   3] ; [60 61],[99.48818898 33.51181102] ; [90.51181102 30.48818898],1
d2,1,0.0,73.145695,[93 40] ; [ 20 101],[59.16929134 73.83070866] ; [53.83070866 67.16929134],1
d4,1,0.0,64.543964,[131   1] ; [71 50],[105.39130435  26.60869565] ; [96.60869565 24.39130435],1
d3,1,0.0,63.51741,[121  12] ; [54 67],[91.63385827 41.36614173] ; [83.36614173 37.63385827],1
a5,1,0.0,28.227636,[106  28] ; [57 64],[85.65490196 48.34509804] ; [77.34509804 43.65490196],1
a2,1,0.0,26.93625,[44 90] ; [  8 113],[ 27.3254902 106.6745098] ; [24.6745098 96.3254902],1
a4,1,0.0,26.189092,[76 58] ; [30 90],[55.92125984 78.07874016] ; [50.07874016 69.92125984],1
u1,1,1.3e-05,18.974613,[ 29 105] ; [  4 117],[ 17.34117647 116.65882353] ; [ 15.65882353 105.34117647],1
a3,1,0.00022,13.649155,[104  30] ; [67 53],[90.21259843 43.78740157] ; [80.78740157 39.21259843],1
a6,1,0.000929,10.963452,[97 36] ; [64 57],[84.30314961 48.69685039] ; [76.69685039 44.30314961],1
v2,1,0.002408,9.209408,[75 50] ; [46 68],[63.28451883 61.71548117] ; [57.71548117 56.28451883],0
s7,1,0.004975,7.888504,[86 46] ; [54 60],[75.12195122 56.87804878] ; [64.87804878 49.12195122],0
r1,1,0.008093,7.012789,[116  18] ; [88 32],[107.62204724  26.37795276] ; [96.37795276 23.62204724],0
a7,1,0.009586,6.71025,[104  30] ; [76 45],[94.58823529 39.41176471] ; [85.41176471 35.58823529],0
s8,1,0.022619,5.197525,[74 59] ; [50 71],[64.92913386 68.07086614] ; [59.07086614 61.92913386],0
v3,1,0.027679,4.84796,[49 78] ; [30 88],[40.95102041 86.04897959] ; [38.04897959 79.95102041],0
b2,1,0.029269,4.751734,[31 46] ; [15 50],[24.94366197 52.05633803] ; [21.05633803 43.94366197],0
b3,1,0.029269,4.751734,[31 46] ; [15 50],[24.94366197 52.05633803] ; [21.05633803 43.94366197],0
s2,1,0.03945,4.241396,[107  27] ; [83 38],[99.84313725 34.15686275] ; [90.15686275 30.84313725],0
n2,1,0.050194,3.834972,[28 11] ; [34  4],[31.4025974  7.5974026] ; [30.5974026  7.4025974],0
n4,1,0.051522,3.791216,[102  32] ; [78 42],[94.96062992 39.03937008] ; [85.03937008 34.96062992],0
s6,1,0.06893,3.308314,[110  22] ; [88 31],[104.12749004  27.87250996] ; [93.87250996 25.12749004],0
s5,1,0.085539,2.956377,[51 74] ; [36 83],[44.56967213 80.43032787] ; [42.43032787 76.56967213],0
n6,1,0.085921,2.949175,[110  24] ; [87 32],[104.33992095  29.66007905] ; [92.66007905 26.33992095],0
r2,1,0.087888,2.912643,[128   3] ; [111   8],[125.236   5.764] ; [113.764   5.236],0
p6,1,0.091837,2.841873,[41 91] ; [26 94],[35.0952381 96.9047619] ; [31.9047619 88.0952381],0
n5,1,0.116124,2.468832,[102  32] ; [80 39],[96.39525692 37.60474308] ; [85.60474308 33.39525692],0
p5,1,0.117431,2.451252,[  9 124] ; [  3 115],[  6.35856574 126.64143426] ; [  5.64143426 112.35856574],0
b5,1,0.121138,2.402551,[88 46] ; [68 53],[81.97647059 52.02352941] ; [74.02352941 46.97647059],0
u2,1,0.133506,2.251261,[19 11] ; [24 28],[15.73170732 14.26829268] ; [27.26829268 24.73170732],0
r3,1,0.183356,1.770212,[129   5] ; [110   9],[126.58498024   7.41501976] ; [112.41501976   6.58498024],0
b4,1,0.231517,1.431516,[83 51] ; [66 55],[78.29803922 55.70196078] ; [70.70196078 50.29803922],0
p7,1,0.234486,1.413444,[65 60] ; [68 46],[69.56066946 55.43933054] ; [63.43933054 50.56066946],0
p10,1,0.246913,1.340687,[106  27] ; [86 31],[102.144  30.856] ; [89.856 27.144],0
p4,1,0.299341,1.077128,[55 78] ; [42 78],[50.99209486 82.00790514] ; [46.00790514 73.99209486],0
u3,1,0.315935,1.005701,[19 11] ; [27 25],[16.82926829 13.17073171] ; [29.17073171 22.82926829],0
p12,1,0.36637,0.815939,[  9 124] ; [  5 115],[  7.35968379 125.64031621] ; [  6.64031621 113.35968379],0
a8,1,0.395278,0.722643,[ 19 103] ; [22 89],[ 21.46781116 100.53218884] ; [19.53218884 91.46781116],0
n1,1,0.396102,0.720128,[17 21] ; [13 24],[15.2 22.8] ; [14.8 22.2],0
p1,1,0.401965,0.702442,[  4 130] ; [  6 113],[  5.29644269 128.70355731] ; [  4.70355731 114.29644269],0
s1,1,0.44192,0.591293,[  6 125] ; [  8 109],[  7.39516129 123.60483871] ; [  6.60483871 110.39516129],0
n3,1,0.529998,0.394395,[27 12] ; [28  9],[28.22368421 10.77631579] ; [26.77631579 10.22368421],0
p9,1,0.530871,0.392723,[109  24] ; [93 25],[107.03585657  25.96414343] ; [94.96414343 23.03585657],0
v1,1,0.591795,0.28755,[66 65] ; [54 61],[63.90243902 67.09756098] ; [56.09756098 58.90243902],0
a1,1,0.681029,0.16897,[  7 127] ; [  5 116],[  6.30588235 127.69411765] ; [  5.69411765 115.30588235],0
p11,1,0.714018,0.134297,[98 36] ; [86 35],[96.69019608 37.30980392] ; [87.30980392 33.69019608],0
u4,1,0.736138,0.11355,[  3 131] ; [  2 119],[  2.62745098 131.37254902] ; [  2.37254902 118.62745098],0
r4,1,0.749174,0.102226,[117  17] ; [104  17],[116.13333333  17.86666667] ; [104.86666667  16.13333333],0
p2,1,0.763922,0.090201,[104  30] ; [95 25],[104.98425197  29.01574803] ; [94.01574803 25.98425197],0
p8,1,0.824614,0.049113,[48 83] ; [42 77],[47.16 83.84] ; [42.84 76.16],0
b1,1,0.841749,0.039863,[47 87] ; [41 80],[46.24313725 87.75686275] ; [41.75686275 79.24313725],0
s4,1,0.982489,0.000482,[ 28 103] ; [26 95],[ 28.07142857 102.92857143] ; [25.92857143 95.07142857],0
v4,1,0.991483,0.000114,[125   8] ; [110   7],[125.02   7.98] ; [109.98   7.02],0
