Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.003454,8.550385,[ 6 26] ; [14 11],[11.22807018 20.77192982] ; [ 8.77192982 16.22807018],0
d3,1,0.007247,7.210809,[10 23] ; [17  9],[15.10169492 17.89830508] ; [11.89830508 14.10169492],0
a5,1,0.012173,6.285556,[12 21] ; [18  8],[16.77966102 16.22033898] ; [13.22033898 12.77966102],0
u3,1,0.016624,5.735614,[ 2 15] ; [5 4],[ 4.57692308 12.42307692] ; [2.42307692 6.57692308],0
d5,1,0.033033,4.544044,[15 18] ; [19  7],[19.01694915 13.98305085] ; [14.98305085 11.01694915],0
n1,1,0.041824,4.1423,[ 6 13] ; [10  5],[ 8.94117647 10.05882353] ; [7.05882353 7.94117647],0
d1,1,0.077531,3.115917,[ 8 25] ; [12 14],[11.18644068 21.81355932] ; [ 8.81355932 17.18644068],0
a3,1,0.091551,2.846892,[16 17] ; [17  7],[19.10526316 13.89473684] ; [13.89473684 10.10526316],0
a6,1,0.102556,2.665343,[12 21] ; [15 11],[15.10169492 17.89830508] ; [11.89830508 14.10169492],0
p5,1,0.11654,2.463214,[ 2 30] ; [ 5 20],[ 3.92982456 28.07017544] ; [ 3.07017544 21.92982456],0
p2,1,0.119378,2.425469,[15 17] ; [ 7 19],[12.13793103 19.86206897] ; [ 9.86206897 16.13793103],0
s7,1,0.141645,2.16,[ 3 27] ; [ 6 18],[ 5. 25.] ; [ 4. 20.],0
n5,1,0.146382,2.109551,[26  7] ; [16 10],[23.49152542  9.50847458] ; [18.50847458  7.49152542],0
v1,1,0.150086,2.071376,[ 6 27] ; [ 9 17],[ 8.38983051 24.61016949] ; [ 6.61016949 19.38983051],0
d4,1,0.194254,1.685053,[16 17] ; [17  9],[18.45762712 14.54237288] ; [14.54237288 11.45762712],0
s1,1,0.19684,1.665665,[ 1 32] ; [ 3 23],[ 2.23728814 30.76271186] ; [ 1.76271186 24.23728814],0
n6,1,0.239348,1.384429,[17 16] ; [ 9 16],[14.79310345 18.20689655] ; [11.20689655 13.79310345],0
s3,1,0.272464,1.204301,[ 3 28] ; [ 5 20],[ 4.42857143 26.57142857] ; [ 3.57142857 21.42857143],0
v4,1,0.284468,1.145618,[17 16] ; [17  9],[19.01694915 13.98305085] ; [14.98305085 11.01694915],0
p3,1,0.287417,1.131681,[ 6 26] ; [ 8 18],[ 7.72413793 24.27586207] ; [ 6.27586207 19.72413793],0
b5,1,0.292641,1.107433,[12 21] ; [13 13],[13.98305085 19.01694915] ; [11.01694915 14.98305085],0
r1,1,0.292641,1.107433,[12 21] ; [13 13],[13.98305085 19.01694915] ; [11.01694915 14.98305085],0
n2,1,0.300115,1.073684,[ 8 11] ; [9 6],[9.5 9.5] ; [7.5 7.5],0
p8,1,0.30486,1.052814,[ 7 26] ; [ 8 16],[ 8.68421053 24.31578947] ; [ 6.31578947 17.68421053],0
s6,1,0.374561,0.788476,[ 6 27] ; [ 7 18],[ 7.39655172 25.60344828] ; [ 5.60344828 19.39655172],0
p11,1,0.387804,0.745816,[11 22] ; [ 6 20],[ 9.50847458 23.49152542] ; [ 7.49152542 18.50847458],0
b4,1,0.400099,0.708029,[18 15] ; [17  9],[19.57627119 13.42372881] ; [15.42372881 10.57627119],0
n4,1,0.447246,0.577622,[21 12] ; [14 12],[19.57627119 13.42372881] ; [15.42372881 10.57627119],0
a1,1,0.450813,0.568607,[ 4 29] ; [ 5 21],[ 5.03389831 27.96610169] ; [ 3.96610169 22.03389831],0
r4,1,0.457962,0.550872,[ 3 30] ; [ 4 22],[ 3.91525424 29.08474576] ; [ 3.08474576 22.91525424],0
r2,1,0.531542,0.391443,[19 12] ; [18  8],[20.12280702 10.87719298] ; [16.87719298  9.12280702],0
p9,1,0.551387,0.354839,[12 18] ; [12 13],[13.09090909 16.90909091] ; [10.90909091 14.09090909],0
b2,1,0.622461,0.242424,[ 9 13] ; [ 6 12],[ 8.25 13.75] ; [ 6.75 11.25],0
b3,1,0.622461,0.242424,[ 9 13] ; [ 6 12],[ 8.25 13.75] ; [ 6.75 11.25],0
n3,1,0.652605,0.202632,[ 7 11] ; [7 8],[ 7.63636364 10.36363636] ; [6.36363636 8.63636364],0
d2,1,0.672407,0.1788,[13 19] ; [12 14],[13.79310345 18.20689655] ; [11.20689655 14.79310345],0
p10,1,0.684238,0.165394,[14 18] ; [10 16],[13.24137931 18.75862069] ; [10.75862069 15.24137931],0
v3,1,0.685799,0.163671,[ 6 26] ; [ 6 20],[ 6.62068966 25.37931034] ; [ 5.37931034 20.62068966],0
s4,1,0.687351,0.161968,[ 5 28] ; [ 3 23],[ 4.47457627 28.52542373] ; [ 3.52542373 22.47457627],0
v2,1,0.694668,0.154078,[ 6 25] ; [ 4 22],[ 5.43859649 25.56140351] ; [ 4.56140351 21.43859649],0
u2,1,0.69574,0.152941,[ 7 10] ; [3 6],[ 6.53846154 10.46153846] ; [3.46153846 5.53846154],0
p12,1,0.700683,0.147762,[ 2 31] ; [ 1 25],[ 1.6779661 31.3220339] ; [ 1.3220339 24.6779661],0
s5,1,0.716228,0.132136,[ 4 29] ; [ 4 22],[ 4.47457627 28.52542373] ; [ 3.52542373 22.47457627],0
s8,1,0.71865,0.12979,[ 3 30] ; [ 3 22],[ 3.4137931 29.5862069] ; [ 2.5862069 22.4137931],0
p7,1,0.810243,0.057654,[ 9 22] ; [ 8 17],[ 9.41071429 21.58928571] ; [ 7.58928571 17.41071429],0
p6,1,0.82037,0.05156,[ 3 29] ; [ 2 24],[ 2.75862069 29.24137931] ; [ 2.24137931 23.75862069],0
p4,1,0.867891,0.027668,[ 8 24] ; [ 7 19],[ 8.27586207 23.72413793] ; [ 6.72413793 19.27586207],0
b1,1,0.889258,0.019389,[21 12] ; [17  9],[21.25423729 11.74576271] ; [16.74576271  9.25423729],0
p1,1,0.94521,0.004723,[ 4 29] ; [ 3 23],[ 3.91525424 29.08474576] ; [ 3.08474576 22.91525424],0
