Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-05,19.542403,[105   7] ; [30 15],[96.30573248 15.69426752] ; [38.69426752  6.30573248],1
p8,1,5.7e-05,16.194233,[56 55] ; [ 7 38],[44.82692308 66.17307692] ; [18.17307692 26.82692308],1
p9,1,0.000118,14.830129,[85 26] ; [19 24],[74.96103896 36.03896104] ; [29.03896104 13.96103896],1
p10,1,0.000144,14.444844,[80 32] ; [17 27],[69.64102564 42.35897436] ; [27.35897436 16.64102564],1
p7,1,0.000623,11.707275,[64 45] ; [12 31],[54.5 54.5] ; [21.5 21.5],1
r3,1,0.001074,10.694727,[100  11] ; [31 14],[93.21153846 17.78846154] ; [37.78846154  7.21153846],0
s1,1,0.002985,8.816705,[  3 108] ; [ 7 38],[  7.11538462 103.88461538] ; [ 2.88461538 42.11538462],0
p4,1,0.003337,8.613183,[57 55] ; [11 33],[48.82051282 63.17948718] ; [19.17948718 24.82051282],0
s3,1,0.00378,8.386572,[65 46] ; [14 29],[56.94155844 54.05844156] ; [22.05844156 20.94155844],0
d5,1,0.005533,7.696392,[69 42] ; [17 28],[61.19230769 49.80769231] ; [24.80769231 20.19230769],0
s6,1,0.008029,7.027027,[63 48] ; [15 30],[55.5 55.5] ; [22.5 22.5],0
a7,1,0.010183,6.602608,[74 37] ; [20 25],[66.88461538 44.11538462] ; [27.11538462 17.88461538],0
s5,1,0.011168,6.4384,[32 78] ; [ 4 38],[26.05263158 83.94736842] ; [ 9.94736842 32.05263158],0
s7,1,0.017536,5.641892,[43 66] ; [ 8 34],[36.81456954 72.18543046] ; [14.18543046 27.81456954],0
p11,1,0.024504,5.058614,[74 38] ; [21 24],[67.77070064 44.22929936] ; [27.22929936 17.77070064],0
d3,1,0.024507,5.058405,[61 49] ; [16 29],[54.64516129 55.35483871] ; [22.35483871 22.64516129],0
p3,1,0.032961,4.547822,[45 67] ; [10 35],[39.23566879 72.76433121] ; [15.76433121 29.23566879],0
n6,1,0.033119,4.539605,[84 28] ; [26 19],[78.47133758 33.52866242] ; [31.52866242 13.47133758],0
s4,1,0.034905,4.449805,[26 84] ; [ 4 41],[21.29032258 88.70967742] ; [ 8.70967742 36.29032258],0
s2,1,0.043632,4.070732,[52 60] ; [13 32],[46.36942675 65.63057325] ; [18.63057325 26.36942675],0
a6,1,0.045863,3.986614,[57 55] ; [15 30],[51.36305732 60.63694268] ; [20.63694268 24.36305732],0
p6,1,0.057095,3.619814,[34 76] ; [ 7 37],[29.28571429 80.71428571] ; [11.71428571 32.28571429],0
s8,1,0.10879,2.571704,[31 81] ; [ 7 38],[27.10828025 84.89171975] ; [10.89171975 34.10828025],0
a1,1,0.115271,2.480423,[  2 110] ; [ 3 42],[  3.56687898 108.43312102] ; [ 1.43312102 43.56687898],0
a4,1,0.12757,2.321831,[18 94] ; [ 3 41],[15.07692308 96.92307692] ; [ 5.92307692 38.07692308],0
a8,1,0.183457,1.769392,[15 87] ; [ 3 41],[12.57534247 89.42465753] ; [ 5.42465753 38.57534247],0
