Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,28.755805,[97  5] ; [36 22],[84.7875 17.2125] ; [48.2125  9.7875],1
n6,1,1e-05,19.525043,[82 21] ; [27 32],[69.30246914 33.69753086] ; [39.69753086 19.30246914],1
p9,1,6.3e-05,16.000513,[78 24] ; [24 30],[66.69230769 35.30769231] ; [35.30769231 18.69230769],1
b1,1,0.000125,14.715585,[28 75] ; [34 25],[39.41975309 63.58024691] ; [22.58024691 36.41975309],1
r4,1,0.000137,14.54523,[82 21] ; [30 29],[71.20987654 31.79012346] ; [40.79012346 18.20987654],1
p10,1,0.000377,12.641003,[70 31] ; [22 33],[59.56410256 41.43589744] ; [32.43589744 22.56410256],1
p7,1,0.003205,8.687072,[53 46] ; [17 41],[44.14012739 54.85987261] ; [25.85987261 32.14012739],0
v4,1,0.006374,7.441306,[91 11] ; [42 16],[84.7875 17.2125] ; [48.2125  9.7875],0
p2,1,0.014998,5.916658,[73 29] ; [31 28],[65.88819876 36.11180124] ; [38.11180124 20.88819876],0
n4,1,0.022937,5.173256,[61 42] ; [24 35],[54.04320988 48.95679012] ; [30.95679012 28.04320988],0
v2,1,0.028087,4.822718,[45 50] ; [16 39],[38.63333333 56.36666667] ; [22.36666667 32.63333333],0
d3,1,0.055948,3.653604,[56 47] ; [22 35],[50.2125 52.7875] ; [27.7875 29.2125],0
a8,1,0.058529,3.578598,[13 85] ; [ 2 52],[ 9.67105263 88.32894737] ; [ 5.32894737 48.67105263],0
a4,1,0.06938,3.297624,[20 83] ; [ 5 53],[15.99378882 87.00621118] ; [ 9.00621118 48.99378882],0
s3,1,0.078435,3.097032,[56 46] ; [23 34],[50.67924528 51.32075472] ; [28.32075472 28.67924528],0
r2,1,0.095045,2.786779,[91 11] ; [47 12],[87.42857143 14.57142857] ; [50.57142857  8.42857143],0
s6,1,0.111504,2.532773,[52 50] ; [22 36],[47.175 54.825] ; [26.825 31.175],0
p8,1,0.114705,2.488168,[33 69] ; [12 46],[28.6875 73.3125] ; [16.3125 41.6875],0
b3,1,0.129857,2.294213,[13 41] ; [13 20],[16.13793103 37.86206897] ; [ 9.86206897 23.13793103],0
b2,1,0.129857,2.294213,[13 41] ; [13 20],[16.13793103 37.86206897] ; [ 9.86206897 23.13793103],0
n3,1,0.158188,1.991465,[21  7] ; [16 12],[18.5  9.5] ; [18.5  9.5],0
n2,1,0.158188,1.991465,[21  7] ; [16 12],[18.5  9.5] ; [18.5  9.5],0
s1,1,0.214913,1.53802,[ 4 98] ; [ 5 53],[ 5.7375 96.2625] ; [ 3.2625 54.7375],0
a3,1,0.232576,1.425039,[48 55] ; [21 36],[44.41875 58.58125] ; [24.58125 32.41875],0
r1,1,0.252676,1.30845,[63 39] ; [31 28],[59.55279503 42.44720497] ; [34.44720497 24.55279503],0
d2,1,0.27042,1.214613,[20 82] ; [16 43],[22.80745342 79.19254658] ; [13.19254658 45.80745342],0
a7,1,0.308799,1.035804,[68 34] ; [34 24],[65.025 36.975] ; [36.975 21.025],0
b5,1,0.312886,1.018453,[58 45] ; [38 21],[61.03703704 41.96296296] ; [34.96296296 24.03703704],0
s8,1,0.335687,0.926836,[26 77] ; [11 48],[23.52469136 79.47530864] ; [13.47530864 45.52469136],0
s5,1,0.381031,0.767374,[21 78] ; [ 9 49],[18.91719745 80.08280255] ; [11.08280255 46.91719745],0
v1,1,0.390645,0.736932,[36 64] ; [17 41],[33.5443038 66.4556962] ; [19.4556962 38.5443038],0
u3,1,0.403203,0.698753,[28 27] ; [16 22],[26.02150538 28.97849462] ; [17.97849462 20.02150538],0
v3,1,0.426501,0.632331,[27 74] ; [12 45],[24.93037975 76.06962025] ; [14.06962025 42.93037975],0
p12,1,0.448291,0.57497,[ 4 99] ; [ 1 57],[ 3.19875776 99.80124224] ; [ 1.80124224 56.19875776],0
a1,1,0.481154,0.496247,[  3 100] ; [ 3 56],[ 3.81481481 99.18518519] ; [ 2.18518519 56.81481481],0
b4,1,0.514897,0.424103,[61 42] ; [38 21],[62.94444444 40.05555556] ; [36.05555556 22.94444444],0
u2,1,0.607528,0.26379,[29 26] ; [17 19],[27.8021978 27.1978022] ; [18.1978022 17.8021978],0
s2,1,0.669037,0.182731,[38 64] ; [20 39],[36.74534161 65.25465839] ; [21.25465839 37.74534161],0
p3,1,0.685823,0.163644,[15 88] ; [10 49],[15.89506173 87.10493827] ; [ 9.10493827 49.89506173],0
n5,1,0.70708,0.141211,[59 44] ; [32 27],[57.85802469 45.14197531] ; [33.14197531 25.85802469],0
p1,1,0.720555,0.127961,[ 7 94] ; [ 5 54],[ 7.575 93.425] ; [ 4.425 54.575],0
d4,1,0.738722,0.111253,[66 36] ; [36 22],[65.025 36.975] ; [36.975 21.025],0
p6,1,0.738926,0.111073,[17 82] ; [11 46],[17.76923077 81.23076923] ; [10.23076923 46.76923077],0
s7,1,0.744332,0.106356,[27 75] ; [13 41],[26.15384615 75.84615385] ; [13.84615385 40.15384615],0
a6,1,0.755356,0.097085,[48 55] ; [26 33],[47.04938272 55.95061728] ; [26.95061728 32.04938272],0
n1,1,0.777761,0.079659,[ 9 19] ; [10 18],[ 9.5 18.5] ; [ 9.5 18.5],0
u1,1,0.872801,0.025633,[ 4 99] ; [ 2 57],[ 3.81481481 99.18518519] ; [ 2.18518519 56.81481481],0
s4,1,0.887269,0.020096,[20 83] ; [12 47],[20.34567901 82.65432099] ; [11.65432099 47.34567901],0
d1,1,0.900099,0.015759,[27 76] ; [16 43],[27.33950617 75.66049383] ; [15.66049383 43.33950617],0
