Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.024718,5.043525,[2 3] ; [ 5 57],[0.52238806 4.47761194] ; [ 6.47761194 55.52238806],0
a8,1,0.034919,4.449153,[2 2] ; [ 7 52],[0.57142857 3.42857143] ; [ 8.42857143 50.57142857],0
a4,1,0.082285,3.01919,[3 2] ; [15 47],[1.34328358 3.65671642] ; [16.65671642 45.34328358],0
u1,1,0.168689,1.89456,[1 4] ; [ 3 59],[0.29850746 4.70149254] ; [ 3.70149254 58.29850746],0
v4,1,0.179936,1.798156,[4 1] ; [57  3],[4.69230769 0.30769231] ; [56.30769231  3.69230769],0
p3,1,0.196566,1.667709,[3 1] ; [26 36],[1.75757576 2.24242424] ; [27.24242424 34.75757576],0
b4,1,0.220712,1.499734,[1 4] ; [30 32],[2.31343284 2.68656716] ; [28.68656716 33.31343284],0
b5,1,0.274681,1.193221,[4 1] ; [34 28],[2.8358209 2.1641791] ; [35.1641791 26.8358209],0
a7,1,0.336074,0.925352,[4 1] ; [36 26],[2.98507463 2.01492537] ; [37.01492537 24.98507463],0
p4,1,0.336074,0.925352,[4 1] ; [36 26],[2.98507463 2.01492537] ; [37.01492537 24.98507463],0
p6,1,0.350479,0.87172,[3 2] ; [24 38],[2.01492537 2.98507463] ; [24.98507463 37.01492537],0
b1,1,0.390797,0.736462,[3 2] ; [25 37],[2.08955224 2.91044776] ; [25.91044776 36.08955224],0
v3,1,0.443084,0.588281,[1 4] ; [23 39],[1.79104478 3.20895522] ; [22.20895522 39.79104478],0
a6,1,0.443084,0.588281,[4 1] ; [39 23],[3.20895522 1.79104478] ; [39.79104478 22.20895522],0
s5,1,0.543272,0.36951,[1 3] ; [25 37],[1.57575758 2.42424242] ; [24.42424242 37.57575758],0
s3,1,0.555082,0.34829,[4 1] ; [41 20],[3.40909091 1.59090909] ; [41.59090909 19.40909091],0
b2,1,0.633751,0.227008,[1 4] ; [13 30],[1.45833333 3.54166667] ; [12.54166667 30.45833333],0
b3,1,0.633751,0.227008,[1 4] ; [13 30],[1.45833333 3.54166667] ; [12.54166667 30.45833333],0
p11,1,0.66644,0.185795,[4 1] ; [44 18],[3.58208955 1.41791045] ; [44.41791045 17.58208955],0
v1,1,0.692931,0.155931,[3 2] ; [31 30],[2.57575758 2.42424242] ; [31.42424242 29.57575758],0
s4,1,0.718818,0.129628,[1 4] ; [17 45],[1.34328358 3.65671642] ; [16.65671642 45.34328358],0
p7,1,0.722882,0.125748,[3 2] ; [42 20],[3.35820896 1.64179104] ; [41.64179104 20.35820896],0
p5,1,0.740621,0.109581,[1 4] ; [ 9 53],[0.74626866 4.25373134] ; [ 9.25373134 52.74626866],0
r1,1,0.759427,0.093779,[4 1] ; [45 16],[3.71212121 1.28787879] ; [45.28787879 15.71212121],0
p8,1,0.770101,0.085406,[3 2] ; [33 29],[2.68656716 2.31343284] ; [33.31343284 28.68656716],0
s6,1,0.796356,0.066598,[3 1] ; [49 12],[3.2 0.8] ; [48.8 12.2],0
v2,1,0.798885,0.064918,[2 3] ; [28 33],[2.27272727 2.72727273] ; [27.72727273 33.27272727],0
p1,1,0.822155,0.050524,[1 4] ; [10 52],[0.82089552 4.17910448] ; [10.17910448 51.82089552],0
s8,1,0.89726,0.016673,[3 2] ; [39 23],[3.13432836 1.86567164] ; [38.86567164 23.13432836],0
p9,1,0.8992,0.016046,[4 1] ; [51 11],[4.10447761 0.89552239] ; [50.89552239 11.10447761],0
n5,1,0.912692,0.012022,[4 1] ; [50 11],[4.09090909 0.90909091] ; [49.90909091 11.09090909],0
