Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,23.310326,[90  2] ; [6 4],[86.58823529  5.41176471] ; [9.41176471 0.58823529],1
r3,1,5e-06,20.81963,[88  4] ; [6 5],[83.96116505  8.03883495] ; [10.03883495  0.96116505],1
p10,1,2.6e-05,17.691764,[79 11] ; [4 7],[73.96039604 16.03960396] ; [9.03960396 1.96039604],1
r1,1,0.000518,12.048338,[77 14] ; [5 7],[72.44660194 18.55339806] ; [9.55339806 2.44660194],1
p8,1,0.001138,10.588093,[53 38] ; [ 1 11],[47.70873786 43.29126214] ; [6.29126214 5.70873786],0
r2,1,0.001311,10.326337,[89  3] ; [8 3],[86.6407767  5.3592233] ; [10.3592233  0.6407767],0
p7,1,0.008487,6.927766,[61 29] ; [3 8],[57.02970297 32.97029703] ; [6.97029703 4.02970297],0
s6,1,0.01569,5.837253,[67 22] ; [5 7],[63.44554455 25.55445545] ; [8.55445545 3.44554455],0
p9,1,0.021487,5.286828,[76 13] ; [7 5],[73.13861386 15.86138614] ; [9.86138614 2.13861386],0
a5,1,0.033467,4.521739,[72 20] ; [6 6],[69. 23.] ; [9. 3.],0
n6,1,0.033759,4.506882,[81 10] ; [8 4],[78.63106796 12.36893204] ; [10.36893204  1.63106796],0
n5,1,0.037824,4.312899,[65 26] ; [5 7],[61.84466019 29.15533981] ; [8.15533981 3.84466019],0
p11,1,0.048811,3.88183,[76 16] ; [7 5],[73.42307692 18.57692308] ; [9.57692308 2.42307692],0
n4,1,0.054399,3.700399,[64 28] ; [5 7],[61.03846154 30.96153846] ; [7.96153846 4.03846154],0
a3,1,0.074131,3.189105,[59 33] ; [4 7],[56.27184466 35.72815534] ; [6.72815534 4.27184466],0
p1,1,0.091003,2.856543,[ 9 82] ; [3 8],[10.70588235 80.29411765] ; [1.29411765 9.70588235],0
d2,1,0.095864,2.773039,[42 49] ; [8 3],[44.60784314 46.39215686] ; [5.39215686 5.60784314],0
v3,1,0.099846,2.708002,[30 60] ; [ 1 10],[27.62376238 62.37623762] ; [3.37623762 7.62376238],0
v1,1,0.115946,2.471252,[55 35] ; [4 7],[52.57425743 37.42574257] ; [6.42574257 4.57425743],0
s2,1,0.126879,2.330285,[44 47] ; [3 9],[41.52427184 49.47572816] ; [5.47572816 6.52427184],0
p4,1,0.127707,2.320155,[51 39] ; [4 8],[48.52941176 41.47058824] ; [6.47058824 5.52941176],0
s8,1,0.17585,1.832354,[24 68] ; [ 1 11],[22.11538462 69.88461538] ; [2.88461538 9.11538462],0
v2,1,0.205268,1.604489,[47 42] ; [4 8],[44.94059406 44.05940594] ; [6.05940594 5.94059406],0
d4,1,0.240548,1.37738,[85  7] ; [9 2],[83.96116505  8.03883495] ; [10.03883495  0.96116505],0
p3,1,0.262028,1.258011,[46 45] ; [4 8],[44.17475728 46.82524272] ; [5.82524272 6.17475728],0
a6,1,0.303188,1.060121,[60 32] ; [6 6],[58.38461538 33.61538462] ; [7.61538462 4.38461538],0
n2,1,0.316233,1.004464,[13  3] ; [1 1],[12.44444444  3.55555556] ; [1.55555556 0.44444444],0
s4,1,0.360218,0.837134,[17 72] ; [ 1 11],[15.86138614 73.13861386] ; [2.13861386 9.86138614],0
b4,1,0.377489,0.778864,[57 35] ; [9 3],[58.38461538 33.61538462] ; [7.61538462 4.38461538],0
u3,1,0.386862,0.748782,[18 15] ; [3 5],[16.90243902 16.09756098] ; [4.09756098 3.90243902],0
s3,1,0.392975,0.729717,[45 45] ; [4 7],[43.66336634 46.33663366] ; [5.33663366 5.66336634],0
b5,1,0.493467,0.468958,[48 44] ; [5 7],[46.88461538 45.11538462] ; [6.11538462 5.88461538],0
p2,1,0.497841,0.459536,[74 17] ; [8 3],[73.15686275 17.84313725] ; [8.84313725 2.15686275],0
d5,1,0.521171,0.411576,[76 16] ; [9 3],[75.19230769 16.80769231] ; [9.80769231 2.19230769],0
u1,1,0.523202,0.407577,[14 78] ; [ 1 11],[13.26923077 78.73076923] ; [ 1.73076923 10.26923077],0
b1,1,0.53226,0.390074,[30 62] ; [5 7],[30.96153846 61.03846154] ; [4.03846154 7.96153846],0
a7,1,0.533507,0.387707,[59 33] ; [6 5],[58.05825243 33.94174757] ; [6.94174757 4.05825243],0
n1,1,0.64315,0.214646,[ 5 10] ; [1 1],[5.29411765 9.70588235] ; [0.70588235 1.29411765],0
a4,1,0.77629,0.080745,[42 50] ; [6 6],[42.46153846 49.53846154] ; [5.53846154 6.46153846],0
a1,1,0.813763,0.055495,[ 6 86] ; [ 1 11],[ 6.19230769 85.80769231] ; [ 0.80769231 11.19230769],0
d3,1,0.862962,0.029792,[59 33] ; [8 4],[59.26923077 32.73076923] ; [7.73076923 4.26923077],0
d1,1,0.865723,0.028593,[56 36] ; [7 5],[55.73076923 36.26923077] ; [7.26923077 4.73076923],0
p5,1,0.886482,0.02038,[15 76] ; [2 9],[15.16666667 75.83333333] ; [1.83333333 9.16666667],0
u2,1,1.0,0.0,[12 20] ; [3 5],[12. 20.] ; [3. 5.],0
