Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.46487,[ 7 27] ; [30  8],[17.47222222 16.52777778] ; [19.52777778 18.47222222],1
n6,1,0.025572,4.984703,[14 20] ; [25 12],[18.67605634 15.32394366] ; [20.32394366 16.67605634],0
a4,1,0.035516,4.420183,[ 8 26] ; [18 20],[12.27777778 21.72222222] ; [13.72222222 24.27777778],0
a1,1,0.036928,4.353715,[ 1 33] ; [ 7 31],[ 3.77777778 30.22222222] ; [ 4.22222222 33.77777778],0
a5,1,0.038233,4.294642,[16 18] ; [27 11],[20.30555556 13.69444444] ; [22.69444444 15.30555556],0
n2,1,0.041292,4.163997,[8 9] ; [13  3],[10.81818182  6.18181818] ; [10.18181818  5.81818182],0
u1,1,0.063139,3.452951,[ 2 32] ; [ 8 30],[ 4.72222222 29.27777778] ; [ 5.27777778 32.72222222],0
r3,1,0.096391,2.76427,[25  9] ; [19 16],[21.68115942 12.31884058] ; [22.31884058 12.68115942],0
n1,1,0.102959,2.659095,[ 3 14] ; [7 9],[ 5.15151515 11.84848485] ; [ 4.84848485 11.15151515],0
p5,1,0.108632,2.574005,[ 2 31] ; [ 7 30],[ 4.24285714 28.75714286] ; [ 4.75714286 32.24285714],0
p7,1,0.142179,2.154219,[10 22] ; [18 19],[12.98550725 19.01449275] ; [15.01449275 21.98550725],0
d4,1,0.146751,2.105705,[29  5] ; [27 11],[26.44444444  7.55555556] ; [29.55555556  8.44444444],0
a6,1,0.180927,1.789991,[19 15] ; [27 11],[21.72222222 12.27777778] ; [24.27777778 13.72222222],0
p6,1,0.186058,1.748561,[ 5 27] ; [11 27],[ 7.31428571 24.68571429] ; [ 8.68571429 29.31428571],0
a8,1,0.196918,1.665085,[ 1 30] ; [ 4 30],[ 2.38461538 28.61538462] ; [ 2.61538462 31.38461538],0
a2,1,0.225896,1.466515,[ 5 29] ; [10 28],[ 7.08333333 26.91666667] ; [ 7.91666667 30.08333333],0
n3,1,0.226942,1.459926,[11  6] ; [7 9],[9.27272727 7.72727273] ; [8.72727273 7.27272727],0
p4,1,0.242617,1.365325,[ 9 25] ; [15 23],[11.33333333 22.66666667] ; [12.66666667 25.33333333],0
p9,1,0.263863,1.248373,[18 15] ; [25 12],[20.27142857 12.72857143] ; [22.72857143 14.27142857],0
s5,1,0.270692,1.213235,[ 7 25] ; [ 4 30],[ 5.33333333 26.66666667] ; [ 5.66666667 28.33333333],0
s8,1,0.308873,1.035489,[ 5 29] ; [ 9 28],[ 6.70422535 27.29577465] ; [ 7.29577465 29.70422535],0
