Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000465,12.25,[ 6 22] ; [15  6],[12. 16.] ; [ 9. 12.],1
p9,1,0.000527,12.018354,[ 5 21] ; [14  6],[10.73913043 15.26086957] ; [ 8.26086957 11.73913043],1
p11,1,0.001182,10.51869,[ 4 25] ; [12  9],[ 9.28 19.72] ; [ 6.72 14.28],0
p7,1,0.001546,10.022727,[ 4 24] ; [12  9],[ 9.14285714 18.85714286] ; [ 6.85714286 14.14285714],0
p3,1,0.00302,8.795476,[ 3 26] ; [10 11],[ 7.54 21.46] ; [ 5.46 15.54],0
p4,1,0.004192,8.198693,[ 4 24] ; [11 10],[ 8.57142857 19.42857143] ; [ 6.42857143 14.57142857],0
v4,1,0.010068,6.622879,[13 16] ; [17  4],[17.4 11.6] ; [12.6  8.4],0
p6,1,0.013328,6.125,[ 1 27] ; [ 6 15],[ 4. 24.] ; [ 3. 18.],0
s5,1,0.039076,4.257565,[ 2 27] ; [ 6 15],[ 4.64 24.36] ; [ 3.36 17.64],0
p8,1,0.069562,3.293337,[ 6 23] ; [ 9 11],[ 8.87755102 20.12244898] ; [ 6.12244898 13.87755102],0
p5,1,0.069568,3.293195,[ 1 28] ; [ 4 17],[ 2.9 26.1] ; [ 2.1 18.9],0
u2,1,0.07626,3.142857,[2 9] ; [6 5],[4. 7.] ; [4. 7.],0
s7,1,0.078753,3.090447,[ 2 25] ; [ 5 14],[ 4.10869565 22.89130435] ; [ 2.89130435 16.10869565],0
v1,1,0.091368,2.850106,[ 6 23] ; [ 9 12],[ 8.7 20.3] ; [ 6.3 14.7],0
s4,1,0.097779,2.741399,[ 3 26] ; [ 6 15],[ 5.22 23.78] ; [ 3.78 17.22],0
b2,1,0.10924,2.565182,[11 11] ; [2 8],[ 8.9375 13.0625] ; [4.0625 5.9375],0
b3,1,0.10924,2.565182,[11 11] ; [2 8],[ 8.9375 13.0625] ; [4.0625 5.9375],0
n4,1,0.11112,2.538225,[19 10] ; [ 9 12],[16.24 12.76] ; [11.76  9.24],0
s8,1,0.146636,2.106906,[ 1 28] ; [ 3 17],[ 2.36734694 26.63265306] ; [ 1.63265306 18.36734694],0
s6,1,0.155378,2.018643,[ 5 24] ; [ 7 13],[ 7.10204082 21.89795918] ; [ 4.89795918 15.10204082],0
b1,1,0.160401,1.970443,[15 14] ; [15  6],[17.4 11.6] ; [12.6  8.4],0
a2,1,0.180162,1.796288,[ 5 24] ; [ 1 20],[ 3.48 25.52] ; [ 2.52 18.48],0
d1,1,0.195517,1.67555,[12 17] ; [ 5 16],[ 9.86 19.14] ; [ 7.14 13.86],0
v3,1,0.199545,1.645701,[ 9 20] ; [ 3 17],[ 7.10204082 21.89795918] ; [ 4.89795918 15.10204082],0
n3,1,0.216201,1.529412,[ 3 10] ; [6 7],[4.5 8.5] ; [4.5 8.5],0
a6,1,0.232894,1.423098,[16 13] ; [ 8 13],[13.92 15.08] ; [10.08 10.92],0
r1,1,0.233085,1.421936,[ 9 20] ; [10 11],[11.02 17.98] ; [ 7.98 13.02],0
a3,1,0.243345,1.361111,[18 10] ; [10 11],[16. 12.] ; [12.  9.],0
p1,1,0.293431,1.103813,[ 4 25] ; [ 1 20],[ 2.9 26.1] ; [ 2.1 18.9],0
p12,1,0.371948,0.797144,[ 1 28] ; [ 2 19],[ 1.74 27.26] ; [ 1.26 19.74],0
b4,1,0.441074,0.593486,[17 12] ; [10 11],[15.66 13.34] ; [11.34  9.66],0
n6,1,0.457807,0.55125,[13 15] ; [12  9],[14.28571429 13.71428571] ; [10.71428571 10.28571429],0
r2,1,0.498962,0.457143,[18  9] ; [12  9],[16.875 10.125] ; [13.125  7.875],0
v2,1,0.498962,0.457143,[ 6 22] ; [ 6 14],[ 7. 21.] ; [ 5. 15.],0
n2,1,0.567996,0.326048,[6 8] ; [7 6],[6.74074074 7.25925926] ; [6.25925926 6.74074074],0
d3,1,0.597746,0.278409,[13 16] ; [11 10],[13.92 15.08] ; [10.08 10.92],0
a4,1,0.597746,0.278409,[10 18] ; [ 6 15],[ 9.14285714 18.85714286] ; [ 6.85714286 14.14285714],0
a7,1,0.63404,0.226623,[13 16] ; [ 8 13],[12.18 16.82] ; [ 8.82 12.18],0
u3,1,0.647141,0.209524,[3 8] ; [4 7],[3.5 7.5] ; [3.5 7.5],0
b5,1,0.660877,0.192459,[12 17] ; [10 11],[12.76 16.24] ; [ 9.24 11.76],0
n5,1,0.661612,0.191571,[21  8] ; [14  7],[20.3  8.7] ; [14.7  6.3],0
d2,1,0.668854,0.182945,[11 17] ; [ 7 14],[10.28571429 17.71428571] ; [ 7.71428571 13.28571429],0
s2,1,0.753751,0.098406,[ 2 27] ; [ 1 20],[ 1.74 27.26] ; [ 1.26 19.74],0
a5,1,0.774469,0.082102,[15 14] ; [10 11],[14.5 14.5] ; [10.5 10.5],0
u1,1,0.815021,0.054735,[ 1 28] ; [ 1 20],[ 1.16 27.84] ; [ 0.84 20.16],0
n1,1,0.816334,0.053946,[6 8] ; [5 8],[5.7037037 8.2962963] ; [5.2962963 7.7037037],0
d4,1,0.845025,0.038208,[16 13] ; [11 10],[15.66 13.34] ; [11.34  9.66],0
d5,1,0.916774,0.01092,[17 12] ; [12  9],[16.82 12.18] ; [12.18  8.82],0
r4,1,0.960484,0.002455,[ 4 25] ; [ 3 18],[ 4.06 24.94] ; [ 2.94 18.06],0
